Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment
137	Spectrogram 1	1	1176.068	1181.89623	5.828	96.068	63.8	468.1	TEST__0__20180405_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180405_000801.wav	Y	bark	faint	RS	2	series	No		faint	RS	
380	Spectrogram 1	1	4080.962	4081.8843	0.922	0.962	84.2	959	TEST__0__20180411_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180411_120801.wav	X	bark	too faint	RS	2	2	No			RS	
473	Spectrogram 1	1	4594.292	4607.4399	13.148	34.292	64.4	1345.5	TEST__0__20180416_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180416_020801.wav	Y	"bark, yelp"	this one is very tricky as there are faint barks and also clicks in the background.	RS	3	series	No				
717	Spectrogram 1	1	7583.403	7584.1487	0.746	23.403	44.9	1230.8	TEST__0__20180424_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180424_140801.wav	Y	bark	faint	RS	2	1	No			RS	
766	Spectrogram 1	1	8175.562	8176.9945	1.432	15.562	282.7	1670.2	TEST__0__20180425_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180425_220801.wav	X	yelp	yelp	RS	3	1	No				
767	Spectrogram 1	1	8184.437	8188.1655	3.729	24.437	526.8	2010.7	TEST__0__20180425_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180425_220801.wav	X	yelp	yelp	RS	3	2	No				
933	Spectrogram 1	1	10121.43	10132.2623	10.832	41.43	32.9	1131.6	TEST__0__20180430_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180430_140801.wav	X	yelp	yelp	RS	3	series	No				
12	Spectrogram 1	1	22.629	23.433571	0.805	22.629	135.5	858.1	TEST__0__20180401_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180401_080801.wav	X		AH	RS	2	1	No		hard to hear inbetween high ice noise	RS	
17	Spectrogram 1	1	198.029	202.483576	4.455	78.029	58.1	309.7	TEST__0__20180401_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180401_120801.wav	X	woof	AH	RS	2	3	No		woof	RS	
23	Spectrogram 1	1	171.468	178.748386	7.28	51.468	58.1	348.4	TEST__0__20180401_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180401_120801.wav	X	woof	AH	RS	2	series	No		woofs	RS	
