Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	WH ID_NEW	WH Comment_NEW
1	Spectrogram 1	1	14.16	18.48735	4.327	14.16	402	1205.9	DS3B__0__20181101_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_000355.wav	X		faint	RS	3	3	No						
2	Spectrogram 1	1	251.086	252.97118	1.885	251.086	315.1	919	DS3B__0__20181101_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_000355.wav	X			RS	3	2	No						
3	Spectrogram 1	1	435.958	437.77891	1.821	173.958	203.5	971.6	DS3B__0__20181101_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_020355.wav	X		faint	RS	3	2	No		faint				
4	Spectrogram 1	1	688.452	690.97986	2.528	164.452	111.6	925.6	DS3B__0__20181101_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav	X			RS	3	1	No						
5	Spectrogram 1	1	669.251	682.72577	13.475	145.251	46	1194.7	DS3B__0__20181101_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav	Y	"bark, yelp"	series. A bit faint but visible	RS	3	series	No						
6	Spectrogram 1	1	646.456	649.00528	2.549	122.456	72.2	636.8	DS3B__0__20181101_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav	X	bark	faint	RS	3	2	No						
7	Spectrogram 1	1	653.29	655.60363	2.314	129.29	111.6	794.3	DS3B__0__20181101_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav	X	bark	faint	RS	3	2	No						
8	Spectrogram 1	1	564.011	565.16782	1.157	40.011	131.3	866.5	DS3B__0__20181101_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav	X	bark	faint	RS	3	1	No		bark				
9	Spectrogram 1	1	562.018	563.04628	1.028	38.018	498.9	1765.9	DS3B__0__20181101_060355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav	X			RS	3	1	No						
10	Spectrogram 1	1	1038.713	1040.10546	1.392	252.713	78.8	945.3	DS3B__0__20181101_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_080355.wav	X		faint	RS	3	1	No		faint				
11	Spectrogram 1	1	804.142	805.34166	1.2	18.142	131.3	932.2	DS3B__0__20181101_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_080355.wav	X			RS	3	2	No						
12	Spectrogram 1	1	960.032	961.18882	1.157	174.032	65.6	1680.5	DS3B__0__20181101_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_080355.wav	Y	"bark, yelp"	good	RS	3	2	No		good				
13	Spectrogram 1	1	954.869	956.17577	1.307	168.869	59.1	1641.1	DS3B__0__20181101_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_080355.wav	Y	"bark, yelp"	good	RS	3	3	No		good				
14	Spectrogram 1	1	1036.437	1037.61524	1.178	250.437	78.8	879.6	DS3B__0__20181101_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_080355.wav	X		faint	RS	3	1	No		faint				
17	Spectrogram 1	1	1205.362	1206.45455	1.093	157.362	295.4	800.9	DS3B__0__20181101_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_140355.wav	X			RS	3	1	No						
18	Spectrogram 1	1	1515.217	1519.33012	4.113	205.217	118.2	1372	DS3B__0__20181101_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_160355.wav	Y	"bark, yelp"	good one	RS	3	series	No		good one				
19	Spectrogram 1	1	1591.204	1592.33939	1.135	19.204	774.6	1326	DS3B__0__20181101_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_180355.wav	X			RS	3	1	No						
20	Spectrogram 1	1	1973.475	1974.31048	0.835	139.475	295.4	820.6	DS3B__0__20181101_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_200355.wav	X			RS	3	1	No						
21	Spectrogram 1	1	2072.968	2073.95344	0.985	238.968	649.9	1253.8	DS3B__0__20181101_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_200355.wav	X	yelp	yelp	RS	3	1	No		yelp				
22	Spectrogram 1	1	1925.209	1926.13017	0.921	91.209	308.5	912.5	DS3B__0__20181101_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_200355.wav	X	yelp	yelp	RS	3	1	No		yelp				
23	Spectrogram 1	1	1957.42	1958.4697	1.05	123.42	236.3	833.7	DS3B__0__20181101_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_200355.wav	X			RS	2	1	No						
24	Spectrogram 1	1	2025.537	2026.75808	1.221	191.537	617.1	1148.8	DS3B__0__20181101_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_200355.wav	X			RS	3	1	No						
25	Spectrogram 1	1	1909.111	1912.94563	3.835	75.111	39.4	796.7	DS3B__0__20181101_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_200355.wav	X	yelp		RS		1	No			RS	LF yelps and a growl		
26	Spectrogram 1	1	1922.65	1923.93535	1.285	88.65	157.5	807.4	DS3B__0__20181101_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_200355.wav	X			RS	3	2	No						
27	Spectrogram 1	1	1930.993	1935.38462	4.392	96.993	269.1	1056.9	DS3B__0__20181101_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181101_200355.wav	X			RS	3	5	No						
28	Spectrogram 1	1	2176.314	2177.49224	1.178	80.314	682.7	1148.8	DS3B__0__20181102_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_000355.wav	X			RS	3	1	No						
30	Spectrogram 1	1	2397.91	2402.76422	4.854	39.91	426.7	1365.4	DS3B__0__20181102_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_080355.wav	X		between ice noise	RS	3	3	No		between ice noise	RS			
31	Spectrogram 1	1	2539.01	2539.95259	0.943	181.01	643.3	1240.7	DS3B__0__20181102_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_080355.wav	X	yelp	yelp	RS	3	1	No		yelp				
40	Spectrogram 1	1	2690.486	2691.792774	1.307	70.486	991.2	1660.8	DS3B__0__20181102_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_100355.wav	X			RS	2	1	No						
48	Spectrogram 1	1	2972.466	3001.80965	29.344	90.466	91.9	1470.5	DS3B__0__20181102_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav	Y	"bark, yelp"	good	RS	3	series	No		good				
49	Spectrogram 1	1	3026.042	3027.17739	1.135	144.042	328.2	1030.6	DS3B__0__20181102_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav	X			RS	3	1	No						
50	Spectrogram 1	1	3398.922	3401.17136	2.249	254.922	118.2	919	DS3B__0__20181102_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_180355.wav	Y	bark		RS	3	4	No						
51	Spectrogram 1	1	3632.406	3634.63394	2.228	226.406	137.9	603.9	DS3B__0__20181102_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_200355.wav	X			RS	3	2	No						
52	Spectrogram 1	1	3617.921	3619.46342	1.542	211.921	137.9	663	DS3B__0__20181102_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_200355.wav	X		faint	RS	3	3	No		faint				
53	Spectrogram 1	1	3612.823	3615.90784	3.085	206.823	183.8	682.7	DS3B__0__20181102_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181102_200355.wav	X			RS	3	2	No						
54	Spectrogram 1	1	3844.74	3845.74685	1.007	176.74	617.1	1109.4	DS3B__0__20181103_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20181103_000355.wav	X	yelp	yelp	RS	3	1	No		yelp				
