Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Begin File	Begin Date	Begin Hour	Species	Call type	Comments	Quantity
5	Spectrogram 1	1	533.0193436	535.8517136	85.106	1665.5	2.8324	67145740.220515105830.wav		0	RS	BARK		7
10	Spectrogram 1	1	907.4101363	907.4101363	878.571	878.571	0	67145740.220515110830.wav		0	RS	YELP		
11	Spectrogram 1	1	908.1975378	908.1975378	985.714	985.714	0	67145740.220515110830.wav		0	RS	YELP		
12	Spectrogram 1	1	910.1365142	910.1365142	932.143	932.143	0	67145740.220515110830.wav		0	RS	YELP		
13	Spectrogram 1	1	962.6786658	962.6786658	782.143	782.143	0	67145740.220515110830.wav		0	RS	YELP		
14	Spectrogram 1	1	963.9089807	963.9089807	739.286	739.286	0	67145740.220515110830.wav		0	RS	YELP		
15	Spectrogram 1	1	965.1097681	965.1097681	1221.429	1221.429	0	67145740.220515110830.wav		0	RS	YELP		
19	Spectrogram 1	1	1071.223438	1071.223438	878.571	878.571	0	67145740.220515110830.wav		0	RS	YELP		
20	Spectrogram 1	1	1080.073247	1080.073247	996.429	996.429	0	67145740.220515110830.wav		0	RS	YELP		
21	Spectrogram 1	1	1081.362617	1081.362617	1221.429	1221.429	0	67145740.220515110830.wav		0	RS	YELP		
22	Spectrogram 1	1	1081.903222	1081.903222	696.429	696.429	0	67145740.220515110830.wav		0	RS	BARK		
24	Spectrogram 1	1	1089.399807	1089.399807	578.571	578.571	0	67145740.220515110830.wav		0	RS	BARK		
26	Spectrogram 1	1	1203.119558	1203.803566	141.631	965.665	0.684	67145740.220515111330.wav		0	RS	BARK		3
28	Spectrogram 1	1	1253.985843	1253.985843	1200	1200	0	67145740.220515111330.wav		0	RS	YELP		
29	Spectrogram 1	1	1254.448441	1254.448441	1167.857	1167.857	0	67145740.220515111330.wav		0	RS	YELP		
30	Spectrogram 1	1	1262.319531	1262.319531	1007.143	1007.143	0	67145740.220515111330.wav		0	RS	YELP		
31	Spectrogram 1	1	1262.752602	1262.752602	792.857	792.857	0	67145740.220515111330.wav		0	RS	BARK		
37	Spectrogram 1	1	1457.601158	1457.601158	942.857	942.857	0	67145740.220515111330.wav		0	RS	YELP		
38	Spectrogram 1	1	1459.248557	1459.248557	942.857	942.857	0	67145740.220515111330.wav		0	RS	YELP		
39	Spectrogram 1	1	1463.940272	1463.940272	900	900	0	67145740.220515111330.wav		0	RS	YELP		
