Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
1	Spectrogram 1	1	740.052917113	740.856937213	131.783	1666.667	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517181837.wav	67145740.220517181837.wav	0.8040	139.9766	Y	2	2	X	BY		
2	Spectrogram 1	1	744.537616643	745.611737246	85.271	2317.829	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517181837.wav	67145740.220517181837.wav	1.0741	144.4613	Y	2	3	X	BY		
3	Spectrogram 1	1	2134.245692505	2134.924084465	170.543	1038.760	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.6784	34.0585	Y	3	0	X	B	FAINT	
4	Spectrogram 1	1	2135.196984727	2136.490954576	186.047	1201.550	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	1.2940	35.0098	Y	6	0	X	B	FAINT	
5	Spectrogram 1	1	2137.056814923	2137.452543567	131.783	1651.163	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.3957	36.8696	Y	1	1	X	BY	FAINT	
6	Spectrogram 1	1	2137.609578743	2138.225156632	124.031	1240.310	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.6156	37.4224	Y	2	1	X	BY	FAINT	
7	Spectrogram 1	1	2141.592288099	2141.812137345	232.558	1116.279	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.2198	41.4051	Y	1	0	X	B		
8	Spectrogram 1	1	2142.867413727	2144.173946390	186.047	1007.752	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	1.3065	42.6803	Y	6	0	X	B		
9	Spectrogram 1	1	2192.305490894	2192.531621547	387.597	1565.891	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.2261	92.1183	X	0	1	X	Y		
10	Spectrogram 1	1	2193.197450693	2193.536646672	77.519	1333.333	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.3392	93.0103	Y	1	1	X	BY		
11	Spectrogram 1	1	2199.605784999	2200.007795050	186.047	2356.589	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.4020	99.4186	Y	1	1	X	BY		
12	Spectrogram 1	1	2266.843095787	2267.571739003	162.791	1643.411	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.7286	166.6559	Y	2	1	Y	BY	BS >1KHZ	
13	Spectrogram 1	1	2304.834698930	2305.079673804	976.744	1395.349	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.2450	204.6475	X	0	1	Y	Y	BS >1KHZ'	
14	Spectrogram 1	1	2360.383948836	2361.301034263	976.744	1426.357	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517184337.wav	67145740.220517184337.wav	0.9171	260.1968	X	0	2	X	Y		
15	Spectrogram 1	1	3372.552978060	3372.835641377	775.194	1922.481	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2827	72.2523	X	0	1	X	Y		
16	Spectrogram 1	1	3374.556746904	3375.103229316	829.457	1945.736	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.5465	74.2561	X	0	1	X	Y		
17	Spectrogram 1	1	3376.246445397	3376.604485598	860.465	1868.217	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.3580	75.9458	X	0	1	X	Y		
18	Spectrogram 1	1	3381.811844233	3382.270386946	1015.504	2294.574	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.4585	81.5112	X	0	1	X	Y		
19	Spectrogram 1	1	3383.162346745	3383.407321620	976.744	1759.690	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2450	82.8617	X	0	1	X	Y		
20	Spectrogram 1	1	3384.154809057	3384.443753780	992.248	1651.163	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2889	83.8541	X	0	1	X	Y		
21	Spectrogram 1	1	3385.423653278	3385.769130665	1232.558	1798.450	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.3455	85.1230	X	0	1	X	Y		
22	Spectrogram 1	1	3386.706501956	3386.982883866	953.488	1418.605	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2764	86.4058	X	0	1	X	Y		
23	Spectrogram 1	1	3387.717808489	3387.969064770	961.240	1635.659	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2513	87.4171	X	0	1	X	Y		
24	Spectrogram 1	1	3388.773084871	3388.961527082	1116.279	1511.628	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.1884	88.4724	X	0	1	X	Y		
25	Spectrogram 1	1	3389.715295926	3389.903738137	961.240	1565.891	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.1884	89.4146	X	0	1	X	Y		
26	Spectrogram 1	1	3390.191995309	3390.436970184	984.496	1565.891	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2450	89.8913	X	0	1	X	Y		
27	Spectrogram 1	1	3390.581442545	3390.882950083	875.969	1573.643	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.3015	90.2808	X	0	1	X	Y		
28	Spectrogram 1	1	3391.643000334	3391.957070686	976.744	1418.605	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.3141	91.3423	X	0	1	X	Y		
29	Spectrogram 1	1	3392.767372194	3392.968377219	1139.535	1519.380	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2010	92.4667	X	0	1	X	Y		
30	Spectrogram 1	1	3417.312918938	3417.539049592	922.481	1403.101	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2261	117.0122	X	0	1	Y	Y	BS <1KHZ	
31	Spectrogram 1	1	3418.148346074	3418.374476727	852.713	1201.550	D:\ringed-seal-data\Ulu_2022\ST2\Site27\67145740.220517190337.wav	67145740.220517190337.wav	0.2261	117.8477	X	0	1	Y	Y	BS <1KHZ	
