Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Hour	Begin Date	Species	Call type	Comments	Quantity	WH	KZ Done?
7	Spectrogram 1	1	740.112095800	740.112095800	900.000	900.000	67145740.220517181837.wav	0		RS	YELP				Y
8	Spectrogram 1	1	740.275872300	740.275872300	396.400	396.400	67145740.220517181837.wav	0		RS	BARK				Y
9	Spectrogram 1	1	740.603425300	740.603425300	1264.300	1264.300	67145740.220517181837.wav	0		RS	YELP				Y
10	Spectrogram 1	1	740.757567800	740.757567800	514.300	514.300	67145740.220517181837.wav	0		RS	BARK				Y
11	Spectrogram 1	1	744.642666000	744.642666000	1157.100	1157.100	67145740.220517181837.wav	0		RS	YELP				Y
12	Spectrogram 1	1	745.085825900	745.085825900	492.900	492.900	67145740.220517181837.wav	0		RS	BARK				Y
13	Spectrogram 1	1	745.211066800	745.211066800	1210.700	1210.700	67145740.220517181837.wav	0		RS	YELP				Y
14	Spectrogram 1	1	745.413378900	745.413378900	557.100	557.100	67145740.220517181837.wav	0		RS	BARK				Y
35	Spectrogram 1	1	2134.489400000	2138.179188000	192.900	1007.100	67145740.220517184337.wav	0		RS	BARK		9		Y
36	Spectrogram 1	1	2141.691187000	2141.691187000	396.400	396.400	67145740.220517184337.wav	0		RS	BARK				Y
37	Spectrogram 1	1	2142.901559000	2144.182869000	192.900	985.700	67145740.220517184337.wav	0		RS	BARK		5		Y
38	Spectrogram 1	1	2192.396209000	2192.396209000	503.600	503.600	67145740.220517184337.wav	0		RS	YELP				Y
39	Spectrogram 1	1	2193.243993000	2193.243993000	846.400	846.400	67145740.220517184337.wav	0		RS	YELP				Y
40	Spectrogram 1	1	2193.465573000	2193.465573000	557.100	557.100	67145740.220517184337.wav	0		RS	BARK				Y
41	Spectrogram 1	1	2199.712729000	2199.712729000	1617.900	1617.900	67145740.220517184337.wav	0		RS	YELP				Y
42	Spectrogram 1	1	2199.905407000	2199.905407000	664.300	664.300	67145740.220517184337.wav	0		RS	BARK				Y
44	Spectrogram 1	1	2266.904014000	2266.904014000	1403.600	1403.600	67145740.220517184337.wav	0		RS	YELP				Y
45	Spectrogram 1	1	2267.106326000	2267.106326000	760.700	760.700	67145740.220517184337.wav	0		RS	BARK				Y
46	Spectrogram 1	1	2267.433879000	2267.433879000	728.600	728.600	67145740.220517184337.wav	0		RS	BARK				Y
48	Spectrogram 1	1	2304.897513000	2304.897513000	1242.900	1242.900	67145740.220517184337.wav	0		RS	YELP				Y
