Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
1	Spectrogram 1	1	22.38570526	22.38570526	972.1	972.1	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513170842.wav	BS										
2	Spectrogram 1	1	154.7994372	154.7994372	2220.6	2220.6	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513170842.wav	BS										
3	Spectrogram 1	1	207.8148358	207.8148358	491.1	491.1	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513170842.wav	BS										
4	Spectrogram 1	1	241.4266802	241.4266802	1718.9	1718.9	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513170842.wav	BS										
5	Spectrogram 1	1	282.9610955	282.9610955	982.2	982.2	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513170842.wav	BS										
6	Spectrogram 1	1	327.8227361	327.8227361	2626.3	2626.3	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171342.wav	BS										
7	Spectrogram 1	1	405.4781929	405.4781929	661.9	661.9	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171342.wav	RS	YELP		RS yelp							
8	Spectrogram 1	1	466.360121	466.360121	1921.7	1921.7	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171342.wav	BS										
9	Spectrogram 1	1	656.0395842	656.0395842	1056.9	1056.9	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171842.wav	RS	YELP		RS yelp							
10	Spectrogram 1	1	662.3086326	662.3086326	533.8	533.8	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171842.wav	BS										
12	Spectrogram 1	1	750.33981	750.33981	1932.4	1932.4	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171842.wav	BS										
13	Spectrogram 1	1	887.3007344	887.3007344	1409.3	1409.3	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171842.wav	BS										
14	Spectrogram 1	1	990.969517	990.969517	661.9	661.9	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	RS	YELP									
15	Spectrogram 1	1	991.4608465	991.4608465	277.6	277.6	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	RS	GROWL		RS growl							
16	Spectrogram 1	1	991.8076673	991.8076673	309.6	309.6	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	RS	GROWL		RS growl							
17	Spectrogram 1	1	992.1641221	992.1641221	565.8	565.8	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	RS	YELP									
18	Spectrogram 1	1	992.9541028	992.9541028	822.1	822.1	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	RS	YELP									
19	Spectrogram 1	1	1002.255205	1002.255205	779.4	779.4	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	BS										
20	Spectrogram 1	1	1084.012075	1084.012075	395	395	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	BS										
21	Spectrogram 1	1	1130.456294	1130.456294	822.1	822.1	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	BS										
22	Spectrogram 1	1	1175.304772	1175.304772	1633.5	1633.5	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	BS										
23	Spectrogram 1	1	1208.198459	1208.198459	726	726	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172842.wav	BS										
24	Spectrogram 1	1	1323.508486	1323.508486	950.2	950.2	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172842.wav	BS										
25	Spectrogram 1	1	1383.683645	1383.683645	459.1	459.1	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172842.wav	BS										
26	Spectrogram 1	1	1464.395676	1464.395676	1964.4	1964.4	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172842.wav	BS										
27	Spectrogram 1	1	1596.473989	1596.473989	800.7	800.7	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513173342.wav	BS										
28	Spectrogram 1	1	1613.030296	1613.030296	544.5	544.5	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513173342.wav	BS										
29	Spectrogram 1	1	1742.941833	1742.941833	1750.9	1750.9	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513173342.wav	BS										
30	Spectrogram 1	1	1881.427567	1881.427567	1398.6	1398.6	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513173842.wav	BS										
31	Spectrogram 1	1	1943.617963	1943.617963	2135.2	2135.2	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513173842.wav	BS										
32	Spectrogram 1	1	1995.216322	1995.216322	1056.9	1056.9	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513173842.wav	BS										
33	Spectrogram 1	1	2171.524783	2171.524783	437.7	437.7	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513174342.wav	BS										
34	Spectrogram 1	1	2217.923444	2217.923444	928.8	928.8	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513174342.wav	BS										
35	Spectrogram 1	1	2273.123997	2273.123997	1590.7	1590.7	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513174342.wav	BS										
36	Spectrogram 1	1	2318.921868	2318.921868	245.6	245.6	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513174342.wav	BS										
37	Spectrogram 1	1	2429.851986	2429.851986	1644.1	1644.1	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513174842.wav	BS										
38	Spectrogram 1	1	2550.36695	2550.36695	480.4	480.4	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513174842.wav	BS										
39	Spectrogram 1	1	2671.851441	2671.851441	1526.7	1526.7	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513174842.wav	BS										
40	Spectrogram 1	1	2800.733051	2800.733051	1227.8	1227.8	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	BS										
41	Spectrogram 1	1	2962.229799	2962.229799	1185.1	1185.1	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	RS	YELP		RS yelp							
