Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Hour	Species	Call type	Comments	Quantity	WH
1	Spectrogram 1	1	5234.565595348	5234.565595348	790.500	790.500	1	RS	YELP			Yelp
2	Spectrogram 1	1	5235.215439590	5235.215439590	840.426	840.426	1	RS	YELP			
3	Spectrogram 1	1	5235.716402981	5235.716402981	851.064	851.064	1	RS	YELP			
4	Spectrogram 1	1	5237.912934773	5237.912934773	936.170	936.170	1	RS	YELP			
5	Spectrogram 1	1	5955.538602983	5955.538602983	755.319	755.319	1	RS	YELP			
6	Spectrogram 1	1	9385.381854404	9385.381854404	1202.128	1202.128	2	RS	YELP			
7	Spectrogram 1	1	10993.383239837	10993.383239837	1329.787	1329.787	3	RS	YELP			
8	Spectrogram 1	1	10994.577844847	10994.577844847	1319.149	1319.149	3	RS	YELP			
9	Spectrogram 1	1	10996.360118450	10996.360118450	1138.298	1138.298	3	RS	YELP			
10	Spectrogram 1	1	11810.428269886	11810.428269886	1063.830	1063.830	3	RS	YELP			
11	Spectrogram 1	1	11808.928888005	11808.928888005	893.617	893.617	3	RS	YELP			
12	Spectrogram 1	1	11826.730595941	11826.730595941	1223.404	1223.404	3	RS	YELP			
13	Spectrogram 1	1	11836.086009144	11836.086009144	1329.787	1329.787	3	RS	YELP			
14	Spectrogram 1	1	13164.639155491	13164.639155491	978.723	978.723	3	RS	YELP			
15	Spectrogram 1	1	20078.483967855	20078.483967855	1340.426	1340.426	5	RS	YELP			
16	Spectrogram 1	1	20079.967590206	20079.967590206	414.894	414.894	5	RS	BARK			
17	Spectrogram 1	1	20081.345239532	20081.345239532	372.340	372.340	5	RS	BARK			
18	Spectrogram 1	1	20082.125586352	20082.125586352	372.340	372.340	5	RS	BARK			
19	Spectrogram 1	1	20083.040807932	20083.040807932	329.787	329.787	5	RS	BARK			
20	Spectrogram 1	1	20251.908380797	20254.326492550	42.553	372.340	5	RS	BARK		4	Bark
21	Spectrogram 1	1	20959.198616184	20959.198616184	1202.128	1202.128	5	RS	YELP			
22	Spectrogram 1	1	20964.200380899	20964.200380899	1148.936	1148.936	5	RS	YELP			
24	Spectrogram 1	1	20986.078128251	20986.078128251	1276.596	1276.596	5	S	YELP			
25	Spectrogram 1	1	20986.290074302	20986.290074302	1010.638	1010.638	5	RS	YELP			
26	Spectrogram 1	1	20986.463484706	20986.463484706	904.255	904.255	5	RS	YELP			
27	Spectrogram 1	1	20993.197588752	20993.197588752	1063.830	1063.830	5	RS	YELP			
28	Spectrogram 1	1	20997.938347945	20997.938347945	1351.064	1351.064	5	RS	YELP			
29	Spectrogram 1	1	20999.576112877	20999.576112877	446.809	446.809	5	RS	BARK			
30	Spectrogram 1	1	21011.791036784	21011.791036784	1202.128	1202.128	5	RS	YELP			
31	Spectrogram 1	1	21011.954813277	21011.954813277	1000.000	1000.000	5	RS	YELP			
32	Spectrogram 1	1	21012.176393239	21012.176393239	914.894	914.894	5	RS	YELP			
33	Spectrogram 1	1	21012.407607112	21012.407607112	925.532	925.532	5	RS	YELP			
34	Spectrogram 1	1	21023.518132225	21023.518132225	1340.426	1340.426	5	RS	YELP			
35	Spectrogram 1	1	21024.645299855	21024.645299855	404.255	404.255	5	RS	BARK			
36	Spectrogram 1	1	21043.032058956	21043.032058956	500.000	500.000	5	RS	BARK			
37	Spectrogram 1	1	21050.680506214	21050.680506214	1180.851	1180.851	5	RS	YELP			
38	Spectrogram 1	1	21072.960240936	21072.960240936	202.128	202.128	5	RS	GROWL			
39	Spectrogram 1	1	21087.774563477	21093.246625134	457.447	1042.553	5	RS	YELP		6	
40	Spectrogram 1	1	21660.054305965	21660.054305965	957.447	957.447	6	RS	YELP			
41	Spectrogram 1	1	21985.207567591	21986.797162967	85.106	393.617	6	RS	BARK		3	Bark
42	Spectrogram 1	1	23145.731303666	23145.731303666	223.404	223.404	6	BS				BS - very close, but incomplete call
44	Spectrogram 1	1	24395.696267217	24395.696267217	893.617	893.617	6	RS	YELP			
45	Spectrogram 1	1	25595.485197575	25595.485197575	744.681	744.681	7	RS	YELP			
46	Spectrogram 1	1	26485.548256832	26485.548256832	223.404	223.404	7	RS	GROWL			Growl
47	Spectrogram 1	1	26486.771763576	26486.771763576	191.489	191.489	7	RS	GROWL			Growl
48	Spectrogram 1	1	28128.506731930	28128.506731930	212.766	212.766	7	RS	GROWL			Growl
49	Spectrogram 1	1	28130.038523837	28130.038523837	148.936	148.936	7	RS	GROWL			Growl
50	Spectrogram 1	1	28713.099476397	28713.099476397	893.617	893.617	7	RS	YELP			
51	Spectrogram 1	1	31235.712036473	31235.712036473	1074.468	1074.468	8	RS	YELP			
52	Spectrogram 1	1	34273.341209401	34273.341209401	1085.106	1085.106	9	RS	YELP			
