Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species	Call type	Comments	WH Comment
23	Spectrogram 1	1	3187.689138395	3214.427357522	225.941	3896.679	BS			
24	Spectrogram 1	1	5060.713311700	5069.714887262	422.383	3238.267	BS			
27	Spectrogram 1	1	10129.848870017	10134.444245740	360.424	2993.343	BS			
29	Spectrogram 1	1	12469.033493671	12474.486287505	445.230	837.456	BS			
31	Spectrogram 1	1	12535.499609137	12539.410977153	593.640	1759.717	BS			
32	Spectrogram 1	1	12595.370862170	12595.370862170	413.428	413.428	BS			
33	Spectrogram 1	1	12635.683532231	12643.679678666	561.837	3258.361	BS			
34	Spectrogram 1	1	12667.124235987	12667.124235987	296.820	296.820	BS			
35	Spectrogram 1	1	12792.048906670	12792.048906670	1791.519	1791.519	BS			
36	Spectrogram 1	1	12878.513268062	12878.513268062	424.028	424.028	BS			
