Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	Center Freq (Hz)	Peak Freq (Hz)	Delta Freq (Hz)	Species	Call type	Comments	WH	Quantity
5	Spectrogram 1	1	10233.976813801	10233.976813801	839.600	839.600	67653638.220514185049.wav	0.0000	843.750	843.750	0.000	BS				
6	Spectrogram 1	1	10293.174567137	10293.174567137	583.600	583.600	67653638.220514185049.wav	0.0000	585.938	585.938	0.000	BS				
7	Spectrogram 1	1	10315.625954828	10315.625954828	901.000	901.000	67653638.220514185049.wav	0.0000	902.344	902.344	0.000	BS				
8	Spectrogram 1	1	10397.419616073	10409.924433028	798.600	1781.600	67653638.220514185049.wav	12.5048	1195.312	1183.594	983.000	BS				
9	Spectrogram 1	1	10623.030055319	10643.524568404	573.400	1935.200	67653638.220514185549.wav	20.4945	1042.969	890.625	1361.800	BS				
10	Spectrogram 1	1	10740.376347937	10740.376347937	883.600	883.600	67653638.220514185549.wav	0.0000	878.906	878.906	0.000	BS				
11	Spectrogram 1	1	10772.694607106	10772.694607106	698.600	698.600	67653638.220514185549.wav	0.0000	703.125	703.125	0.000	BS				
12	Spectrogram 1	1	10920.400002064	10920.400002064	1047.900	1047.900	67653638.220514190049.wav	0.0000	1042.969	1042.969	0.000	BS				
13	Spectrogram 1	1	11089.829847016	11092.729654338	585.600	873.300	67653638.220514190049.wav	2.8998	714.844	750.000	287.700	BS				
15	Spectrogram 1	1	11125.819518417	11125.819518417	863.000	863.000	67653638.220514190549.wav	0.0000	867.188	867.188	0.000	BS				
16	Spectrogram 1	1	11159.279842897	11164.106432492	554.800	2291.100	67653638.220514190549.wav	4.8266	1101.562	1019.531	1736.300	BS				
17	Spectrogram 1	1	11299.829828254	11299.829828254	1089.000	1089.000	67653638.220514190549.wav	0.0000	1089.844	1089.844	0.000	BS				
18	Spectrogram 1	1	11375.429758237	11375.429758237	698.600	698.600	67653638.220514190549.wav	0.0000	703.125	703.125	0.000	BS				
19	Spectrogram 1	1	11518.575690472	11518.575690472	1171.200	1171.200	67653638.220514191049.wav	0.0000	1171.875	1171.875	0.000	BS				
20	Spectrogram 1	1	11570.955250905	11570.955250905	924.700	924.700	67653638.220514191049.wav	0.0000	925.781	925.781	0.000	BS				
21	Spectrogram 1	1	11772.933720611	11772.933720611	1161.000	1161.000	67653638.220514191549.wav	0.0000	1160.156	1160.156	0.000	BS				
22	Spectrogram 1	1	12165.587416035	12165.587416035	626.700	626.700	67653638.220514192049.wav	0.0000	621.094	621.094	0.000	BS				
23	Spectrogram 1	1	12234.095902234	12234.095902234	1972.600	1972.600	67653638.220514192049.wav	0.0000	1968.750	1968.750	0.000	BS				
24	Spectrogram 1	1	12376.671679552	12376.671679552	1623.300	1623.300	67653638.220514192549.wav	0.0000	1628.906	1628.906	0.000	BS				
25	Spectrogram 1	1	12773.655372023	12773.655372023	339.000	339.000	67653638.220514193050.wav	0.0000	339.844	339.844	0.000	BS				
26	Spectrogram 1	1	12858.451317221	12858.451317221	914.400	914.400	67653638.220514193050.wav	0.0000	914.062	914.062	0.000	BS				
27	Spectrogram 1	1	12948.037940749	12952.960869458	482.900	1315.100	67653638.220514193550.wav	4.9229	1007.812	1054.688	832.200	BS				
28	Spectrogram 1	1	13018.919885346	13018.919885346	1431.800	1431.800	67653638.220514193550.wav	0.0000	1429.688	1429.688	0.000	BS				
29	Spectrogram 1	1	13061.449201000	13061.449201000	642.900	642.900	67653638.220514193550.wav	0.0000	644.531	644.531	0.000	BS				
30	Spectrogram 1	1	13441.838946359	13445.461297033	574.700	876.600	67653638.220514194050.wav	3.6224	738.281	738.281	301.900	BS				
31	Spectrogram 1	1	13472.834733736	13472.834733736	750.000	750.000	67653638.220514194050.wav	0.0000	750.000	750.000	0.000	BS			Yes, very faint	
32	Spectrogram 1	1	13513.226244072	13513.226244072	1188.300	1188.300	67653638.220514194550.wav	0.0000	1183.594	1183.594	0.000	BS				
33	Spectrogram 1	1	13650.992917980	13650.992917980	1412.300	1412.300	67653638.220514194550.wav	0.0000	1417.969	1417.969	0.000	BS				
34	Spectrogram 1	1	13798.801641145	13798.801641145	1246.800	1246.800	67653638.220514194550.wav	0.0000	1242.188	1242.188	0.000	BS				
35	Spectrogram 1	1	13852.128852067	13852.128852067	1412.300	1412.300	67653638.220514195050.wav	0.0000	1417.969	1417.969	0.000	BS				
41	Spectrogram 1	1	19156.427760700	19156.427760700	707.865	707.865	67653638.220514211550.wav	0.0000	703.125	703.125	0.000	RS	yelp			
42	Spectrogram 1	1	19173.645327176	19173.645327176	831.461	831.461	67653638.220514211550.wav	0.0000	832.031	832.031	0.000	RS	yelp			
43	Spectrogram 1	1	19880.605401894	19880.605401894	202.572	202.572	67653638.220514213050.wav	0.0000	199.219	199.219	0.000	Maybe RS growl		Maybe RS growl	Maybe. Too faint and distorted to be sure	
44	Spectrogram 1	1	20017.587362128	20017.587362128	1247.191	1247.191	67653638.220514213050.wav	0.0000	1242.188	1242.188	0.000	RS	yelp			
45	Spectrogram 1	1	21062.089031453	21065.277856115	582.734	906.475	67653638.220514215050.wav	3.1888	726.562	750.000	323.741	BS				
46	Spectrogram 1	1	21173.670729571	21173.670729571	2244.604	2244.604	67653638.220514215050.wav	0.0000	2250.000	2250.000	0.000	BS				
47	Spectrogram 1	1	21189.335471486	21191.474199810	453.237	1478.417	67653638.220514215050.wav	2.1387	738.281	761.719	1025.180	BS				
48	Spectrogram 1	1	21292.623251615	21298.837124447	798.561	1370.504	67653638.220514215050.wav	6.2139	1042.969	1031.250	571.943	BS				
49	Spectrogram 1	1	21428.831894546	21458.025259398	431.655	1802.158	67653638.220514215550.wav	29.1934	890.625	468.750	1370.503	BS				
50	Spectrogram 1	1	21544.924016001	21544.924016001	464.029	464.029	67653638.220514215550.wav	0.0000	468.750	468.750	0.000	BS				
51	Spectrogram 1	1	21605.001978805	21605.001978805	366.906	366.906	67653638.220514220050.wav	0.0000	363.281	363.281	0.000	BS				
52	Spectrogram 1	1	21627.726620668	21632.321996390	593.525	1057.554	67653638.220514220050.wav	4.5954	785.156	855.469	464.029	BS				
53	Spectrogram 1	1	21666.416411803	21668.400997545	431.655	1316.547	67653638.220514220050.wav	1.9846	750.000	750.000	884.892	BS				
54	Spectrogram 1	1	21807.131933749	21811.380488662	798.561	1748.201	67653638.220514220050.wav	4.2486	1160.156	1066.406	949.640	BS				
55	Spectrogram 1	1	21859.014912831	21872.974459013	442.446	1748.201	67653638.220514220050.wav	13.9595	867.188	738.281	1305.755	BS				
56	Spectrogram 1	1	21952.687209665	21952.687209665	679.856	679.856	67653638.220514220550.wav	0.0000	679.688	679.688	0.000	BS				
57	Spectrogram 1	1	21982.231789337	21982.231789337	625.899	625.899	67653638.220514220550.wav	0.0000	621.094	621.094	0.000	BS				
58	Spectrogram 1	1	22009.449339880	22011.327952597	183.453	334.532	67653638.220514220550.wav	1.8786	234.375	234.375	151.079	BS				
59	Spectrogram 1	1	22063.541116551	22068.945740828	410.072	1737.410	67653638.220514220550.wav	5.4046	855.469	761.719	1327.338	BS				
60	Spectrogram 1	1	22119.819785152	22119.819785152	734.043	734.043	67653638.220514220550.wav	0.0000	738.281	738.281	0.000	BS				
61	Spectrogram 1	1	22144.007921302	22144.007921302	819.149	819.149	67653638.220514220550.wav	0.0000	820.312	820.312	0.000	BS				
62	Spectrogram 1	1	22252.295721642	22252.295721642	1617.021	1617.021	67653638.220514221050.wav	0.0000	1617.188	1617.188	0.000	BS				
63	Spectrogram 1	1	22292.427968020	22316.955906363	425.532	2031.915	67653638.220514221050.wav	24.5279	878.906	433.594	1606.383	BS				
64	Spectrogram 1	1	22358.485945596	22358.485945596	1393.617	1393.617	67653638.220514221050.wav	0.0000	1394.531	1394.531	0.000	BS				
65	Spectrogram 1	1	22368.948366763	22368.948366763	542.553	542.553	67653638.220514221050.wav	0.0000	539.062	539.062	0.000	BS				
66	Spectrogram 1	1	22384.858338503	22384.858338503	723.404	723.404	67653638.220514221050.wav	0.0000	726.562	726.562	0.000	BS				
67	Spectrogram 1	1	22419.374017772	22419.374017772	531.915	531.915	67653638.220514221050.wav	0.0000	527.344	527.344	0.000	BS				
68	Spectrogram 1	1	22446.290281888	22446.290281888	893.617	893.617	67653638.220514221050.wav	0.0000	890.625	890.625	0.000	BS				
69	Spectrogram 1	1	22462.827312509	22464.532514821	489.362	1617.021	67653638.220514221050.wav	1.7052	750.000	750.000	1127.659	BS				
70	Spectrogram 1	1	22511.071342740	22511.071342740	744.681	744.681	67653638.220514221550.wav	0.0000	750.000	750.000	0.000	BS				
72	Spectrogram 1	1	22669.466859653	22676.008285472	462.366	2408.602	67653638.220514221550.wav	6.5414	1148.438	1371.094	1946.236	BS				
73	Spectrogram 1	1	22725.303252999	22725.303252999	1440.860	1440.860	67653638.220514221550.wav	0.0000	1441.406	1441.406	0.000	BS				
74	Spectrogram 1	1	22779.952047002	22779.952047002	720.430	720.430	67653638.220514221550.wav	0.0000	714.844	714.844	0.000	BS				
75	Spectrogram 1	1	22867.510286299	22867.510286299	2096.774	2096.774	67653638.220514222050.wav	0.0000	2097.656	2097.656	0.000	BS				
76	Spectrogram 1	1	23032.722239202	23032.722239202	1032.258	1032.258	67653638.220514222050.wav	0.0000	1031.250	1031.250	0.000	BS				
77	Spectrogram 1	1	23050.120204135	23050.120204135	698.925	698.925	67653638.220514222050.wav	0.0000	703.125	703.125	0.000	BS				
78	Spectrogram 1	1	23163.580530159	23163.580530159	774.194	774.194	67653638.220514222550.wav	0.0000	773.438	773.438	0.000	BS				
79	Spectrogram 1	1	23214.581586625	23214.581586625	1107.527	1107.527	67653638.220514222550.wav	0.0000	1113.281	1113.281	0.000	BS				
80	Spectrogram 1	1	23262.391189607	23262.391189607	763.441	784.946	67653638.220514222550.wav	0.0000	773.438	773.438	21.505	BS				
81	Spectrogram 1	1	23419.090256860	23421.325324297	419.355	1505.376	67653638.220514223050.wav	2.2351	738.281	750.000	1086.021	BS				
82	Spectrogram 1	1	23577.309739111	23577.309739111	827.957	827.957	67653638.220514223050.wav	0.0000	832.031	832.031	0.000	BS				
83	Spectrogram 1	1	23718.047159258	23718.047159258	731.183	731.183	67653638.220514223550.wav	0.0000	726.562	726.562	0.000	BS				
84	Spectrogram 1	1	23838.707500311	23838.707500311	634.409	634.409	67653638.220514223550.wav	0.0000	632.812	632.812	0.000	BS				
85	Spectrogram 1	1	23987.806313362	23987.806313362	935.484	935.484	67653638.220514223550.wav	0.0000	937.500	937.500	0.000	BS				
86	Spectrogram 1	1	24157.585589871	24157.585589871	1365.591	1365.591	67653638.220514224050.wav	0.0000	1371.094	1371.094	0.000	BS				
87	Spectrogram 1	1	24211.438304313	24211.438304313	290.323	290.323	67653638.220514224050.wav	0.0000	292.969	292.969	0.000	BS				
88	Spectrogram 1	1	24234.435327228	24234.435327228	731.183	731.183	67653638.220514224050.wav	0.0000	726.562	726.562	0.000	BS				
89	Spectrogram 1	1	24260.162250733	24260.162250733	602.151	602.151	67653638.220514224050.wav	0.0000	597.656	597.656	0.000	BS				
90	Spectrogram 1	1	24389.289053011	24389.289053011	1473.118	1473.118	67653638.220514224550.wav	0.0000	1476.562	1476.562	0.000	BS				
91	Spectrogram 1	1	24591.343714311	24591.343714311	1645.161	1645.161	67653638.220514224550.wav	0.0000	1640.625	1640.625	0.000	BS				
92	Spectrogram 1	1	24748.282743701	24748.282743701	688.172	688.172	67653638.220514225050.wav	0.0000	691.406	691.406	0.000	BS				
93	Spectrogram 1	1	24816.198335597	24816.198335597	1043.011	1043.011	67653638.220514225050.wav	0.0000	1042.969	1042.969	0.000	BS				
94	Spectrogram 1	1	24936.311295188	24936.311295188	709.677	709.677	67653638.220514225550.wav	0.0000	714.844	714.844	0.000	BS				
95	Spectrogram 1	1	24966.106364464	24966.106364464	763.441	763.441	67653638.220514225550.wav	0.0000	761.719	761.719	0.000	BS				
96	Spectrogram 1	1	25007.397302781	25007.397302781	1096.774	1096.774	67653638.220514225550.wav	0.0000	1101.562	1101.562	0.000	BS				
97	Spectrogram 1	1	25157.042170626	25157.074575018	1634.409	1677.419	67653638.220514225550.wav	0.0324	1652.344	1652.344	43.010	BS				
99	Spectrogram 1	1	25326.541636227	25326.541636227	2204.301	2204.301	67653638.220514230050.wav	0.0000	2203.125	2203.125	0.000	BS				
100	Spectrogram 1	1	25377.004080862	25377.004080862	1193.548	1193.548	67653638.220514230050.wav	0.0000	1195.312	1195.312	0.000	BS				
101	Spectrogram 1	1	25497.446355669	25497.446355669	1225.806	1225.806	67653638.220514230050.wav	0.0000	1230.469	1230.469	0.000	BS				
102	Spectrogram 1	1	25659.077988202	25659.077988202	709.677	709.677	67653638.220514230550.wav	0.0000	714.844	714.844	0.000	BS				
103	Spectrogram 1	1	25685.798964728	25685.798964728	731.183	731.183	67653638.220514230550.wav	0.0000	726.562	726.562	0.000	BS				
104	Spectrogram 1	1	25815.387326602	25815.387326602	838.710	838.710	67653638.220514231050.wav	0.0000	843.750	843.750	0.000	BS				
105	Spectrogram 1	1	25965.281363018	25965.281363018	1344.086	1344.086	67653638.220514231050.wav	0.0000	1347.656	1347.656	0.000	BS				
106	Spectrogram 1	1	26057.672316900	26057.672316900	569.892	569.892	67653638.220514231050.wav	0.0000	574.219	574.219	0.000	BS				
107	Spectrogram 1	1	26094.598223537	26094.598223537	1032.258	1032.258	67653638.220514231050.wav	0.0000	1031.250	1031.250	0.000	BS				
108	Spectrogram 1	1	26255.082544209	26255.082544209	2139.785	2139.785	67653638.220514231550.wav	0.0000	2144.531	2144.531	0.000	BS				
109	Spectrogram 1	1	26272.635540085	26272.635540085	731.183	731.183	67653638.220514231550.wav	0.0000	726.562	726.562	0.000	BS				
110	Spectrogram 1	1	26403.548126568	26403.548126568	1430.108	1430.108	67653638.220514232050.wav	0.0000	1429.688	1429.688	0.000	BS				
111	Spectrogram 1	1	26442.735373153	26442.735373153	580.645	580.645	67653638.220514232050.wav	0.0000	585.938	585.938	0.000	BS				
112	Spectrogram 1	1	26555.192877508	26555.192877508	731.183	731.183	67653638.220514232050.wav	0.0000	726.562	726.562	0.000	BS				
113	Spectrogram 1	1	26590.082553294	26590.082553294	1075.269	1075.269	67653638.220514232050.wav	0.0000	1078.125	1078.125	0.000	BS				
114	Spectrogram 1	1	26621.339339965	26627.977104898	419.355	2494.624	67653638.220514232050.wav	6.6378	1183.594	1218.750	2075.269	BS				
115	Spectrogram 1	1	26777.977101406	26777.977101406	741.935	741.935	67653638.220514232550.wav	0.0000	738.281	738.281	0.000	BS				
116	Spectrogram 1	1	26828.561251981	26828.561251981	1236.559	1236.559	67653638.220514232550.wav	0.0000	1242.188	1242.188	0.000	BS				
117	Spectrogram 1	1	27016.729056979	27016.729056979	1440.860	1440.860	67653638.220514233050.wav	0.0000	1441.406	1441.406	0.000	BS				
118	Spectrogram 1	1	27184.980081282	27184.980081282	795.699	795.699	67653638.220514233050.wav	0.0000	796.875	796.875	0.000	BS				
119	Spectrogram 1	1	27308.249472027	27308.249472027	1064.516	1064.516	67653638.220514233550.wav	0.0000	1066.406	1066.406	0.000	BS				
