Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	Center Freq (Hz)	Peak Freq (Hz)	Delta Freq (Hz)	Species	Call type	Comments	WH	Quantity	KZ Done?
41	Spectrogram 1	1	19156.427760000	19156.427760000	707.865	707.865	67653638.220514211550.wav	0.0000	703.125	703.125	0.000	RS	yelp				Y
42	Spectrogram 1	1	19173.645330000	19173.645330000	831.461	831.461	67653638.220514211550.wav	0.0000	832.031	832.031	0.000	RS	yelp				Y
43	Spectrogram 1	1	19880.605400000	19880.605400000	202.572	202.572	67653638.220514213050.wav	0.0000	199.219	199.219	0.000	Maybe RS growl		Maybe RS growl	Maybe. Too faint and distorted to be sure		Y
44	Spectrogram 1	1	20017.587360000	20017.587360000	1247.191	1247.191	67653638.220514213050.wav	0.0000	1242.188	1242.188	0.000	RS	yelp				Y
126	Spectrogram 1	1	28036.905980000	28036.905980000	301.075	301.075	67653638.220514234550.wav	0.0000	304.688	304.688	0.000	Maybe RS		Maybe RS	Unknown		Y
143	Spectrogram 1	1	19172.961320000	19172.961320000	1127.072	1127.072	67653638.220514211550.wav	0.0000	1125.000	1125.000	0.000	RS	yelp				Y
175	Spectrogram 1	1	33915.320740000	33915.320740000	779.006	779.006	67653638.220515012550.wav	0.0000	773.438	773.438	0.000	RS	YELP		Yelp		Y
176	Spectrogram 1	1	33923.020000000	33923.020000000	150.538	150.538	67653638.220515012550.wav	0.0000	152.344	152.344	0.000	RS	GROWL		RS growl based on yelp right before		Y
177	Spectrogram 1	1	33927.704690000	33928.581370000	129.496	269.784	67653638.220515012550.wav	0.8767	175.781	210.938	140.288	RS	GROWL		RS growl		Y
178	Spectrogram 1	1	33932.716960000	33932.716960000	666.667	666.667	67653638.220515012550.wav	0.0000	667.969	667.969	0.000	RS	YELP				Y
221	Spectrogram 1	1	41241.691350000	41243.666310000	645.161	946.237	67653638.220515032550.wav	1.9750	750.000	761.719	301.076	RS	YELP		RS - long yelp		Y
223	Spectrogram 1	1	41244.677870000	41244.677870000	752.688	752.688	67653638.220515032550.wav	0.0000	750.000	750.000	0.000	RS	YELP		Yelp		Y
224	Spectrogram 1	1	41245.106580000	41246.175940000	67.742	174.194	67653638.220515032550.wav	1.0694	70.312	70.312	106.452	RS	BARK		Bark		Y
225	Spectrogram 1	1	41274.117350000	41274.117350000	553.191	553.191	67653638.220515032550.wav	0.0000	550.781	550.781	0.000	RS	MAYBE GROWL		Maybe RS growl		Y
226	Spectrogram 1	1	41282.272020000	41282.272020000	319.853	319.853	67653638.220515032550.wav	0.0000	316.406	316.406	0.000	RS	MAYBE WOOF		RS - maybe woof?		Y
295	Spectrogram 1	1	53963.697820000	53963.697820000	574.713	574.713	67653638.220515065551.wav	0.0000	574.219	574.219	0.000	RS	YELP		Yelp		Y
296	Spectrogram 1	1	53988.623370000	53988.767880000	68.966	195.402	67653638.220515065551.wav	0.1445	128.906	128.906	126.436	RS	BARK	GOOD	Bark		Y
297	Spectrogram 1	1	54111.948820000	54112.719530000	114.943	505.747	67653638.220515070051.wav	0.7707	187.500	175.781	390.804	RS	GROWL		RS growl or groan?		Y
298	Spectrogram 1	1	54243.273930000	54243.273930000	553.191	553.191	67653638.220515070051.wav	0.0000	550.781	550.781	0.000	RS	UNKNOWN		"Likely RS, unknown call"		Y
300	Spectrogram 1	1	60783.958180000	60784.622920000	152.174	250.000	67653638.220515085051.wav	0.6647	187.500	187.500	97.826	RS	GROWL		RS growl		Y
301	Spectrogram 1	1	60788.328470000	60789.291860000	130.435	250.000	67653638.220515085051.wav	0.9634	187.500	187.500	119.565	RS	GROWL		RS growl		Y
302	Spectrogram 1	1	60793.630620000	60795.123880000	173.913	304.348	67653638.220515085051.wav	1.4933	246.094	269.531	130.435	RS	GROWL		Growl		Y
303	Spectrogram 1	1	60799.043130000	60799.043130000	652.174	652.174	67653638.220515085051.wav	0.0000	656.250	656.250	0.000	RS	YELP		RS yelp		Y
326	Spectrogram 1	1	68728.920530000	68728.920530000	1326.693	1326.693	67653638.220515110551.wav	0.0000	1324.219	1324.219	0.000	RS	YELP		RS yelp		Y
327	Spectrogram 1	1	68734.334790000	68734.334790000	1314.741	1314.741	67653638.220515110551.wav	0.0000	1312.500	1312.500	0.000	RS	YELP		RS yelp		Y
329	Spectrogram 1	1	68738.524660000	68738.524660000	1308.511	1308.511	67653638.220515110551.wav	0.0000	1312.500	1312.500	0.000	RS	YELP		RS Yelp		Y
330	Spectrogram 1	1	68745.056440000	68745.306920000	1063.745	1768.924	67653638.220515110551.wav	0.2505	1582.031	1582.031	705.179	RS	YELP		RS yelp		Y
