Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
65	Spectrogram 1	1	7129.091733	7129.39324	0.3015	230.8094	139.1	784.8	339.844	1208795168.700225064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700225064318.wav	12.35	Y	Not super defined but visible	ND	RS				RS		X	1	0	X	B	unk	TOO FAINT
109	Spectrogram 1	1	8323.433667	8323.787769	0.3541	225.456	193.5	1155.6	550.781	1208795168.700307064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700307064318.wav	12.41	Y		ND	RS				RS		X	1	0	X	B	unk	TOO FAINT
200	Spectrogram 1	1	9678.491067	9679.447221	0.9562	80.9164	144.044	2322.6	503.906	1208795168.700401094318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700401094318.wav	15.39	Y	good one!	ND	RS						Y	4	2	X	B	unk	Good
210	Spectrogram 1	1	9509.528233	9509.738653	0.2104	211.9099	94.183	831.1	316.406	1208795168.700405034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700405034318.wav	15.48	Y	looks promising but I can't hear anything	ND	RS				Y		Y	3	0	X	B	unk	Last one faint
211	Spectrogram 1	1	9546.493455	9547.432334	0.9389	248.8751	72.022	916.5	328.125	1208795168.700405034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700405034318.wav	15.09	Y	I can't hear them though	ND	RS						Y	3	0	X	B	unk	Good
216	Spectrogram 1	1	4188.520867	4189.982307	1.4614	289.5162	170.8	723	421.875	1208795168.700405234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700405234318.wav	14.04	Y	I can't hear them	ND	RS						Y	6	3	X	B	unk	Excellent
258	Spectrogram 1	1	7267.999333	7268.307123	0.3078	69.732	105.263	658.96	105.469	1208795168.700420034318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700420034318.wav	14.32	Y	faint	ND	RS						Y	1	0	X	B	unk	Good
270	Spectrogram 1	1	8632.916667	8633.16569	0.249	235.089	159.6	1238.5	375	1208795168.700423114318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700423114318.wav	13.59	Y	I can hear those	ND	RS	medium			RS		Y	1	0	X	BY	unk	
327	Spectrogram 1	1	8919.222333	8919.560433	0.3381	221.463	319.3	946.8	433.594	1208795168.700506204318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700506204318.wav	11.26	Y		ND	RS				RS		Y	1	0	X	B	unk	Good
330	Spectrogram 1	1	9085.240333	9085.417433	0.1771	87.573	121.1	1056.9	316.406	1208795168.700507164318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700507164318.wav	15.98	Y		ND	RS				RS		Y	1	0	X	B	unk	Good
