Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	No. Calls	Ship Noise	Ship Size	Comments	WH ID	WH Comment
3769	Spectrogram 1	1	123.542	124.6998	1.158	3.542	59.6	1635.8	TEST__0__20171028_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171028_160801.wav	X	Weird call	in ambient noise	RS	1			RS bark? or something else?	X	Weird call
3806	Spectrogram 1	1	260.853	266.642	5.789	20.853	52.6	2256.6	TEST__0__20171030_054401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171030_054401.wav	X	No barks	bubble noise making it confusing	RS				? what causes this?	X	No barks
3808	Spectrogram 1	1	456.769	468.1115	11.342	96.769	269.7	1203.9	TEST__0__20171030_083201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171030_083201.wav	X	yelp	"I think they are all yelps, but just to check"	RS	series				X	All yelps
3	Spectrogram 1	1	627.906	628.5633934	0.657	27.906	45	590.5	TEST__0__20171001_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_000801.wav	X			RS	1					
4	Spectrogram 1	1	638.493	639.8274105	1.334	38.493	397.8	1043.5	TEST__0__20171001_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_000801.wav	X	whistle	AH	RS	1			whistle		
9	Spectrogram 1	1	785.487	786.7036683	1.217	65.487	246.9	603	TEST__0__20171001_002001.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_002001.wav	X			RS	1					
17	Spectrogram 1	1	940.335	941.5365315	1.202	100.335	25.9	717.2	TEST__0__20171001_010801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_010801.wav	X			RS	2					
28	Spectrogram 1	1	1012.783	1013.37171	0.589	52.783	131	937.9	TEST__0__20171001_023201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_023201.wav	X	yelp	AH	RS	1			yelp		
29	Spectrogram 1	1	1078.376	1079.239442	0.863	118.376	120.1	445.3	TEST__0__20171001_023201.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_023201.wav	X			RS						
30	Spectrogram 1	1	1183.053	1183.533782	0.481	103.053	785.5	995.6	TEST__0__20171001_024401.wav	D:\Kitikmeot_2017_2018\TEST__0__20171001_024401.wav	X			RS	1					
