Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	No. Calls	Ship Noise	Ship Size	Comments	WH ID	WH Comment
135	Spectrogram 1	1	3619.191	3621.3496	2.159	19.191	509.2	2889.9	TEST__0__20180802_143201.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_143201.wav	X	yelp	Something like a yelp	RS					RS	Really close
188	Spectrogram 1	1	5838.21	5841.52641	3.316	78.21	345.6	1251.2	TEST__0__20180803_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180803_100801.wav	X	"bark, yelp"		RS	series					
591	Spectrogram 1	1	12280.502	12285.05469	4.553	40.502	362.6	2004.4	TEST__0__20180806_155601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180806_155601.wav	X	yelp		RS	2			maybe last one non biological?	RS	
748	Spectrogram 1	1	17511.615	17514.2446	2.63	111.615	423.9	2654.3	TEST__0__20180809_112001.wav	D:\Kitikmeot_2017_2018\TEST__0__20180809_112001.wav	X	yelp	yelp. maybe a weird HF bark	RS						
826	Spectrogram 1	1	19736.473	19743.2039	6.731	56.473	78.1	1789.6	TEST__0__20180810_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180810_220801.wav	Y	"bark, yelp, growl"		RS				sound like something is rubbing along the instruments	RS	Definitely RS yelp at beginning
5	Spectrogram 1	1	120.388	121.3520135	0.964	0.388	408.9	1331.2	TEST__0__20180801_005601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_005601.wav	X		AH	RS				very faint		
7	Spectrogram 1	1	300.327	301.44555	1.119	60.327	529.4	1099.5	TEST__0__20180801_010801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_010801.wav	X		AH	RS	1			faint		
13	Spectrogram 1	1	400.393	401.119076	0.726	40.393	566.3	1117.3	TEST__0__20180801_024401.wav	D:\Kitikmeot_2017_2018\TEST__0__20180801_024401.wav	X		AH	RS	1			very faint		
104	Spectrogram 1	1	1595.583	1596.72117	1.138	35.583	564.2	1107.8	TEST__0__20180802_030801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_030801.wav	X	moan WCA5?	AH	RS	1			moan WCA5?		
132	Spectrogram 1	1	3305.175	3308.2363	3.061	65.175	591.7	942.7	TEST__0__20180802_135601.wav	D:\Kitikmeot_2017_2018\TEST__0__20180802_135601.wav	X		AH	RS				"very faint, weird"	RS	
