Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Keep for detector? Y/X	Call type	AR comment	Annotator	Species	WH comment	WH
37	Spectrogram 1	2	1897.448	1900.48	220.9	965.1	2017-ULU01_0+1_20171111_163602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171111_163602.wav	97.448	Y	bark		WH	RS		
43	Spectrogram 1	2	23415.81086	23425.33102	0	1627.9	2017-ULU01_0+1_20171227_043602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171227_043602.wav	15.811	Y	"bark, yelp"	some low freq noise	WH	RS		
45	Spectrogram 1	2	36790.498	36793.144	0	2238.4	2017-ULU01_0+1_20180122_120602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180122_120602.wav	190.498	Y	bark	some low freq noise	WH	RS		
90	Spectrogram 1	2	20621.251	20623.622	0	934.3	2017-ULU01_0+1_20171223_180602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171223_180602.wav	221.251	Y	bark	good series	WH	RS		
91	Spectrogram 1	2	21029.45	21031.7	0	3016.9	2017-ULU01_0+1_20171224_143602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171224_143602.wav	29.45	Y	"bark, yelp"	no background noise	WH	RS	Very clear	
93	Spectrogram 1	2	25525.2	25530.522	0	1440.9	2017-ULU01_0+1_20171230_130602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20171230_130602.wav	25.2	Y	bark	some low freq noise	WH	RS		
363	Spectrogram 1	2	172.23	173.9598	0	1299.4	2017-ULU01_0+1_20170821_080602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20170821_080602.wav	172.23	Y	"bark, yelp"	in background noise	WH	RS		
404	Spectrogram 1	2	386.771	387.5936	0	1069.4	2017-ULU01_0+1_20170827_140602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20170827_140602.wav	86.771	Y	bark	It looks like a bark but sounds like a yelp to me...	WH	RS	Y	bark
511	Spectrogram 1	2	26172.069	26174.174	0	1542.2	2017-ULU01_0+1_20180101_020602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180101_020602.wav	72.069	Y	bark		WH	RS		
513	Spectrogram 1	2	26632.53012	26642.402	0	1305.8	2017-ULU01_0+1_20180101_033602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180101_033602.wav	232.53	Y	bark		WH	RS		
518	Spectrogram 1	2	26717.427	26723.572	0	1182	2017-ULU01_0+1_20180101_210602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180101_210602.wav	17.427	Y	"bark, yelp"	pretty good clean example	WH	RS		
520	Spectrogram 1	2	27022.454	27022.841	0	641.7	2017-ULU01_0+1_20180102_013602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180102_013602.wav	22.454	Y	bark		WH	RS		
521	Spectrogram 1	2	27030.143	27030.881	0	788	2017-ULU01_0+1_20180102_013602.wav	D:\Ulu_2017_2018\2017-ULU01_0+1_20180102_013602.wav	30.143	Y	bark		WH	RS		
