Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Begin Hour	Species	Call type	Comments	Quantity	WH	KZ Done?
7	Spectrogram 1	1	634.801187300	634.801187300	1095.400	1095.400	-113.35	0	RS	YELP				Y
8	Spectrogram 1	1	635.292516800	635.292516800	834.000	834.000	-107.24	0	RS	YELP				Y
12	Spectrogram 1	1	728.673141300	728.673141300	622.400	622.400	-110.06	0	RS	YELP				Y
13	Spectrogram 1	1	729.636532400	729.636532400	697.100	697.100	-125.29	0	RS	YELP				Y
14	Spectrogram 1	1	733.124008300	733.124008300	572.600	572.600	-115.22	0	RS	YELP				Y
15	Spectrogram 1	1	733.384123900	733.384123900	448.100	448.100	-94.53	0	RS	BARK				Y
16	Spectrogram 1	1	737.566984400	737.566984400	746.900	746.900	-121.98	0	RS	BARK				Y
17	Spectrogram 1	1	737.807832200	737.807832200	435.700	435.700	-111.79	0	RS	BARK				Y
18	Spectrogram 1	1	738.857928500	740.216310000	124.500	535.300	-93.69	0	RS	BARK		6	RS bark	Y
19	Spectrogram 1	1	768.894709500	768.894709500	1966.800	1966.800	-121.64	0	RS	YELP				Y
20	Spectrogram 1	1	788.433175400	788.433175400	871.400	871.400	-104.56	0	RS	YELP				Y
21	Spectrogram 1	1	788.645121400	788.645121400	547.700	547.700	-116.48	0	RS	BARK				Y
22	Spectrogram 1	1	789.223156100	789.223156100	560.200	560.200	-117.22	0	RS	YELP				Y
23	Spectrogram 1	1	789.464003900	789.464003900	398.300	398.300	-115.18	0	RS	BARK				Y
24	Spectrogram 1	1	792.233311900	792.233311900	871.400	871.400	-122.35	0	RS	YELP				Y
25	Spectrogram 1	1	795.701520000	795.701520000	722.000	722.000	-103.27	0	RS	YELP				Y
26	Spectrogram 1	1	795.952001700	795.952001700	597.500	597.500	-103.62	0	RS	BARK				Y
28	Spectrogram 1	1	823.704678500	823.704678500	161.800	161.800	-98.25	0	RS	GROWL			RS growl	Y
29	Spectrogram 1	1	853.247476300	853.247476300	1668.000	1668.000	-113.47	0	RS	YELP				Y
30	Spectrogram 1	1	862.844597600	862.844597600	651.200	651.200	-127.97	0	RS	YELP				Y
31	Spectrogram 1	1	863.046909800	863.046909800	331.000	331.000	-102.40	0	RS	BARK				Y
32	Spectrogram 1	1	863.422632300	863.422632300	373.700	373.700	-88.19	0	RS	BARK				Y
34	Spectrogram 1	1	898.590791600	898.812371600	1217.100	1644.100	-94.72	0	RS	YELP				Y
35	Spectrogram 1	1	900.854760800	900.854760800	1644.100	1644.100	-117.63	0	RS	YELP				Y
36	Spectrogram 1	1	957.096636700	957.096636700	1622.800	1622.800	-114.54	0	RS	YELP				Y
37	Spectrogram 1	1	957.771010500	957.771010500	1943.100	1943.100	-112.92	0	RS	YELP				Y
38	Spectrogram 1	1	971.882066700	971.882066700	565.800	565.800	-95.29	0	RS	YELP				Y
64	Spectrogram 1	1	2147.726372000	2147.726372000	1035.600	1035.600	-124.53	0	RS	YELP				Y
67	Spectrogram 1	1	2246.419659000	2246.419659000	790.000	790.000	-97.67	0	RS	YELP				Y
74	Spectrogram 1	1	2710.215426000	2712.113306000	128.100	1419.900	-92.68	0	RS	BARK		3		Y
95	Spectrogram 1	1	4370.439626000	4370.439626000	928.800	939.500	-105.54	1	RS	YELP				Y
96	Spectrogram 1	1	4371.480089000	4371.480089000	661.900	661.900	-116.05	1	RS	BARK				Y
97	Spectrogram 1	1	4374.370262000	4374.370262000	736.700	736.700	-119.40	1	RS	YELP				Y
98	Spectrogram 1	1	4372.839348000	4372.839348000	907.500	907.500	-111.62	1	RS	YELP				Y
99	Spectrogram 1	1	4375.866146000	4375.866146000	661.900	661.900	-115.03	1	RS	YELP				Y
100	Spectrogram 1	1	4381.848805000	4381.848805000	501.800	501.800	-122.80	1	RS	YELP				Y
101	Spectrogram 1	1	4384.173206000	4384.173206000	747.300	747.300	-118.85	1	RS	YELP				Y
102	Spectrogram 1	1	4384.433322000	4384.433322000	405.700	405.700	-127.82	1	RS	BARK				Y
103	Spectrogram 1	1	4384.857214000	4384.857214000	597.900	597.900	-119.16	1	RS	YELP				Y
104	Spectrogram 1	1	4385.117329000	4385.117329000	288.300	288.300	-86.96	1	RS	BARK				Y
105	Spectrogram 1	1	4386.369738000	4386.369738000	533.800	533.800	-116.89	1	RS	YELP				Y
106	Spectrogram 1	1	4386.649121000	4386.649121000	320.300	320.300	-97.04	1	RS	BARK				Y
107	Spectrogram 1	1	4403.172154000	4403.172154000	704.600	704.600	-122.31	1	RS	YELP				Y
108	Spectrogram 1	1	4403.576779000	4403.576779000	245.600	245.600	-87.23	1	RS	BARK				Y
109	Spectrogram 1	1	4403.981403000	4403.981403000	864.800	864.800	-110.15	1	RS	YELP				Y
110	Spectrogram 1	1	4404.308956000	4404.308956000	298.900	298.900	-105.11	1	RS	BARK				Y
112	Spectrogram 1	1	4566.875065000	4566.875065000	459.100	459.100	-113.58	1	RS	BARK				Y
113	Spectrogram 1	1	4625.673471000	4625.866149000	544.500	726.000	-89.00	1	RS	YELP				Y
114	Spectrogram 1	1	4626.135899000	4626.135899000	298.900	298.900	-122.70	1	RS	BARK				Y
115	Spectrogram 1	1	4626.607960000	4626.607960000	523.100	523.100	-122.85	1	RS	YELP				Y
116	Spectrogram 1	1	4626.800638000	4626.800638000	288.300	288.300	-110.91	1	RS	BARK				Y
117	Spectrogram 1	1	4631.993317000	4631.993317000	779.400	779.400	-108.29	1	RS	YELP				Y
118	Spectrogram 1	1	4639.000673000	4639.337860000	405.700	672.600	-89.47	1	RS	YELP				Y
119	Spectrogram 1	1	4639.434199000	4639.434199000	277.600	277.600	-101.51	1	RS	BARK				Y
120	Spectrogram 1	1	4639.646145000	4639.646145000	651.200	651.200	-110.57	1	RS	YELP				Y
121	Spectrogram 1	1	4639.973698000	4639.973698000	309.600	309.600	-105.67	1	RS	BARK				Y
122	Spectrogram 1	1	4640.272349000	4640.272349000	480.400	480.400	-113.40	1	RS	YELP				Y
123	Spectrogram 1	1	4640.522831000	4640.522831000	352.300	352.300	-109.12	1	RS	BARK				Y
124	Spectrogram 1	1	4648.799237000	4648.799237000	469.800	469.800	-107.77	1	RS	YELP				Y
125	Spectrogram 1	1	4649.088254000	4649.088254000	331.000	331.000	-111.03	1	RS	BARK				Y
126	Spectrogram 1	1	4656.490603000	4656.490603000	661.900	661.900	-111.84	1	RS	BARK				Y
127	Spectrogram 1	1	4656.981933000	4656.981933000	544.500	544.500	-118.45	1	RS	YELP				Y
128	Spectrogram 1	1	4657.203513000	4657.203513000	437.700	437.700	-100.15	1	RS	BARK				Y
129	Spectrogram 1	1	4657.376923000	4657.376923000	395.000	395.000	-116.99	1	RS	YELP				Y
130	Spectrogram 1	1	4657.550333000	4657.550333000	288.300	288.300	-117.22	1	RS	BARK				Y
132	Spectrogram 1	1	4664.802037000	4664.802037000	523.100	523.100	-111.68	1	RS	BARK				Y
133	Spectrogram 1	1	4665.534215000	4665.534215000	427.000	427.000	-122.04	1	RS	YELP				Y
134	Spectrogram 1	1	4665.803964000	4665.803964000	266.900	266.900	-103.96	1	RS	BARK				Y
135	Spectrogram 1	1	4666.247124000	4666.247124000	886.100	886.100	-118.19	1	RS	YELP				Y
136	Spectrogram 1	1	4666.507240000	4666.507240000	288.300	288.300	-116.08	1	RS	BARK				Y
137	Spectrogram 1	1	4833.205417000	4833.205417000	213.500	213.500	-106.64	1	RS	GROWL				Y
141	Spectrogram 1	1	4919.400920000	4919.400920000	266.900	266.900	-115.80	1	RS	GROWL			Growl	Y
147	Spectrogram 1	1	5524.527912000	5524.527912000	320.300	320.300	-111.22	1	RS	GROWL			Growl	Y
153	Spectrogram 1	1	5841.151661000	5841.151661000	405.700	405.700	-116.22	1	RS	BARK				Y
156	Spectrogram 1	1	6104.430697000	6106.742836000	124.060	575.188	-94.07	1	RS	BARK		4	Bark	Y
158	Spectrogram 1	1	6122.122935000	6122.122935000	1353.383	1353.383	-106.01	1	RS	YELP				Y
159	Spectrogram 1	1	6123.105594000	6123.105594000	1454.887	1454.887	-120.59	1	RS	YELP				Y
171	Spectrogram 1	1	7291.228731000	7291.228731000	204.301	204.301	-96.50	2	RS	GROWL			Growl	Y
172	Spectrogram 1	1	7290.689232000	7290.689232000	526.882	526.882	-119.10	2	RS	YELP			Yelp	Y
179	Spectrogram 1	1	7715.485161000	7717.710595000	107.527	741.935	-93.19	2	RS	BARK		4		Y
