Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH	KZ Done?
383	Spectrogram 1	1	23739.208240000	23739.208240000	1153.025	1153.025	67653638.220517220558.wav	RS	YELP		RS yelp	Y
384	Spectrogram 1	1	23742.666810000	23742.666810000	1024.911	1024.911	67653638.220517220558.wav	RS	YELP		RS yelp	Y
385	Spectrogram 1	1	23745.115560000	23745.115560000	886.121	886.121	67653638.220517220558.wav	RS	YELP		RS yelp	Y
449	Spectrogram 1	1	27854.243270000	27854.243270000	1163.701	1163.701	67653638.220517231058.wav	LIKELY RS			"Likely RS, but unknown call"	Y
450	Spectrogram 1	1	27860.900310000	27860.900310000	1174.377	1174.377	67653638.220517231058.wav	LIKELY RS			"Likely RS, but unknown call"	Y
451	Spectrogram 1	1	27867.566090000	27867.566090000	950.178	950.178	67653638.220517231058.wav	LIKELY RS			Likely RS	Y
457	Spectrogram 1	1	28095.305640000	28095.305640000	1409.253	1409.253	67653638.220517231558.wav	LIKELY RS			Likely RS	Y
460	Spectrogram 1	1	28222.008200000	28222.008200000	202.847	202.847	67653638.220517232058.wav	MAYBE RS			Maybe RS growl	Y
462	Spectrogram 1	1	28406.800640000	28406.800640000	758.007	758.007	67653638.220517232058.wav	RS	YELP		RS yelp	Y
464	Spectrogram 1	1	28415.980010000	28415.980010000	181.495	181.495	67653638.220517232058.wav	PROBABLY RS			Probably RS growl	Y
465	Spectrogram 1	1	28431.381130000	28431.381130000	1142.349	1142.349	67653638.220517232058.wav	?LIKELY RS			Likely RS	Y
471	Spectrogram 1	1	28611.356600000	28611.356600000	170.819	170.819	67653638.220517232558.wav	RS	GROWL		RS growl	Y
475	Spectrogram 1	1	28835.372190000	28835.372190000	1142.349	1142.349	67653638.220517233058.wav	LIKELY RS			Likely RS	Y
494	Spectrogram 1	1	29688.074070000	29688.074070000	1558.719	1558.719	67653638.220517234058.wav	RS	YELP		Yelp	Y
495	Spectrogram 1	1	29691.619350000	29691.619350000	1366.548	1366.548	67653638.220517234058.wav	RS	YELP			Y
496	Spectrogram 1	1	29692.143950000	29692.143950000	1056.940	1056.940	67653638.220517234058.wav	RS	BARK		Bark	Y
497	Spectrogram 1	1	29692.799060000	29692.799060000	1088.968	1088.968	67653638.220517234058.wav	RS	YELP			Y
498	Spectrogram 1	1	29694.146060000	29694.146060000	1056.940	1056.940	67653638.220517234058.wav	RS	YELP		Yelp	Y
650	Spectrogram 1	1	36414.634750000	36414.634750000	1067.616	1067.616	67653638.220518013559.wav	RS	YELP		Yelp	Y
651	Spectrogram 1	1	36418.189660000	36418.189660000	1099.644	1099.644	67653638.220518013559.wav	RS	YELP		Yelp	Y
652	Spectrogram 1	1	36419.037450000	36419.037450000	1067.616	1067.616	67653638.220518013559.wav	RS	YELP		Yelp	Y
653	Spectrogram 1	1	36423.282510000	36423.282510000	1345.196	1345.196	67653638.220518013559.wav	RS	YELP		Yelp	Y
654	Spectrogram 1	1	36426.153420000	36426.153420000	1387.900	1387.900	67653638.220518013559.wav	RS	YELP		Yelp	Y
