Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species	Ship?	Ship Size	Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
213	Spectrogram 1	1	178.793	179.28081	178.793	120.2	865.7	DS3B__0__20180824_210354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180824_210354.wav	Y	bark		RS				X	1	0	X	B	-	Too faint
217	Spectrogram 1	1	399.946	400.36064	136.946	138.3	643.3	DS3B__0__20180825_000354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180825_000354.wav	Y	bark	"quite masked, but still visible"	RS			Bark	X	1	0	X	B	-	Too faint
219	Spectrogram 1	1	672.841	673.21905	146.841	384.8	1142.3	DS3B__0__20180825_010354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180825_010354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	Borderline too faint
223	Spectrogram 1	1	891.537	891.7727589	102.537	336.7	853.7	DS3B__0__20180825_050354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180825_050354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	Borderline too faint
254	Spectrogram 1	1	1283.817	1284.20725	231.817	72.1	390.8	DS3B__0__20180826_070354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180826_070354.wav	Y	bark	quite masked but still visible	RS				X	1	0	X	B	-	Too faint
311	Spectrogram 1	1	1396.3883	1397.110843	81.3883	126.3	781.6	DS3B__0__20180901_050354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180901_050354.wav	Y	"bark, yelp"	very close together yelp-bark	RS				Y	1	1	X	BY	-	
316	Spectrogram 1	1	1615.598	1617.39068	37.598	168.3	2840.336	DS3B__0__20180901_150354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180901_150354.wav	Y	"bark, yelp"	Yelp-yelp-bark	RS			Yelp-yelp-bark - very clearn	Y	1	2	X	BY	-	
317	Spectrogram 1	1	2018.878	2019.18288	177.878	138.3	1058.1	DS3B__0__20180901_180354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180901_180354.wav	Y	bark	WH. High background noise	RS			Bark	X	1	0	X	B	-	Too faint
334	Spectrogram 1	1	2150.104	2150.6527	46.104	141.3	748.5	DS3B__0__20180903_170354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180903_170354.wav	Y	bark	WH. High background noise.	RS			Bark	X	1	0	X	B	-	Too faint
335	Spectrogram 1	1	2419.549	2419.9758	52.549	138.3	721.4	DS3B__0__20180903_180354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180903_180354.wav	Y	bark	WH	RS				Y	1	0	X	B	-	Borderline too faint
