Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Keep for detector? Y/X	Call type	AR comment	Annotator	Species	WH comment	WH	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
37	Spectrogram 1	2	97.448	100.48	220.9	965.1	2017-ULU01_0+1_20171111_163602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171111_163602.wav	97.448	Y	bark		WH	RS			M	--	-	-	-	-		Y
43	Spectrogram 1	2	315.811	325.33116	0	1627.9	2017-ULU01_0+1_20171227_043602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171227_043602.wav	15.811	Y	"bark, yelp"	some low freq noise	WH	RS			X	-	-	-	-	S		
45	Spectrogram 1	2	790.498	793.144	0	2238.4	2017-ULU01_0+1_20180122_120602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180122_120602.wav	190.498	Y	bark	some low freq noise	WH	RS			X	-	-	-	-	S		
90	Spectrogram 1	2	1121.5071	1123.384857	0	934.3	2017-ULU01_0+1_20171223_180602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171223_180602.wav	221.5071	Y	bark	good series	WH	RS			Y	7	0	X	B	-	Good	
91	Spectrogram 1	2	1229.7779	1231.283886	0	3016.9	2017-ULU01_0+1_20171224_143602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171224_143602.wav	29.7779	Y	"bark, yelp"	no background noise	WH	RS	Very clear		Y	2	2	X	BY	-	Very clear	
93	Spectrogram 1	2	1525.2	1530.522	0	1440.9	2017-ULU01_0+1_20171230_130602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20171230_130602.wav	25.2	Y	bark	some low freq noise	WH	RS			X	-	-	-	-	S		
363	Spectrogram 1	2	1972.4868	1973.765943	0	1299.4	2017-ULU01_0+1_20170821_080602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20170821_080602.wav	172.4868	Y	"bark, yelp"	in background noise	WH	RS			Y	3	3	X	BY	-		
404	Spectrogram 1	2	2186.771	2187.223732	291.339	748.031	2017-ULU01_0+1_20170827_140602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20170827_140602.wav	86.771	Y	bark	It looks like a bark but sounds like a yelp to me...	WH	RS	Y	bark	Y	1	0	X	B	-	Faint	
511	Spectrogram 1	2	2472.789	2473.343505	62.992	937.008	2017-ULU01_0+1_20180101_020602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180101_020602.wav	72.789	Y	bark		WH	RS			Y	2	0	X	B	-		
513	Spectrogram 1	2	2932.53	2942.40188	0	1305.8	2017-ULU01_0+1_20180101_033602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180101_033602.wav	232.53	Y	bark		WH	RS			X	-	-	-	-	S		
518	Spectrogram 1	2	3017.427	3023.572	0	1182	2017-ULU01_0+1_20180101_210602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180101_210602.wav	17.427	Y	"bark, yelp"	pretty good clean example	WH	RS			X	-	-	-	-	S		
520	Spectrogram 1	2	3322.5435	3322.738837	0	543.307	2017-ULU01_0+1_20180102_013602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180102_013602.wav	22.5435	Y	bark		WH	RS			Y	1	0	X	B	-		
521	Spectrogram 1	2	3330.1182	3331.107488	0	788	2017-ULU01_0+1_20180102_013602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180102_013602.wav	30.1182	Y	bark		WH	RS			X	-	-	-	-	S		
526	Spectrogram 1	2	3671.143	3675.595	0	1001.9	2017-ULU01_0+1_20180105_060602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180105_060602.wav	71.143	Y	bark		WH	RS			X	-	-	-	-	S		
527	Spectrogram 1	2	3815.485	3821.59514	0	1767.4	2017-ULU01_0+1_20180105_060602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180105_060602.wav	215.485	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
528	Spectrogram 1	2	3914.9463	3915.286565	0	1204.5	2017-ULU01_0+1_20180105_110602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180105_110602.wav	14.9463	Y	"bark, yelp"	simultaneous bark-yelp?	WH	RS	Y	bark yelp	Y	1	0	X	BY	-		
530	Spectrogram 1	2	4270.4382	4271.295163	0	1249.5	2017-ULU01_0+1_20180106_120602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180106_120602.wav	70.4382	Y	bark	with noise	WH	RS			Y	3	0	Y	B	-	Clip in between 2 and 3	
531	Spectrogram 1	2	4546.7484	4548.11576	0	1125.984	2017-ULU01_0+1_20180106_170602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180106_170602.wav	46.7484	Y	"bark, yelp"		WH	RS			Y	5	4	X	BY	-		
535	Spectrogram 1	2	5091.0333	5093.068587	0	1170.7	2017-ULU01_0+1_20180107_153602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180107_153602.wav	291.0333	Y	bark		WH	RS			Y	5	0	X	B	-		
538	Spectrogram 1	2	5149.908	5152.847	0	776.7	2017-ULU01_0+1_20180108_010602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180108_010602.wav	49.908	Y	bark	with BS above	WH	RS			X	-	-	-	-	S		
539	Spectrogram 1	2	5498.4349	5500.747439	0	1598.5	2017-ULU01_0+1_20180108_053602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180108_053602.wav	98.4349	Y	bark	in noise	WH	RS			Y	10	0	X	B	-	FAINT	
541	Spectrogram 1	2	5815.256	5822.248	0	3028.1	2017-ULU01_0+1_20180108_150602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180108_150602.wav	115.256	Y	"bark, yelp"	Pretty impressive series	WH	RS	Very close train of barks		X	-	-	-	-	S		
542	Spectrogram 1	2	5831.588	5841.507	0	4153.8	2017-ULU01_0+1_20180108_150602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180108_150602.wav	131.588	Y	"bark, yelp"	another great series	WH	RS	Good example calls		X	-	-	-	-	S		
543	Spectrogram 1	2	5903.744	5913.639	0	3996.2	2017-ULU01_0+1_20180108_150602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180108_150602.wav	203.744	Y	"bark, yelp"	great. I like the sound of those.	WH	RS	More good calls		X	-	-	-	-	S		
544	Spectrogram 1	2	6100.459	6102.261	0	1576	2017-ULU01_0+1_20180108_183602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180108_183602.wav	100.459	Y	bark		WH	RS			X	-	-	-	-	S		
547	Spectrogram 1	2	6309.38	6309.553769	0	1204.5	2017-ULU01_0+1_20180110_063602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	9.38	Y	bark		WH	RS			Y	1	0	X	B	-	FAINT	
549	Spectrogram 1	2	6357.146	6360.908	0	1789.9	2017-ULU01_0+1_20180110_063602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	57.146	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
550	Spectrogram 1	2	6472.404	6477.146	0	1497.2	2017-ULU01_0+1_20180110_063602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	172.404	Y	"bark, yelp, growl"		WH	RS			X	-	-	-	-	S		
551	Spectrogram 1	2	6526.916	6532.227	0	1654.8	2017-ULU01_0+1_20180110_063602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	226.916	Y	"bark, yelp, growl"		WH	RS			X	-	-	-	-	S		
552	Spectrogram 1	2	6589.277	6597.273	0	878	2017-ULU01_0+1_20180110_063602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180110_063602.wav	289.277	Y	bark		WH	RS			X	-	-	-	-	S		
553	Spectrogram 1	2	6633.3098	6633.912042	0	2600.4	2017-ULU01_0+1_20180110_113602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180110_113602.wav	33.3098	Y	"bark, yelp"		WH	RS	Y		Y	1	1	X	BY	-		
554	Spectrogram 1	2	6696.673	6700.29	0	2318.9	2017-ULU01_0+1_20180110_113602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180110_113602.wav	96.673	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
558	Spectrogram 1	2	6984.4874	6984.95524	0	1688.6	2017-ULU01_0+1_20180111_010602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180111_010602.wav	84.4874	Y	"bark, yelp"		WH	RS			Y	1	1	X	BY	-		
561	Spectrogram 1	2	7476.962	7478.77652	0	1227	2017-ULU01_0+1_20180111_083602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180111_083602.wav	276.962	Y	bark	"I had to expand the selection box to include the stronger signal, which sounds like a bark (but also a fish grunt)"	WH	RS	Y	2 barks	X	-	-	-	-	S		
563	Spectrogram 1	2	7552.878	7564.684	0	4243.9	2017-ULU01_0+1_20180111_110602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180111_110602.wav	52.878	Y	bark	amazing series	WH	RS			X	-	-	-	-	S		
565	Spectrogram 1	2	7834.149	7843.573	0	2769.2	2017-ULU01_0+1_20180112_003602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180112_003602.wav	34.149	Y	"bark, yelp"	with vessel noise	WH	RS			X	-	-	-	-	S		
568	Spectrogram 1	2	8148.836	8158.06584	80.3	1013.1	2017-ULU01_0+1_20180112_160602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180112_160602.wav	48.836	Y	bark	"I can't decide if this fits the ""pixel"" criteria..."	WH	RS	Y	"Faint, but clearly a bark series"	X	-	-	-	-	S		
569	Spectrogram 1	2	8424.8566	8425.857033	0	1756.1	2017-ULU01_0+1_20180112_193602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180112_193602.wav	24.8566	Y	bark		WH	RS			X	-	-	-	-	S		
570	Spectrogram 1	2	8531.35	8532.487	0	3005.6	2017-ULU01_0+1_20180112_193602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180112_193602.wav	131.35	Y	bark	clear	WH	RS			X	-	-	-	-	S		
571	Spectrogram 1	2	8572.222	8576.758	0	1193.2	2017-ULU01_0+1_20180112_193602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180112_193602.wav	172.222	Y	"bark, yelp"		WH	RS			X	-	-	-	-	S		
575	Spectrogram 1	2	8757.719	8760.33453	137	2273.9	2017-ULU01_0+1_20180113_190602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180113_190602.wav	57.719	Y	bark		WH	RS			X	-	-	-	-	S		
578	Spectrogram 1	2	9283.095	9287.849	0	1632.3	2017-ULU01_0+1_20180114_030602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180114_030602.wav	283.095	Y	bark	Does that count as more than a pixel for some of the barks?	WH	RS	Y		X	-	-	-	-	S		
581	Spectrogram 1	2	9377.955	9380.35	0	1722.3	2017-ULU01_0+1_20180114_063602.wav	D:\ringed-seal-data\Ulu_2017_2018\2017-ULU01_0+1_20180114_063602.wav	77.955	Y	"bark, yelp"	Is the last one a bark? It sounds like a muffled gulp.	WH	RS	Y		X	-	-	-	-	S		
