	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
0	0	1	Spectrogram 1	1	740.0529171	740.8569372	131.783	1666.667	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517181837.wav	ST2_Site27_67145740.220517181837.wav	0.804	139.9766	Y	2	2	X	BY		
1	1	2	Spectrogram 1	1	744.5376166	745.6117372	85.271	2317.829	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517181837.wav	ST2_Site27_67145740.220517181837.wav	1.0741	144.4613	Y	2	3	X	BY		
2	2	3	Spectrogram 1	1	2134.245693	2134.924084	170.543	1038.76	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.6784	34.0585	Y	3	0	X	B	FAINT	
3	3	4	Spectrogram 1	1	2135.196985	2136.490955	186.047	1201.55	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	1.294	35.0098	Y	6	0	X	B	FAINT	
4	4	5	Spectrogram 1	1	2137.056815	2137.452544	131.783	1651.163	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.3957	36.8696	Y	1	1	X	BY	FAINT	
5	5	6	Spectrogram 1	1	2137.609579	2138.225157	124.031	1240.31	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.6156	37.4224	Y	2	1	X	BY	FAINT	
6	6	7	Spectrogram 1	1	2141.592288	2141.812137	232.558	1116.279	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.2198	41.4051	Y	1	0	X	B		
7	7	8	Spectrogram 1	1	2142.867414	2144.173946	186.047	1007.752	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	1.3065	42.6803	Y	6	0	X	B		
8	8	9	Spectrogram 1	1	2192.305491	2192.531622	387.597	1565.891	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.2261	92.1183	X	0	1	X	Y		
9	9	10	Spectrogram 1	1	2193.197451	2193.536647	77.519	1333.333	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.3392	93.0103	Y	1	1	X	BY		
10	10	11	Spectrogram 1	1	2199.605785	2200.007795	186.047	2356.589	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.402	99.4186	Y	1	1	X	BY		
11	11	12	Spectrogram 1	1	2266.843096	2267.571739	162.791	1643.411	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.7286	166.6559	Y	2	1	Y	BY	BS >1KHZ	
12	12	13	Spectrogram 1	1	2304.834699	2305.079674	976.744	1395.349	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.245	204.6475	X	0	1	Y	Y	BS >1KHZ'	
13	13	14	Spectrogram 1	1	2360.383949	2361.301034	976.744	1426.357	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	ST2_Site27_67145740.220517184337.wav	0.9171	260.1968	X	0	2	X	Y		
14	14	15	Spectrogram 1	1	3372.552978	3372.835641	775.194	1922.481	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2827	72.2523	X	0	1	X	Y		
15	15	16	Spectrogram 1	1	3374.556747	3375.103229	829.457	1945.736	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.5465	74.2561	X	0	1	X	Y		
16	16	17	Spectrogram 1	1	3376.246445	3376.604486	860.465	1868.217	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.358	75.9458	X	0	1	X	Y		
17	17	18	Spectrogram 1	1	3381.811844	3382.270387	1015.504	2294.574	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.4585	81.5112	X	0	1	X	Y		
18	18	19	Spectrogram 1	1	3383.162347	3383.407322	976.744	1759.69	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.245	82.8617	X	0	1	X	Y		
19	19	20	Spectrogram 1	1	3384.154809	3384.443754	992.248	1651.163	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.2889	83.8541	X	0	1	X	Y		
20	20	21	Spectrogram 1	1	3385.423653	3385.769131	1232.558	1798.45	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517190337.wav	ST2_Site27_67145740.220517190337.wav	0.3455	85.123	X	0	1	X	Y		
