	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
0	0	1	Spectrogram 1	1	5234.434373702	5234.817539531	389.503	1193.37	ST3_Site11_67371018.220514170153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514170153.wav	0.3832	133.9479	X	0	1	X	Y		
1	1	2	Spectrogram 1	1	5235.131609883	5235.853971692	646.409	1019.337	ST3_Site11_67371018.220514170153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514170153.wav	0.7224	134.6451	X	0	2	X	Y		
2	2	3	Spectrogram 1	1	5237.808017332	5238.23515301	49.724	1060.773	ST3_Site11_67371018.220514170153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514170153.wav	0.4271	137.3215	Y	1	1	X	BY		
3	3	4	Spectrogram 1	1	5955.474274391	5955.712967858	215.47	1085.635	ST3_Site11_67371018.220514171153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514171153.wav	0.2387	254.9638	X	0	1	X	Y		
4	4	5	Spectrogram 1	1	9385.317524391	9385.505966602	1002.762	1624.309	ST3_Site11_67371018.220514181153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514181153.wav	0.1884	84.496	X	0	1	X	Y		
5	5	6	Spectrogram 1	1	10993.289707977	10993.534682852	977.901	1516.575	ST3_Site11_67371018.220514183653.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514183653.wav	0.245	192.3329	X	0	1	X	Y		
6	6	7	Spectrogram 1	1	10994.527145163	10994.765838631	1110.497	1582.873	ST3_Site11_67371018.220514183653.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514183653.wav	0.2387	193.5703	X	0	1	X	Y		
7	7	8	Spectrogram 1	1	10996.285939133	10996.562321043	936.464	1392.265	ST3_Site11_67371018.220514183653.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514183653.wav	0.2764	195.3291	X	0	1	X	Y		
8	8	9	Spectrogram 1	1	11808.832792613	11809.07148608	720.994	1060.773	ST3_Site11_67371018.220514185153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514185153.wav	0.2387	107.764	X	0	1	X	Y		
9	9	10	Spectrogram 1	1	11810.36545593	11810.685807688	837.017	1127.072	ST3_Site11_67371018.220514185153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514185153.wav	0.3204	109.2966	X	0	1	X	Y		
10	10	11	Spectrogram 1	1	11826.66778593	11827.076077387	895.028	1375.691	ST3_Site11_67371018.220514185153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514185153.wav	0.4083	125.5989	X	0	1	X	Y		
11	11	13	Spectrogram 1	1	11836.004351709	11836.287015025	1011.05	1566.298	ST3_Site11_67371018.220514185153.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514185153.wav	0.2827	134.9355	X	0	1	X	Y		
12	12	14	Spectrogram 1	1	13164.595190151	13165.04117005	679.558	1160.221	ST3_Site11_67371018.220514191154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514191154.wav	0.446	263.4205	X	0	1	X	Y		
13	13	15	Spectrogram 1	1	20078.383017052	20078.634273334	1151.934	1541.436	ST3_Site11_67371018.220514211154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211154.wav	0.2513	276.6187	X	0	1	X	Y		
14	14	16	Spectrogram 1	1	20079.852866298	20080.10412258	33.149	961.326	ST3_Site11_67371018.220514211154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211154.wav	0.2513	278.0885	Y	1	0	X	B		
15	15	17	Spectrogram 1	1	20081.253620067	20081.504876349	58.011	1209.945	ST3_Site11_67371018.220514211154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211154.wav	0.2513	279.4893	Y	1	0	X	B		
16	16	18	Spectrogram 1	1	20082.045077354	20082.258645193	16.575	820.442	ST3_Site11_67371018.220514211154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211154.wav	0.2136	280.2807	Y	1	0	X	B		
17	17	19	Spectrogram 1	1	20082.955881374	20083.150604992	8.287	787.293	ST3_Site11_67371018.220514211154.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211154.wav	0.1947	281.1916	Y	1	0	X	B		
18	18	20	Spectrogram 1	1	20251.911024666	20252.287909088	16.575	596.685	ST3_Site11_67371018.220514211654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211654.wav	0.3769	150.09	Y	1	0	X	B		
19	19	21	Spectrogram 1	1	20252.639667882	20252.953738234	41.436	513.812	ST3_Site11_67371018.220514211654.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site11_67371018.220514211654.wav	0.3141	150.8187	Y	1	0	X	B		
