	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Begin Path	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
0	0	1	Spectrogram 1	1	19156.369183996	19156.645565905	552.846	747.967	254.804	ST1_Site12_67653638.220514211550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220514211550.wav	X	0	1	X	Y		
1	1	2	Spectrogram 1	1	19172.891561156	19173.149098844	991.87	1260.163	271.3264	ST1_Site12_67653638.220514211550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220514211550.wav	X	0	1	X	Y		
2	2	3	Spectrogram 1	1	19173.519701859	19173.833772211	723.577	951.22	271.9545	ST1_Site12_67653638.220514211550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220514211550.wav	X	0	1	X	Y		
3	3	4	Spectrogram 1	1	19880.040073367	19880.900626131	73.171	357.724	78.3894	ST1_Site12_67653638.220514213050.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220514213050.wav	Y	1	0	X	G		
4	4	5	Spectrogram 1	1	20017.5207631	20017.702923904	991.87	1585.366	215.8701	ST1_Site12_67653638.220514213050.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220514213050.wav	X	0	1	X	Y		
5	5	6	Spectrogram 1	1	28035.997679558	28037.699940864	8.13	739.837	133.6625	ST1_Site12_67653638.220514234550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220514234550.wav	X	1	0	X	G	UNKNOWN	
6	6	7	Spectrogram 1	1	33914.916696192	33915.438052976	577.236	1723.577	12.0595	ST1_Site12_67653638.220515012550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515012550.wav	X	0	1	X	Y		
7	7	8	Spectrogram 1	1	33922.327167622	33922.540735461	609.756	951.22	19.47	ST1_Site12_67653638.220515012550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515012550.wav	X	0	1	X	Y		
8	8	9	Spectrogram 1	1	33922.672645009	33923.589730436	48.78	365.854	19.8155	ST1_Site12_67653638.220515012550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515012550.wav	Y	1	0	X	G		
9	9	10	Spectrogram 1	1	33927.052221694	33927.642673955	699.187	1658.537	24.1951	ST1_Site12_67653638.220515012550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515012550.wav	X	0	1	X	Y		
10	10	11	Spectrogram 1	1	33927.699206618	33928.591166417	113.821	536.585	24.842	ST1_Site12_67653638.220515012550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515012550.wav	Y	1	0	X	G		
11	11	12	Spectrogram 1	1	33932.621855323	33932.935925674	504.065	951.22	29.7647	ST1_Site12_67653638.220515012550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515012550.wav	X	0	1	X	Y		
12	12	13	Spectrogram 1	1	41241.692649095	41244.004206884	89.431	951.22	138.1748	ST1_Site12_67653638.220515032550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515032550.wav	X	1	1	X	BY	OVERLAPPING YELP AND GROWL	
13	13	14	Spectrogram 1	1	41244.522236385	41244.742085631	626.016	967.48	141.0044	ST1_Site12_67653638.220515032550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515032550.wav	X	0	1	X	Y		
14	14	15	Spectrogram 1	1	41245.087563018	41246.745854475	24.39	430.894	141.5697	ST1_Site12_67653638.220515032550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515032550.wav	Y	1	0	X	G		
15	15	16	Spectrogram 1	1	41273.797605708	41274.739816763	8.13	666.667	170.2798	ST1_Site12_67653638.220515032550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515032550.wav	Y	1	0	X	G		
16	16	17	Spectrogram 1	1	41276.128007718	41276.347856964	8.13	756.098	172.6102	ST1_Site12_67653638.220515032550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515032550.wav	Y	1	0	X	B		
17	17	18	Spectrogram 1	1	41281.989356683	41282.925286332	40.65	463.415	178.4715	ST1_Site12_67653638.220515032550.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515032550.wav	Y	1	0	X	B		
18	18	19	Spectrogram 1	1	53963.413643895	53964.161131332	284.553	1406.504	258.8003	ST1_Site12_67653638.220515065551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515065551.wav	X	0	2	X	Y		
19	19	20	Spectrogram 1	1	53988.09132528	53989.598862969	73.171	1365.854	283.478	ST1_Site12_67653638.220515065551.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515065551.wav	Y	2	1	X	BY		
20	20	21	Spectrogram 1	1	54111.913320729	54112.767592085	105.691	585.366	107.2878	ST1_Site12_67653638.220515070051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515070051.wav	Y	1	0	X	G		
21	21	22	Spectrogram 1	1	54243.072924975	54243.343025477	252.033	1211.382	238.4474	ST1_Site12_67653638.220515070051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515070051.wav	X	0	1	X	Y		
22	22	23	Spectrogram 1	1	60782.555973007	60782.788385067	569.106	1056.911	177.3413	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	X	0	1	X	Y		
23	23	24	Spectrogram 1	1	60783.403962956	60783.849942856	593.496	1008.13	178.1893	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	X	0	1	X	Y		
24	24	25	Spectrogram 1	1	60783.950445368	60784.679088584	105.691	341.463	178.7358	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	Y	1	0	X	G		
25	25	26	Spectrogram 1	1	60787.967438437	60788.149599241	463.415	756.098	182.7528	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	X	0	1	X	Y		
26	26	27	Spectrogram 1	1	60788.331760045	60789.324222357	89.431	349.593	183.1171	ST1_Site12_67653638.220515085051.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site12_67653638.220515085051.wav	Y	1	0	X	G		
