Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
1	Waveform 1	1	23739.015338487	23739.304283211	859.459	1427.027	ST1_Site66_67653638.220517220558.wav	37.0075	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517220558.wav	X	0	1	Y	Y		
1	Spectrogram 1	1	23739.015338487	23739.304283211	859.459	1427.027	ST1_Site66_67653638.220517220558.wav	37.0075	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517220558.wav	X	0	1	Y	Y		
3	Waveform 1	1	23742.539207834	23742.784182708	859.459	2051.351	ST1_Site66_67653638.220517220558.wav	40.5314	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517220558.wav	X	0	1	X	Y		
3	Spectrogram 1	1	23742.539207834	23742.784182708	859.459	2051.351	ST1_Site66_67653638.220517220558.wav	40.5314	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517220558.wav	X	0	1	X	Y		
4	Waveform 1	1	23745.070614869	23745.259057080	754.054	1029.730	ST1_Site66_67653638.220517220558.wav	43.0628	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517220558.wav	X	0	1	X	Y		
4	Spectrogram 1	1	23745.070614869	23745.259057080	754.054	1029.730	ST1_Site66_67653638.220517220558.wav	43.0628	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517220558.wav	X	0	1	X	Y		
5	Waveform 1	1	27853.079694826	27857.187735027	583.784	2497.297	ST1_Site66_67653638.220517231058.wav	250.7145	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517231058.wav	X	0	0	X	UNK		
5	Spectrogram 1	1	27853.079694826	27857.187735027	583.784	2497.297	ST1_Site66_67653638.220517231058.wav	250.7145	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517231058.wav	X	0	0	X	UNK		
6	Waveform 1	1	27860.674179347	27862.231968291	745.946	2148.649	ST1_Site66_67653638.220517231058.wav	258.3090	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517231058.wav	X	0	0	X	UNK		
6	Spectrogram 1	1	27860.674179347	27862.231968291	745.946	2148.649	ST1_Site66_67653638.220517231058.wav	258.3090	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517231058.wav	X	0	0	X	UNK		
7	Waveform 1	1	27867.108717942	27869.784597339	389.189	1475.676	ST1_Site66_67653638.220517231058.wav	264.7436	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517231058.wav	X	0	0	X	UNK		
7	Spectrogram 1	1	27867.108717942	27869.784597339	389.189	1475.676	ST1_Site66_67653638.220517231058.wav	264.7436	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517231058.wav	X	0	0	X	UNK		
8	Waveform 1	1	28094.935495861	28097.115144103	405.405	2335.135	ST1_Site66_67653638.220517231558.wav	192.5393	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517231558.wav	X	0	0	X	UNK		
8	Spectrogram 1	1	28094.935495861	28097.115144103	405.405	2335.135	ST1_Site66_67653638.220517231558.wav	192.5393	D:\ringed-seal-data\Ulu_2022\ST1_Site66_67653638.220517231558.wav	X	0	0	X	UNK		
