Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment
45	Spectrogram 1	1	1575.629	1576.5709	0.942	15.629	74.3	797.3	TEST__0__20180119_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180119_160801.wav	Y	bark		RS	1	1	No			RS	
285	Spectrogram 1	1	7634.283	7635.0876	0.805	74.283	365.9	1569.8	TEST__0__20180228_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180228_060801.wav	Y	bark		RS	2	1	No			RS	
477	Spectrogram 1	1	9714.837	9716.446	1.609	114.837	77.4	1025.8	TEST__0__20180317_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180317_120801.wav	Y	bark		RS	3	04-Mar	No				
480	Spectrogram 1	1	9785.118	9789.475	4.357	65.118	341.9	2077.4	TEST__0__20180317_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180317_160801.wav	N	yelp	No clear barks	RS	1	05-Apr	No		inbetween ice noise?	RS	
544	Spectrogram 1	1	10628.453	10630.828	2.375	68.453	178.3	1019.1	TEST__0__20180323_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180323_140801.wav	Y	bark/yelp	rapid successions or barks and yelps	RS	3	series	No				
2	Spectrogram 1	1	76.215	77.2943	1.079	76.215	127.5	979.9	TEST__0__20180101_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180101_220801.wav	X		AH	RS	2	02-Jan	No		very faint and quiet	RS	
5	Spectrogram 1	1	219.015	220.05506	1.04	99.015	308.7	872.5	TEST__0__20180103_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180103_160801.wav	X		AH	RS	2	1	No		faint	RS	
9	Spectrogram 1	1	300.964	303.10298	2.139	60.964	342.3	2416.1	TEST__0__20180105_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180105_220801.wav	X			RS	2	03-Feb	No			RS	
13	Spectrogram 1	1	364.533	366.7897	2.257	4.533	94	496.6	TEST__0__20180109_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180109_160801.wav	X	bark	pixel	RS	3	3	No				
15	Spectrogram 1	1	547.649	548.5909	0.942	67.649	40.3	583.9	TEST__0__20180110_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180110_080801.wav	X	woof	AH	RS	2		No		woof	RS	
18	Spectrogram 1	1	838.763	839.6265	0.864	118.763	67.1	879.2	TEST__0__20180110_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180110_220801.wav	X	woof	AH	RS	2	1	No		woof	RS	
19	Spectrogram 1	1	936.166	937.206	1.04	96.166	704.7	1154.4	TEST__0__20180111_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180111_040801.wav	X		AH	RS	1	1	No		masked	RS	
20	Spectrogram 1	1	1002.604	1003.6637	1.06	42.604	812.1	1107.4	TEST__0__20180112_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180112_080801.wav	X		AH	RS	1	1	No		"HF sound, high ambient"	RS	
24	Spectrogram 1	1	1192.482	1193.8164	1.334	112.482	114.1	1006.7	TEST__0__20180113_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180113_060801.wav	X	bark	pixel	RS	2	2	No			RS	
25	Spectrogram 1	1	1088.379	1089.5957	1.217	8.379	791.9	1328.9	TEST__0__20180113_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180113_060801.wav	X		AH	RS	2	1	No		very faint	RS	
32	Spectrogram 1	1	1295.532	1296.9057	1.374	95.532	114.1	664.4	TEST__0__20180113_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180113_220801.wav	X		AH	RS	1	2	No		very faint	RS	
35	Spectrogram 1	1	1438.291	1439.4096	1.119	118.291	649.3	1092.2	TEST__0__20180114_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180114_140801.wav	X		AH	RS	1	1	No		2faint	RS	
36	Spectrogram 1	1	1393.865	1395.1994	1.334	73.865	174.5	570.5	TEST__0__20180114_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180114_140801.wav	X			RS	2	1	No			RS	
46	Spectrogram 1	1	1798.898	1799.4867	0.589	118.898	810.8	1527	TEST__0__20180119_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180119_200801.wav	X		AH	RS	1	1	No		HF signal	RS	
51	Spectrogram 1	1	1904.186	1905.0691	0.883	104.186	1324.3	1689.2	TEST__0__20180120_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180120_100801.wav	X			RS	2	1	No			RS	
60	Spectrogram 1	1	1941.503	1942.3272	0.824	21.503	64.6	1177	TEST__0__20180121_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180121_180801.wav	X		pixel	RS	1	2	No			RS	
61	Spectrogram 1	1	2130.03	2131.8943	1.864	90.03	100.5	868.4	TEST__0__20180122_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180122_000801.wav	X		AH	RS	1	3	No		maybe very faint grunts but hard to hear	RS	
69	Spectrogram 1	1	2457.99	2481.6374	23.647	57.99	997.6	1510.7	TEST__0__20180123_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180123_200801.wav	X	yelp	AH	RS	2	series	No		yelps	RS	
