Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment
1	Spectrogram 1	1	153.014	166.888752	13.875	153.014	60.9	927.8	DS3B__0__20190101_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190101_000355.wav	Y	"bark, yelp"		RS	3	series	No		yelps-bark		
17	Spectrogram 1	1	340.535	341.906041	1.371	78.535	54.2	765.2	DS3B__0__20190102_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190102_100355.wav	X		not a bark	RS	2*	1	No			RS	
28	Spectrogram 1	1	531.434	533.01926	1.585	7.434	1334.1	2011.3	DS3B__0__20190104_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190104_040355.wav	X			RS	2*	1	No			RS	
34	Spectrogram 1	1	837.784	839.60491	1.821	51.784	704.3	1388.3	DS3B__0__20190104_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190104_100355.wav	X		very faint	RS	2	1	No		very faint		
35	Spectrogram 1	1	864.572	865.67526	1.103	78.572	71.1	1076.7	DS3B__0__20190104_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190104_100355.wav	X			RS	3	1	No				
37	Spectrogram 1	1	861.562	862.54744	0.985	75.562	1171.6	1550.8	DS3B__0__20190104_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190104_100355.wav	X			RS	2	1	No		super faint		
42	Spectrogram 1	1	1077.949	1079.19151	1.243	29.949	521.4	1239.3	DS3B__0__20190104_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190104_160355.wav	X	yelp	faint	RS	1*	1	No		faint yelp	RS	Yelp
56	Spectrogram 1	1	1662.206	1663.4485	1.243	90.206	67.7	988.7	DS3B__0__20190105_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190105_140355.wav	Y	bark	faint	RS	2	1	No		faint		
58	Spectrogram 1	1	1994.312	2035.10966	40.798	160.312	121.9	1598.2	DS3B__0__20190106_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190106_000355.wav	Y	"bark, yelp"	the barks are faint	RS	3	series	No		yelps-barks		
59	Spectrogram 1	1	2073.253	2074.60262	1.35	239.253	331.8	1645.6	DS3B__0__20190106_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190106_000355.wav	X			RS	3	1	No				
60	Spectrogram 1	1	2066.398	2067.29775	0.9	232.398	514.7	1279.9	DS3B__0__20190106_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190106_000355.wav	X	yelp		RS	3	1	No		yelp		
68	Spectrogram 1	1	2149.065	2150.41462	1.35	53.065	433.4	1015.8	DS3B__0__20190107_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190107_040355.wav	X			RS	3	1	No				
70	Spectrogram 1	1	2461.036	2462.44988	1.414	103.036	155.8	1252.8	DS3B__0__20190107_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190107_160355.wav	Y	"bark, yelp"		RS	3	1	No				
71	Spectrogram 1	1	2699.745	2700.83754	1.093	79.745	88	1063.2	DS3B__0__20190108_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190108_100355.wav	Y	bark	very faint	RS	1*	1	No			RS	
72	Spectrogram 1	1	3101.798	3103.06193	1.264	219.798	196.4	866.8	DS3B__0__20190108_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190108_180355.wav	X			RS	2	1	No				
73	Spectrogram 1	1	3059.787	3060.87955	1.093	177.787	345.4	860	DS3B__0__20190108_180355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190108_180355.wav	X	yelp		RS	1*	1	No			RS	yelp
74	Spectrogram 1	1	3289.475	3290.86747	1.392	145.475	47.4	1618.5	DS3B__0__20190109_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190109_000355.wav	Y	bark		RS	3	1	No		bark		
75	Spectrogram 1	1	3298.219	3303.29613	5.077	154.219	243.8	1449.2	DS3B__0__20190109_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190109_000355.wav	X	bark	"bark, too faint"	RS	1*	series	No		very faint	X	"bark, too faint"
76	Spectrogram 1	1	3246.097	3260.53578	14.439	102.097	535	1808.1	DS3B__0__20190109_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190109_000355.wav	X	yelp		RS	3	series	No		yelps		
85	Spectrogram 1	1	3605.18	3608.07204	2.892	199.18	95.5	675	DS3B__0__20190110_120355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190110_120355.wav	Y	bark		RS	3	2	No		"2x bark, faint"		
92	Spectrogram 1	1	3807.05	3808.22824	1.178	139.05	61.4	763.6	DS3B__0__20190110_140355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190110_140355.wav	Y	bark	faint	RS	1*	1	No			RS	
97	Spectrogram 1	1	3993.379	3994.57866	1.2	63.379	61.4	763.6	DS3B__0__20190110_160355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190110_160355.wav	X	grunt		RS	2	3	No		grunts		
100	Spectrogram 1	1	4204.918	4205.56068	0.643	12.918	105.7	900	DS3B__0__20190110_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190110_200355.wav	Y	bark	faint	RS	2*	1	No			RS	
101	Spectrogram 1	1	4270.928	4275.0197	4.092	78.928	790.9	1479.5	DS3B__0__20190110_200355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190110_200355.wav	X	yelp	very faint	RS	1*	4	No		very faint yelps?	RS	
106	Spectrogram 1	1	4454.3	4459.89127	5.591	0.3	68.2	1915.9	DS3B__0__20190111_040355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190111_040355.wav	Y	bark	"good, close"	RS	3	2	No		"good, close"		
112	Spectrogram 1	1	4905.307	4924.70432	19.397	189.307	75	729.5	DS3B__0__20190112_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190112_000355.wav	Y	bark	faint	RS	3	series	No		faint		
114	Spectrogram 1	1	5217.6	5218.88535	1.285	239.6	613.6	1125	DS3B__0__20190113_000355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190113_000355.wav	X	yelp	faint	RS	2	1	No		faint yelp		
116	Spectrogram 1	1	5353.092	5354.54873	1.457	113.092	54.5	668.2	DS3B__0__20190113_020355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190113_020355.wav	X			RS	3	2	No				
118	Spectrogram 1	1	5621.835	5623.27031	1.435	119.835	47.7	1077.3	DS3B__0__20190113_080355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190113_080355.wav	Y	bark		RS	1*	2	No		"close up, or 2nd signal fish?"	RS	
119	Spectrogram 1	1	5923.791	5924.77644	0.985	159.791	115.9	784.1	DS3B__0__20190113_100355.wav	D:\Kitikmeot_2018_2019\DS3B__0__20190113_100355.wav	X	bark	"bark, too faint"	RS	1*	1	No			X	"bark, too faint"
