Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment
1	Spectrogram 1	1	405.412017972	405.752282623	100.897	2966.368	67145740.220513171342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171342.wav	105.3690	X	0	1	X	Y	
2	Spectrogram 1	1	655.967120432	656.225469518	921.525	1183.857	67145740.220513171842.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513171842.wav	55.8906	X	0	1	X	Y	
3	Spectrogram 1	1	990.879982172	991.944884503	33.632	1291.480	67145740.220513172342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	90.7761	Y	2	1	X	BY	
4	Spectrogram 1	1	992.096113236	992.411173098	417.040	679.372	67145740.220513172342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	91.9923	X	0	1	X	Y	
5	Spectrogram 1	1	992.549799437	992.845955706	53.812	854.260	67145740.220513172342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	92.4460	X	0	1	X	B	TOO FAINT
6	Spectrogram 1	1	992.902666482	993.211425146	423.767	1096.413	67145740.220513172342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513172342.wav	92.7988	X	0	1	X	Y	
7	Spectrogram 1	1	2962.096632716	2962.380186591	975.336	1352.018	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	261.8983	X	0	1	X	Y	
8	Spectrogram 1	1	2962.739354833	2962.922089553	1008.969	1385.650	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	262.5410	X	0	1	X	Y	
9	Spectrogram 1	1	2968.252739175	2968.473281078	934.978	1177.130	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	268.0544	X	0	1	X	Y	
10	Spectrogram 1	1	2969.015184039	2969.223123548	834.081	1008.969	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	268.8169	X	0	1	X	Y	
11	Spectrogram 1	1	2969.708315734	2969.935158834	820.628	1076.233	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	269.5100	X	0	1	X	Y	
12	Spectrogram 1	1	2977.788230370	2978.046579456	914.798	1217.489	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	277.5899	X	0	1	Y	Y	BS >1KHZ
13	Spectrogram 1	1	2979.981047005	2980.296106866	968.610	1479.821	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	279.7827	X	0	1	Y	Y	BS >1KHZ
14	Spectrogram 1	1	2982.564537868	2982.785079771	928.251	1183.857	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	282.3662	X	0	1	Y	Y	BS >1KHZ
15	Spectrogram 1	1	2985.522361429	2985.742903332	928.251	1156.951	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	285.3240	X	0	1	Y	Y	BS >1KHZ
16	Spectrogram 1	1	2988.925007932	2989.120345046	934.978	1183.857	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	288.7267	X	0	1	Y	Y	BS >1KHZ
17	Spectrogram 1	1	2994.485391415	2994.661824938	1008.969	1298.206	67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513175342.wav	294.2871	X	0	1	Y	Y	BS >1KHZ
18	Spectrogram 1	1	3324.589365816	3324.778401733	376.682	820.628	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	24.2959	X	0	1	X	Y	
19	Spectrogram 1	1	3325.043052016	3325.660569345	107.623	847.534	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	24.7496	Y	2	1	X	BY	
20	Spectrogram 1	1	3325.843304064	3326.334797448	87.444	860.987	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	25.5498	Y	1	1	X	BY	
21	Spectrogram 1	1	3329.183736375	3329.631121378	107.623	780.269	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	28.8902	Y	1	1	X	BY	
22	Spectrogram 1	1	3329.832759689	3330.040699198	80.717	686.099	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	29.5393	Y	1	0	X	B	
23	Spectrogram 1	1	3330.179325537	3330.349457862	67.265	753.363	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	29.8858	Y	1	0	X	B	
24	Spectrogram 1	1	3330.607806948	3330.777939273	73.991	686.099	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	30.3143	Y	1	0	X	B	
25	Spectrogram 1	1	3330.954372796	3331.534082941	80.717	1304.933	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	30.6609	Y	2	1	X	BY	
26	Spectrogram 1	1	3331.628600899	3332.063383508	73.991	766.816	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	31.3351	Y	1	1	X	BY	
27	Spectrogram 1	1	3332.145299072	3332.567479286	67.265	793.722	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	31.8518	Y	1	1	X	BY	
28	Spectrogram 1	1	3332.970755909	3333.121984642	275.785	719.731	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	32.6773	Y	1	0	X	B	
30	Spectrogram 1	1	3336.060299372	3336.400564022	73.991	551.570	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	35.7668	M	1	0	X	B	
31	Spectrogram 1	1	3336.551792756	3336.904659801	60.538	450.673	67145740.220513180342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513180342.wav	36.2583	M	1	0	X	B	
32	Spectrogram 1	1	6319.402745035	6319.679997713	874.439	1130.045	67145740.220513185342.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513185342.wav	18.8532	X	0	1	X	Y	
33	Spectrogram 1	1	14200.975527278	14201.265382350	73.991	531.390	67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	99.7884	X	0	1	X	B	Not sure what this is 
34	Spectrogram 1	1	14201.454418267	14201.649755381	100.897	289.238	67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	100.2673	X	0	1	X	B	Not sure what this is 
35	Spectrogram 1	1	14202.223164329	14202.815476868	80.717	417.040	67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	101.0360	X	0	1	X	B	Not sure what this is 
36	Spectrogram 1	1	14203.716548072	14203.855174411	94.170	322.870	67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	102.5294	X	0	1	X	B	Not sure what this is 
37	Spectrogram 1	1	14224.214203409	14224.466251298	127.803	376.682	67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	123.0270	Y	1	0	X	G	Growl
38	Spectrogram 1	1	14225.027057851	14225.279105740	127.803	363.229	67145740.220513210343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513210343.wav	123.8399	Y	1	0	X	G	Growl
39	Spectrogram 1	1	14730.476294862	14730.734643948	827.354	1163.677	67145740.220513211343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211343.wav	29.2600	X	0	1	X	Y	
40	Spectrogram 1	1	14731.383667262	14731.616811560	901.345	1190.583	67145740.220513211343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211343.wav	30.1673	X	0	1	X	Y	
41	Spectrogram 1	1	14732.083100155	14732.291039663	887.892	1163.677	67145740.220513211343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211343.wav	30.8668	X	0	1	X	Y	
42	Spectrogram 1	1	14734.786313765	14734.950144893	739.910	982.063	67145740.220513211343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513211343.wav	33.5700	X	0	1	X	Y	
43	Spectrogram 1	1	16007.397895753	16009.849061475	692.825	1991.031	67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513213343.wav	106.0536	X	0	1	X	Y	
44	Spectrogram 1	1	16010.233434505	16010.895060214	786.996	1109.865	67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513213343.wav	108.8891	X	0	1	X	Y	
45	Spectrogram 1	1	16011.247927259	16011.569288318	800.448	1237.668	67145740.220513213343.wav	D:\ringed-seal-data\Ulu_2022\ST2\Site5\67145740.220513213343.wav	109.9036	X	0	1	X	Y	
