Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
1	Spectrogram 1	1	634.7082504	635.380361	409.836	1901.639	Y	1	1	X	BY		
3	Spectrogram 1	1	728.5556881	728.9451354	270.492	2459.016	X	0	1	X	Y		
4	Spectrogram 1	1	729.6046831	729.8622208	483.607	2729.508	X	0	1	X	Y		
5	Spectrogram 1	1	733.1348339	733.4677484	90.164	1901.639	Y	1	1	X	BY		
6	Spectrogram 1	1	737.4239797	737.8511154	114.754	2508.197	Y	2	0	X	B		
7	Spectrogram 1	1	738.8121707	740.2254872	131.148	581.967	Y	6	0	X	B		
8	Spectrogram 1	1	768.7376743	769.5479758	426.23	2762.295	X	0	1	X	Y		
9	Spectrogram 1	1	788.2992778	788.7201321	147.541	2262.295	Y	1	1	X	BY		
10	Spectrogram 1	1	789.2226446	789.568122	81.967	2032.787	Y	1	1	X	BY		
11	Spectrogram 1	1	792.0822803	792.540823	286.885	1368.852	X	0	2	X	Y		
12	Spectrogram 1	1	795.5893464	796.1295474	57.377	2147.541	Y	1	1	X	BY		
13	Spectrogram 1	1	823.4090787	824.3826968	0	418.033	X	1	0	Y	G		
14	Spectrogram 1	1	853.0841597	853.4798884	713.115	2360.656	X	0	1	Y	Y		
15	Spectrogram 1	1	862.805528	863.6158295	65.574	2409.836	Y	2	2	X	BY		
16	Spectrogram 1	1	898.5257022	898.9277123	1057.377	1713.115	X	0	1	Y	Y		
17	Spectrogram 1	1	900.8315858	901.1770632	942.623	2155.738	X	0	1	Y	Y		
18	Spectrogram 1	1	956.9260602	957.2652562	1040.984	2221.311	X	0	1	X	Y		
19	Spectrogram 1	1	957.6735476	958.0001808	1090.164	2598.361	X	0	1	X	Y		
20	Spectrogram 1	1	971.7314702	972.1271988	188.011	1732.97	X	0	1	X	Y		
21	Spectrogram 1	1	2147.632151	2148.009035	825.613	1160.763	X	0	1	X	Y		
22	Spectrogram 1	1	2245.441122	2246.622027	16.349	2280.654	X	3	1	Y	BY	TOO FAINT AND OVERLAP	
23	Spectrogram 1	1	2710.385472	2710.624165	130.79	1970.027	Y	1	0	X	B		
25	Spectrogram 1	1	2711.095271	2711.440748	114.441	1569.482	Y	1	0	X	B		
26	Spectrogram 1	1	2711.823914	2712.100296	122.616	1553.134	Y	1	0	X	B		
27	Spectrogram 1	1	4370.308482	4370.735618	57.221	2656.676	Y	1	1	Y	BY		
28	Spectrogram 1	1	4371.219286	4371.564763	57.221	1651.226	Y	1	1	Y	BY		
29	Spectrogram 1	1	4372.62004	4373.059738	449.591	1504.087	X	0	1	Y	Y		
30	Spectrogram 1	1	4374.297175	4374.54215	408.719	956.403	X	0	1	Y	Y		
31	Spectrogram 1	1	4375.741899	4376.055969	425.068	866.485	X	0	1	Y	Y		
32	Spectrogram 1	1	4381.679207	4381.955589	318.801	817.439	X	0	1	Y	Y		
33	Spectrogram 1	1	4383.934362	4385.253457	114.441	1822.888	X	2	3	Y	BY		
34	Spectrogram 1	1	4386.315015	4386.804965	98.093	1201.635	X	1	1	Y	BY		
35	Spectrogram 1	1	4403.111499	4404.54366	32.698	1798.365	Y	2	2	Y	BY		
36	Spectrogram 1	1	4566.803857	4567.011143	98.093	1267.03	Y	1	0	X	B		
37	Spectrogram 1	1	4571.295063	4571.470942	65.395	874.659	Y	1	0	X	B		
38	Spectrogram 1	1	4625.683038	4626.970726	57.221	2043.597	Y	2	2	X	BY		
39	Spectrogram 1	1	4631.886533	4632.200603	465.94	1814.714	X	0	1	X	Y		
40	Spectrogram 1	1	4638.966257	4640.71877	0	1528.61	Y	3	3	X	BY	GOOD	
41	Spectrogram 1	1	4648.730142	4649.163559	81.744	1226.158	Y	1	1	X	BY		
42	Spectrogram 1	1	4656.347133	4656.560701	32.698	1831.063	Y	1	0	X	B		
43	Spectrogram 1	1	4656.975273	4657.716479	49.046	1128.065	Y	2	2	X	BY		
44	Spectrogram 1	1	4664.712307	4664.900749	49.046	792.916	Y	1	0	Y	B		
45	Spectrogram 1	1	4665.503764	4666.69095	16.349	1561.308	Y	2	2	Y	BY		
46	Spectrogram 1	1	4832.024512	4833.789588	65.395	449.591	Y	1	0	X	G		
47	Spectrogram 1	1	4918.986347	4920.236347	8.174	408.719	Y	1	0	Y	G		
48	Spectrogram 1	1	5524.328801	5525.019755	81.744	482.289	Y	1	0	X	G		
49	Spectrogram 1	1	5841.049648	5841.269498	57.221	727.52	Y	1	0	X	B		
50	Spectrogram 1	1	6104.436286	6104.668698	106.267	817.439	Y	1	0	X	B		
51	Spectrogram 1	1	6105.051864	6105.447592	98.093	858.311	Y	2	0	X	B		
52	Spectrogram 1	1	6106.534276	6106.779251	89.918	653.951	Y	1	0	Y	B		
54	Spectrogram 1	1	6122.990656	6123.22935	1079.019	1618.529	X	0	1	X	Y		
55	Spectrogram 1	1	6122.023319	6122.324827	768.392	1536.785	X	0	1	X	Y		
56	Spectrogram 1	1	7290.642448	7293.054508	57.221	1193.46	Y	1	1	X	BY		
57	Spectrogram 1	1	7715.548508	7715.705543	57.221	907.357	Y	1	0	X	B		
58	Spectrogram 1	1	7716.170367	7716.333684	65.395	792.916	Y	1	0	X	B		
59	Spectrogram 1	1	7717.426648	7717.621372	89.918	1111.717	Y	1	0	X	B		
60	Spectrogram 1	1	7716.616347	7716.848759	98.093	784.741	Y	1	0	X	B		
61	Spectrogram 1	1	7743.843955	7744.076367	49.046	719.346	Y	1	0	X	B		
62	Spectrogram 1	1	7745.414306	7745.60903	57.221	727.52	Y	1	0	X	B		
63	Spectrogram 1	1	7746.54496	7746.777372	1005.45	1422.343	X	0	1	X	Y		
64	Spectrogram 1	1	7796.401619	7796.621468	694.823	1079.019	X	0	1	X	Y		
65	Spectrogram 1	1	7809.579939	7809.843758	1046.322	1397.82	X	0	1	X	Y		
66	Spectrogram 1	1	7830.850076	7831.032237	81.744	727.52	Y	1	0	X	B		
67	Spectrogram 1	1	7832.313644	7832.5649	73.569	531.335	Y	1	0	X	B		
68	Spectrogram 1	1	7831.861382	7832.109598	833.787	1152.589	X	0	1	X	Y		
69	Spectrogram 1	1	7839.578191	7839.779196	915.531	1160.763	X	0	1	X	Y		
70	Spectrogram 1	1	8771.600566	8771.820415	711.172	1038.147	X	0	1	X	Y		
71	Spectrogram 1	1	8807.482647	8807.671089	1152.589	1389.646	X	0	1	X	Y		
72	Spectrogram 1	1	8808.864556	8809.046717	1046.322	1455.041	X	0	1	X	Y		
73	Spectrogram 1	1	9053.276696	9053.879711	73.569	335.15	Y	1	0	X	G		
74	Spectrogram 1	1	9054.206344	9054.602073	57.221	294.278	Y	1	0	X	G		
75	Spectrogram 1	1	9440.674426	9441.528697	874.659	2288.828	X	0	1	X	Y		
76	Spectrogram 1	1	9443.274928	9444.242265	760.218	1479.564	X	0	1	X	Y		
77	Spectrogram 1	1	9451.839398	9452.11578	719.346	1634.877	X	0	1	X	Y		
78	Spectrogram 1	1	9453.001459	9453.265278	702.997	1561.308	X	0	1	X	Y		
79	Spectrogram 1	1	9454.088142	9454.364524	686.649	1316.076	X	0	1	X	Y		
80	Spectrogram 1	1	9455.294172	9455.532866	564.033	1299.728	X	0	1	X	Y		
81	Spectrogram 1	1	9960.167255	9960.336853	752.044	1038.147	X	0	1	X	Y		
82	Spectrogram 1	1	10179.07847	10179.72546	49.046	719.346	Y	1	0	X	G		
83	Spectrogram 1	1	10595.55219	10595.8537	989.101	1708.447	X	0	1	X	Y		
84	Spectrogram 1	1	10707.67528	10708.9881	24.523	400.545	Y	1	0	Y	G		
85	Spectrogram 1	1	13181.33155	13181.63306	482.289	899.183	X	0	1	X	Y		
86	Spectrogram 1	1	13371.92419	13372.51464	662.125	1896.458	X	0	1	X	Y		
87	Spectrogram 1	1	13382.21465	13382.91189	637.602	2043.597	X	0	1	X	Y		
88	Spectrogram 1	1	13428.07696	13428.46013	506.812	1912.807	X	0	1	Y	Y		
89	Spectrogram 1	1	13437.30779	13437.67839	702.997	1160.763	X	0	1	Y	Y		
90	Spectrogram 1	1	13438.95351	13439.29899	621.253	964.578	X	0	1	Y	Y		
91	Spectrogram 1	1	13445.1633	13446.3819	73.569	1749.319	Y	2	2	Y	BY	FAINT OVERLAP	
92	Spectrogram 1	1	13493.83121	13494.53473	825.613	1822.888	X	0	1	X	Y		
93	Spectrogram 1	1	13504.77963	13505.23817	637.602	1046.322	X	0	1	X	Y		
94	Spectrogram 1	1	13510.29258	13510.54384	523.161	1602.18	X	0	1	X	Y		
95	Spectrogram 1	1	13516.23421	13516.52315	752.044	1070.845	X	0	1	X	Y		
96	Spectrogram 1	1	15074.1973	15074.61188	81.744	580.381	Y	2	0	X	B		
97	Spectrogram 1	1	15072.38198	15073.3556	89.918	441.417	X	3	0	X	B	TOO FAINT	
98	Spectrogram 1	1	15075.91175	15076.97959	49.046	490.463	X	3	0	Y	B		
99	Spectrogram 1	1	15078.57507	15079.22206	98.093	433.243	X	2	0	Y	B		
