	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
0	1	Spectrogram 1	1	2970.792647156	2971.521290372	160.112	505.618	67653638.220519101007.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220519101007.wav	270.61	X	0	1	X	Y		
1	4	Spectrogram 1	1	19469.833501357	19470.072194824	1171.348	1626.404	67653638.220519144508.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220519144508.wav	268.1895	X	0	1	X	Y		
2	5	Spectrogram 1	1	19471.37244608	19471.75561191	707.865	1323.034	67653638.220519144508.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220519144508.wav	269.7284	X	0	1	X	Y		
3	6	Spectrogram 1	1	19472.66641593	19473.00561191	867.978	1466.292	67653638.220519144508.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220519144508.wav	271.0224	X	0	1	X	Y		
4	7	Spectrogram 1	1	76663.239482312	76664.257070251	910.112	1744.382	67653638.220520064510.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520064510.wav	157.6226	X	0	1	X	Y		
5	8	Spectrogram 1	1	89912.069741099	89912.25818331	0.0	1205.056	67653638.220520102510.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520102510.wav	205.3547	Y	1	0	X	B	FAINT	
6	9	Spectrogram 1	1	89913.150143109	89913.426525019	429.775	724.719	67653638.220520102510.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520102510.wav	206.4351	X	0	1	X	Y		
7	10	Spectrogram 1	1	89916.874187417	89919.141775357	0.0	1407.303	67653638.220520102510.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520102510.wav	210.1592	X	5	0	X	B	TOO FAINT	
8	11	Spectrogram 1	1	89925.909123388	89927.272188714	16.854	1331.461	67653638.220520102510.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520102510.wav	219.1941	X	1	3	X	BY	TOO FAINT	
9	12	Spectrogram 1	1	89931.435997108	89931.599313691	42.135	480.337	67653638.220520102510.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520102510.wav	224.721	Y	1	0	X	B	FAINT	
10	13	Spectrogram 1	1	108141.202115578	108141.974728643	665.73	1542.135	67653638.220520153011.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520153011.wav	132.8693	X	0	1	Y	Y		
11	14	Spectrogram 1	1	122392.751327136	122394.082985427	648.876	1221.91	67653638.220520192511.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520192511.wav	283.1392	X	0	1	X	Y		
12	15	Spectrogram 1	1	125875.69030201	125875.972965327	58.989	2325.843	67653638.220520202512.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520202512.wav	165.7265	Y	1	0	X	B		
13	16	Spectrogram 1	1	131558.145997487	131558.409816583	952.247	1196.629	67653638.220520220012.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220520220012.wav	147.7815	X	0	1	X	Y		
14	17	Spectrogram 1	1	180105.156236935	180106.312015829	876.404	1449.438	67653638.220521113013.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521113013.wav	91.7514	X	0	3	X	Y		
15	18	Spectrogram 1	1	180107.097191709	180111.60724196	859.551	1660.112	67653638.220521113013.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521113013.wav	93.6924	X	0	8	X	Y		
16	19	Spectrogram 1	1	219587.65111809	219587.921218593	1011.236	1323.034	67653638.220521222515.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521222515.wav	271.7821	X	0	1	X	Y		
17	20	Spectrogram 1	1	219588.279258794	219588.530515075	1365.169	1727.528	67653638.220521222515.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521222515.wav	272.4103	X	0	1	X	Y		
18	21	Spectrogram 1	1	219589.026746231	219589.353379397	1205.056	1601.124	67653638.220521222515.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521222515.wav	273.1578	X	0	1	X	Y		
19	22	Spectrogram 1	1	219596.504720514	219597.183112474	792.135	1415.73	67653638.220521222515.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521222515.wav	280.6357	X	0	2	X	Y		
20	23	Spectrogram 1	1	219601.507982731	219601.752957606	867.978	1500.0	67653638.220521222515.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521222515.wav	285.639	X	0	1	X	Y		
21	24	Spectrogram 1	1	219604.007982731	219604.20270635	1087.079	1575.843	67653638.220521222515.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521222515.wav	288.139	X	0	1	X	Y		
22	25	Spectrogram 1	1	219606.271929523	219606.49177877	1179.775	1575.843	67653638.220521222515.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521222515.wav	290.4029	X	0	1	X	Y		
23	26	Spectrogram 1	1	219607.540773745	219608.024442086	893.258	1407.303	67653638.220521222515.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521222515.wav	291.6718	X	0	1	X	Y		
24	27	Spectrogram 1	1	219617.19580201	219617.497309548	1044.944	1567.416	67653638.220521223015.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220521223015.wav	1.3125	X	0	1	X	Y		
25	28	Spectrogram 1	1	239610.644148744	239610.820028141	884.831	1735.955	67653638.220522040015.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220522040015.wav	194.1858	X	0	1	X	Y		
26	29	Spectrogram 1	1	239611.969525628	239612.239626131	766.854	1196.629	67653638.220522040015.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220522040015.wav	195.5112	X	0	1	X	Y		
27	30	Spectrogram 1	1	252621.28731608	252621.689326131	674.157	1988.764	67653638.220522074016.wav	D:\ringed-seal-data\Ulu_2022\ST1_Site78_67653638.220522074016.wav	3.6683	X	0	1	X	Y		
