Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Begin File	Begin Date	Begin Hour	Species	Call type	Comments	Quantity
1	Spectrogram 1	1	240.206679074	240.206679074	2253.100	2253.100	0.0000	67145740.220515105330.wav		0	BS			
2	Spectrogram 1	1	257.112446029	257.112446029	890.100	890.100	0.0000	67145740.220515105330.wav		0	BS			
3	Spectrogram 1	1	323.262391197	323.262391197	629.900	629.900	0.0000	67145740.220515105830.wav		0	BS			
4	Spectrogram 1	1	481.904004068	481.904004068	1814.900	1814.900	0.0000	67145740.220515105830.wav		0	BS			
5	Spectrogram 1	1	533.019343615	535.851713557	85.106	1665.500	2.8324	67145740.220515105830.wav		0	RS	BARK		7
6	Spectrogram 1	1	620.324048229	620.324048229	437.700	437.700	0.0000	67145740.220515110330.wav		0	BS			
7	Spectrogram 1	1	718.209831800	718.209831800	1590.700	1590.700	0.0000	67145740.220515110330.wav		0	BS			
8	Spectrogram 1	1	890.255712654	890.255712654	2338.100	2338.100	0.0000	67145740.220515110330.wav		0	BS			
9	Spectrogram 1	1	903.217726397	903.217726397	1067.600	1067.600	0.0000	67145740.220515110830.wav		0	BS			
10	Spectrogram 1	1	907.410136271	907.410136271	878.571	878.571	0.0000	67145740.220515110830.wav		0	RS	YELP		
11	Spectrogram 1	1	908.197537845	908.197537845	985.714	985.714	0.0000	67145740.220515110830.wav		0	RS	YELP		
12	Spectrogram 1	1	910.136514223	910.136514223	932.143	932.143	0.0000	67145740.220515110830.wav		0	RS	YELP		
13	Spectrogram 1	1	962.678665775	962.678665775	782.143	782.143	0.0000	67145740.220515110830.wav		0	RS	YELP		
14	Spectrogram 1	1	963.908980736	963.908980736	739.286	739.286	0.0000	67145740.220515110830.wav		0	RS	YELP		
15	Spectrogram 1	1	965.109768138	965.109768138	1221.429	1221.429	0.0000	67145740.220515110830.wav		0	RS	YELP		
16	Spectrogram 1	1	985.604169566	985.604169566	1650.000	1650.000	0.0000	67145740.220515110830.wav		0	BS			
17	Spectrogram 1	1	1042.333905968	1042.333905968	471.429	471.429	0.0000	67145740.220515110830.wav		0	BS			
18	Spectrogram 1	1	1059.428359088	1059.428359088	900.000	900.000	0.0000	67145740.220515110830.wav		0	BS			
19	Spectrogram 1	1	1071.223438232	1071.223438232	878.571	878.571	0.0000	67145740.220515110830.wav		0	RS	YELP		
20	Spectrogram 1	1	1080.073247261	1080.073247261	996.429	996.429	0.0000	67145740.220515110830.wav		0	RS	YELP		
21	Spectrogram 1	1	1081.362617340	1081.362617340	1221.429	1221.429	0.0000	67145740.220515110830.wav		0	RS	YELP		
22	Spectrogram 1	1	1081.903222209	1081.903222209	696.429	696.429	0.0000	67145740.220515110830.wav		0	RS	BARK		
23	Spectrogram 1	1	1086.593025532	1086.593025532	321.888	321.888	0.0000	67145740.220515110830.wav		0	BS			
24	Spectrogram 1	1	1089.399806683	1089.399806683	578.571	578.571	0.0000	67145740.220515110830.wav		0	RS	BARK		
25	Spectrogram 1	1	1175.007351751	1175.007351751	1671.429	1671.429	0.0000	67145740.220515110830.wav		0	BS			
26	Spectrogram 1	1	1203.119558017	1203.803565724	141.631	965.665	0.6840	67145740.220515111330.wav		0	RS	BARK		3
27	Spectrogram 1	1	1245.781334971	1245.781334971	2014.286	2014.286	0.0000	67145740.220515111330.wav		0	BS			
28	Spectrogram 1	1	1253.985842529	1253.985842529	1200.000	1200.000	0.0000	67145740.220515111330.wav		0	RS	YELP		
29	Spectrogram 1	1	1254.448440954	1254.448440954	1167.857	1167.857	0.0000	67145740.220515111330.wav		0	RS	YELP		
30	Spectrogram 1	1	1262.319531088	1262.319531088	1007.143	1007.143	0.0000	67145740.220515111330.wav		0	RS	YELP		
31	Spectrogram 1	1	1262.752601954	1262.752601954	792.857	792.857	0.0000	67145740.220515111330.wav		0	RS	BARK		
32	Spectrogram 1	1	1273.019487708	1273.019487708	321.429	321.429	0.0000	67145740.220515111330.wav		0	BS			
33	Spectrogram 1	1	1294.877682996	1294.877682996	814.286	814.286	0.0000	67145740.220515111330.wav		0	BS			
34	Spectrogram 1	1	1319.743066324	1319.743066324	2635.714	2635.714	0.0000	67145740.220515111330.wav		0	BS			
35	Spectrogram 1	1	1334.689465304	1334.689465304	1382.143	1382.143	0.0000	67145740.220515111330.wav		0	BS			
36	Spectrogram 1	1	1380.232090812	1380.232090812	589.286	589.286	0.0000	67145740.220515111330.wav		0	BS			
37	Spectrogram 1	1	1457.601158495	1457.601158495	942.857	942.857	0.0000	67145740.220515111330.wav		0	RS	YELP		
38	Spectrogram 1	1	1459.248557339	1459.248557339	942.857	942.857	0.0000	67145740.220515111330.wav		0	RS	YELP		
39	Spectrogram 1	1	1463.940272175	1463.940272175	900.000	900.000	0.0000	67145740.220515111330.wav		0	RS	YELP		
40	Spectrogram 1	1	1473.803640680	1473.803640680	1135.714	1135.714	0.0000	67145740.220515111330.wav		0	BS			
41	Spectrogram 1	1	1476.092129545	1476.092129545	1103.571	1103.571	0.0000	67145740.220515111330.wav		0	RS	YELP		
42	Spectrogram 1	1	1476.294441684	1476.294441684	567.857	567.857	0.0000	67145740.220515111330.wav		0	RS	BARK		
43	Spectrogram 1	1	1476.833940720	1476.833940720	717.857	717.857	0.0000	67145740.220515111330.wav		0	RS	BARK		
44	Spectrogram 1	1	1478.722187349	1478.722187349	910.714	910.714	0.0000	67145740.220515111330.wav		0	RS	YELP		
45	Spectrogram 1	1	1479.117177715	1479.117177715	675.000	675.000	0.0000	67145740.220515111330.wav		0	RS	BARK		
46	Spectrogram 1	1	1479.512168081	1479.512168081	728.571	728.571	0.0000	67145740.220515111330.wav		0	RS	BARK		
47	Spectrogram 1	1	1486.054469678	1486.054469678	878.571	878.571	0.0000	67145740.220515111330.wav		0	RS	YELP		
48	Spectrogram 1	1	1491.430192222	1491.430192222	1617.857	1617.857	0.0000	67145740.220515111330.wav		0	BS			
49	Spectrogram 1	1	1489.989490217	1489.989490217	889.286	889.286	0.0000	67145740.220515111330.wav		0	RS	YELP		
50	Spectrogram 1	1	1490.249605824	1490.249605824	407.143	407.143	0.0000	67145740.220515111330.wav		0	RS	BARK		
51	Spectrogram 1	1	1499.525299787	1499.525299787	910.714	910.714	0.0000	67145740.220515111330.wav		0	RS	YELP		
52	Spectrogram 1	1	1499.795049306	1499.795049306	546.429	546.429	0.0000	67145740.220515111330.wav		0	RS	BARK		
53	Spectrogram 1	1	1500.074432735	1500.074432735	675.000	675.000	0.0000	67145740.220515111330.wav		0	RS	BARK		
54	Spectrogram 1	1	1501.114895163	1501.114895163	1007.143	1007.143	0.0000	67145740.220515111830.wav		0	RS	YELP		
55	Spectrogram 1	1	1501.596590731	1501.596590731	985.714	985.714	0.0000	67145740.220515111830.wav		0	RS	BARK		
56	Spectrogram 1	1	1501.885608073	1501.885608073	1060.714	1060.714	0.0000	67145740.220515111830.wav		0	RS	YELP		
57	Spectrogram 1	1	1502.126455857	1502.126455857	771.429	771.429	0.0000	67145740.220515111830.wav		0	RS	BARK		
58	Spectrogram 1	1	1502.588883602	1502.588883602	1339.286	1339.286	0.0000	67145740.220515111830.wav		0	BS			
59	Spectrogram 1	1	1502.916436589	1502.916436589	803.571	803.571	0.0000	67145740.220515111830.wav		0	RS	BARK		
60	Spectrogram 1	1	1503.870193814	1503.870193814	964.286	964.286	0.0000	67145740.220515111830.wav		0	RS	YELP		
61	Spectrogram 1	1	1504.172353359	1504.172353359	707.143	707.143	0.0000	67145740.220515111830.wav		0	RS	BARK		
62	Spectrogram 1	1	1504.625147194	1504.625147194	835.714	835.714	0.0000	67145740.220515111830.wav		0	RS	YELP		
63	Spectrogram 1	1	1504.769655864	1504.769655864	535.714	535.714	0.0000	67145740.220515111830.wav		0	RS	BARK		
64	Spectrogram 1	1	1524.595358554	1524.595358554	600.000	600.000	0.0000	67145740.220515111830.wav		0	RS	YELP		
65	Spectrogram 1	1	1524.788036781	1524.788036781	492.857	492.857	0.0000	67145740.220515111830.wav		0	RS	BARK		
66	Spectrogram 1	1	1525.433508843	1525.433508843	589.286	589.286	0.0000	67145740.220515111830.wav		0	RS	BARK		
67	Spectrogram 1	1	1528.660869151	1528.660869151	621.429	621.429	0.0000	67145740.220515111830.wav		0	RS	YELP		
68	Spectrogram 1	1	1528.978788226	1528.978788226	364.286	364.286	0.0000	67145740.220515111830.wav		0	RS	BARK		
69	Spectrogram 1	1	1532.300746731	1532.300746731	675.000	675.000	0.0000	67145740.220515111830.wav		0	RS	YELP		
70	Spectrogram 1	1	1532.609031894	1532.609031894	375.000	375.000	0.0000	67145740.220515111830.wav		0	RS	BARK		
71	Spectrogram 1	1	1532.975120526	1532.975120526	482.143	482.143	0.0000	67145740.220515111830.wav		0	RS	BARK		
72	Spectrogram 1	1	1534.266064650	1534.266064650	792.857	792.857	0.0000	67145740.220515111830.wav		0	RS	YELP		
73	Spectrogram 1	1	1534.892268889	1534.892268889	385.714	385.714	0.0000	67145740.220515111830.wav		0	RS	BARK		
74	Spectrogram 1	1	1535.200554052	1535.200554052	417.857	417.857	0.0000	67145740.220515111830.wav		0	RS	BARK		
75	Spectrogram 1	1	1535.797856557	1535.797856557	492.857	492.857	0.0000	67145740.220515111830.wav		0	RS	BARK		
76	Spectrogram 1	1	1536.183213012	1536.183213012	482.143	482.143	0.0000	67145740.220515111830.wav		0	RS	BARK		
77	Spectrogram 1	1	1545.182149480	1545.182149480	375.000	375.000	0.0000	67145740.220515111830.wav		0	RS	BARK		
78	Spectrogram 1	1	1545.528970290	1545.528970290	310.714	310.714	0.0000	67145740.220515111830.wav		0	RS	BARK		
79	Spectrogram 1	1	1552.777185881	1552.777185881	825.000	825.000	0.0000	67145740.220515111830.wav		0	RS	YELP		
80	Spectrogram 1	1	1553.008399753	1553.008399753	364.286	364.286	0.0000	67145740.220515111830.wav		0	RS	BARK		
81	Spectrogram 1	1	1553.384122297	1553.384122297	364.286	364.286	0.0000	67145740.220515111830.wav		0	RS	BARK		
82	Spectrogram 1	1	1557.651941743	1557.651941743	1135.714	1135.714	0.0000	67145740.220515111830.wav		0	RS	YELP		
83	Spectrogram 1	1	1560.397606483	1560.397606483	803.571	803.571	0.0000	67145740.220515111830.wav		0	RS	YELP		
