Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Hour	Begin Date	Species	Call type	Comments	Quantity	WH
1	Spectrogram 1	1	305.134874759	305.134874759	298.800	298.800	67145740.220517181337.wav	0		BS				
2	Spectrogram 1	1	420.062177957	420.062177957	878.600	878.600	67145740.220517181337.wav	0		BS				
3	Spectrogram 1	1	489.935192415	489.935192415	632.100	632.100	67145740.220517181337.wav	0		BS				
4	Spectrogram 1	1	532.875279102	532.875279102	932.100	932.100	67145740.220517181337.wav	0		BS				
5	Spectrogram 1	1	575.980879911	575.980879911	203.600	203.600	67145740.220517181337.wav	0		BS				
6	Spectrogram 1	1	688.300044523	688.300044523	1607.100	1607.100	67145740.220517181837.wav	0		BS				
7	Spectrogram 1	1	740.112095782	740.112095782	900.000	900.000	67145740.220517181837.wav	0		RS	YELP			
8	Spectrogram 1	1	740.275872275	740.275872275	396.400	396.400	67145740.220517181837.wav	0		RS	BARK			
9	Spectrogram 1	1	740.603425261	740.603425261	1264.300	1264.300	67145740.220517181837.wav	0		RS	YELP			
10	Spectrogram 1	1	740.757567843	740.757567843	514.300	514.300	67145740.220517181837.wav	0		RS	BARK			
11	Spectrogram 1	1	744.642666009	744.642666009	1157.100	1157.100	67145740.220517181837.wav	0		RS	YELP			
12	Spectrogram 1	1	745.085825932	745.085825932	492.900	492.900	67145740.220517181837.wav	0		RS	BARK			
13	Spectrogram 1	1	745.211066780	745.211066780	1210.700	1210.700	67145740.220517181837.wav	0		RS	YELP			
14	Spectrogram 1	1	745.413378919	745.413378919	557.100	557.100	67145740.220517181837.wav	0		RS	BARK			
15	Spectrogram 1	1	804.969332862	804.969332862	557.100	557.100	67145740.220517181837.wav	0		BS				
16	Spectrogram 1	1	946.768259753	946.768259753	1242.900	1242.900	67145740.220517182337.wav	0		BS				
17	Spectrogram 1	1	1120.700639037	1120.700639037	375.000	375.000	67145740.220517182337.wav	0		BS				
18	Spectrogram 1	1	1195.350298951	1195.350298951	1692.900	1692.900	67145740.220517182337.wav	0		BS				
19	Spectrogram 1	1	1324.884384911	1324.884384911	237.537	237.537	67145740.220517182837.wav	0		?				?
20	Spectrogram 1	1	1333.835164951	1333.835164951	2025.000	2025.000	67145740.220517182837.wav	0		BS				
21	Spectrogram 1	1	1413.586421798	1413.586421798	310.700	310.700	67145740.220517182837.wav	0		BS				
22	Spectrogram 1	1	1490.337162696	1490.337162696	985.700	985.700	67145740.220517182837.wav	0		BS				
23	Spectrogram 1	1	1540.164649054	1540.164649054	1532.100	1532.100	67145740.220517183337.wav	0		BS				
24	Spectrogram 1	1	1583.443683364	1583.443683364	578.600	578.600	67145740.220517183337.wav	0		BS				
26	Spectrogram 1	1	1616.644762696	1616.644762696	921.400	921.400	67145740.220517183337.wav	0		BS				
27	Spectrogram 1	1	1637.528452059	1637.528452059	1350.000	1350.000	67145740.220517183337.wav	0		BS				
28	Spectrogram 1	1	1759.096136885	1759.096136885	1928.600	1928.600	67145740.220517183337.wav	0		BS				
29	Spectrogram 1	1	1911.856712036	1911.875979858	1307.100	1307.100	67145740.220517183837.wav	0		BS				
30	Spectrogram 1	1	1963.667884226	1963.667884226	321.400	321.400	67145740.220517183837.wav	0		BS				
31	Spectrogram 1	1	2022.340150208	2022.340150208	2410.700	2410.700	67145740.220517183837.wav	0		BS				
32	Spectrogram 1	1	2088.167786401	2088.167786401	1800.000	1800.000	67145740.220517183837.wav	0		BS				
33	Spectrogram 1	1	2102.466281310	2102.466281310	417.900	417.900	67145740.220517184337.wav	0		BS				
34	Spectrogram 1	1	2119.926430773	2119.926430773	1039.300	1039.300	67145740.220517184337.wav	0		BS				
35	Spectrogram 1	1	2134.489399830	2138.179187884	192.900	1007.100	67145740.220517184337.wav	0		RS	BARK		9	
36	Spectrogram 1	1	2141.691187132	2141.691187132	396.400	396.400	67145740.220517184337.wav	0		RS	BARK			
37	Spectrogram 1	1	2142.901558951	2144.182869163	192.900	985.700	67145740.220517184337.wav	0		RS	BARK		5	
38	Spectrogram 1	1	2192.396209042	2192.396209042	503.600	503.600	67145740.220517184337.wav	0		RS	YELP			
39	Spectrogram 1	1	2193.243993242	2193.243993242	846.400	846.400	67145740.220517184337.wav	0		RS	YELP			
40	Spectrogram 1	1	2193.465573203	2193.465573203	557.100	557.100	67145740.220517184337.wav	0		RS	BARK			
41	Spectrogram 1	1	2199.712729181	2199.712729181	1617.900	1617.900	67145740.220517184337.wav	0		RS	YELP			
42	Spectrogram 1	1	2199.905407409	2199.905407409	664.300	664.300	67145740.220517184337.wav	0		RS	BARK			
