Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Begin Hour	Species	Call type	Comments	Quantity	WH
1	Spectrogram 1	1	214.851105310	214.851105310	858.900	858.900	-100.00	0	BS				
2	Spectrogram 1	1	234.129421919	234.129421919	1742.700	1742.700	-98.91	0	BS				
3	Spectrogram 1	1	355.549129801	355.549129801	1966.800	1966.800	-133.42	0	BS				
4	Spectrogram 1	1	510.094567131	510.094567131	1083.000	1083.000	-117.78	0	BS				
5	Spectrogram 1	1	565.698004006	565.698004006	423.200	423.200	-124.80	0	BS				
6	Spectrogram 1	1	622.471535211	622.471535211	2278.000	2278.000	-125.93	0	BS				
7	Spectrogram 1	1	634.801187337	634.801187337	1095.400	1095.400	-118.09	0	RS	YELP			
8	Spectrogram 1	1	635.292516817	635.292516817	834.000	834.000	-104.98	0	RS	YELP			
9	Spectrogram 1	1	684.249426286	684.249426286	1954.400	1954.400	-119.73	0	BS				
10	Spectrogram 1	1	701.433696973	701.433696973	398.300	398.300	-116.52	0	BS				
11	Spectrogram 1	1	720.323166682	720.323166682	933.600	933.600	-103.12	0	BS				
12	Spectrogram 1	1	728.673141274	728.673141274	622.400	622.400	-107.95	0	RS	YELP			
13	Spectrogram 1	1	729.636532411	729.636532411	697.100	697.100	-117.65	0	RS	YELP			
14	Spectrogram 1	1	733.124008326	733.124008326	572.600	572.600	-119.93	0	RS	YELP			
15	Spectrogram 1	1	733.384123933	733.384123933	448.100	448.100	-97.67	0	RS	BARK			
16	Spectrogram 1	1	737.566984415	737.566984415	746.900	746.900	-118.90	0	RS	BARK			
17	Spectrogram 1	1	737.807832199	737.807832199	435.700	435.700	-108.81	0	RS	BARK			
18	Spectrogram 1	1	738.857928538	740.216310041	124.500	535.300	-95.91	0	RS	BARK		6	RS bark
19	Spectrogram 1	1	768.894709479	768.894709479	1966.800	1966.800	-110.20	0	RS	YELP			
20	Spectrogram 1	1	788.433175360	788.433175360	871.400	871.400	-105.65	0	RS	YELP			
21	Spectrogram 1	1	788.645121410	788.645121410	547.700	547.700	-107.23	0	RS	BARK			
22	Spectrogram 1	1	789.223156092	789.223156092	560.200	560.200	-120.17	0	RS	YELP			
23	Spectrogram 1	1	789.464003877	789.464003877	398.300	398.300	-104.47	0	RS	BARK			
24	Spectrogram 1	1	792.233311901	792.233311901	871.400	871.400	-136.46	0	RS	YELP			
25	Spectrogram 1	1	795.701519994	795.701519994	722.000	722.000	-98.09	0	RS	YELP			
26	Spectrogram 1	1	795.952001689	795.952001689	597.500	597.500	-104.71	0	RS	BARK			
27	Spectrogram 1	1	819.830084671	819.830084671	473.000	473.000	-95.88	0	BS				
28	Spectrogram 1	1	823.704678467	823.704678467	161.800	161.800	-98.55	0	RS	GROWL			RS growl
29	Spectrogram 1	1	853.247476276	853.247476276	1668.000	1668.000	-106.74	0	RS	YELP			
30	Spectrogram 1	1	862.844597635	862.844597635	651.200	651.200	-113.21	0	RS	YELP			
31	Spectrogram 1	1	863.046909774	863.046909774	331.000	331.000	-101.04	0	RS	BARK			
32	Spectrogram 1	1	863.422632317	863.422632317	373.700	373.700	-90.05	0	RS	BARK			
33	Spectrogram 1	1	869.463094745	869.463094745	298.900	298.900	-97.05	0	BS				
34	Spectrogram 1	1	898.590791623	898.812371585	1217.100	1644.100	-94.80	0	RS	YELP			
35	Spectrogram 1	1	900.854760795	900.854760795	1644.100	1644.100	-130.02	0	RS	YELP			
36	Spectrogram 1	1	957.096636699	957.096636699	1622.800	1622.800	-114.71	0	RS	YELP			
37	Spectrogram 1	1	957.771010495	957.771010495	1943.100	1943.100	-119.00	0	RS	YELP			
38	Spectrogram 1	1	971.882066745	971.882066745	565.800	565.800	-109.15	0	RS	YELP			
39	Spectrogram 1	1	1002.763145360	1002.763145360	2434.200	2434.200	-112.88	0	BS				
40	Spectrogram 1	1	1020.987888293	1020.987888293	555.200	555.200	-105.39	0	BS				
41	Spectrogram 1	1	1055.569248659	1055.569248659	1035.600	1035.600	-127.84	0	BS				
42	Spectrogram 1	1	1076.095611512	1076.095611512	405.700	405.700	-132.83	0	BS				
43	Spectrogram 1	1	1087.346265215	1087.346265215	640.600	640.600	-116.60	0	BS				
44	Spectrogram 1	1	1094.366760037	1094.366760037	352.300	352.300	-120.43	0	BS				
45	Spectrogram 1	1	1108.745807039	1108.745807039	1323.800	1323.800	-106.27	0	BS				
46	Spectrogram 1	1	1146.832161792	1146.832161792	491.100	491.100	-95.70	0	BS				
47	Spectrogram 1	1	1178.261490369	1178.261490369	811.400	811.400	-100.82	0	BS				
48	Spectrogram 1	1	1194.818665220	1194.818665220	480.400	480.400	-102.56	0	BS				
49	Spectrogram 1	1	1251.244483616	1251.244483616	2316.700	2316.700	-105.06	0	BS				
