Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Hour	Species	Sound type	Comments	Quantity	WH
1	Spectrogram 1	1	1697.717288659	1697.717288659	384.100	384.100	10	BS				
2	Spectrogram 1	1	1962.334557367	1962.334557367	290.300	290.300	10	BS				
3	Spectrogram 1	1	1984.324393721	1984.324393721	526.900	526.900	10	BS				
4	Spectrogram 1	1	2051.923808385	2051.923808385	634.400	634.400	10	BS				
5	Spectrogram 1	1	2159.226315922	2159.226315922	516.100	516.100	10	BS				
6	Spectrogram 1	1	2224.396216917	2224.396216917	569.900	569.900	10	BS				
7	Spectrogram 1	1	2432.737440300	2432.737440300	376.300	376.300	10	BS				
8	Spectrogram 1	1	2540.390252107	2540.390252107	440.900	440.900	10	BS				
9	Spectrogram 1	1	2752.171664205	2752.171664205	935.500	935.500	11	BS				
10	Spectrogram 1	1	3059.219311235	3059.219311235	645.200	645.200	11	BS				
11	Spectrogram 1	1	3530.586430303	3530.586430303	720.400	720.400	11	BS				
12	Spectrogram 1	1	3590.314051073	3590.314051073	440.900	440.900	11	BS				
13	Spectrogram 1	1	5901.399192328	5901.399192328	548.400	548.400	11	BS				
14	Spectrogram 1	1	5993.757748082	5993.757748082	881.700	881.700	11	BS				
15	Spectrogram 1	1	6156.785430998	6156.785430998	408.600	408.600	11	BS				
16	Spectrogram 1	1	6412.985287736	6412.985287736	784.900	784.900	12	BS				
17	Spectrogram 1	1	6526.560335049	6526.560335049	344.100	344.100	12	BS				
18	Spectrogram 1	1	6577.486930971	6577.486930971	731.200	731.200	12	BS				
19	Spectrogram 1	1	6786.904532440	6786.904532440	731.200	731.200	12	BS				
20	Spectrogram 1	1	6911.940452850	6911.940452850	430.100	430.100	12	BS				
21	Spectrogram 1	1	7122.328422023	7122.328422023	688.200	688.200	12	BS				
22	Spectrogram 1	1	7299.416365697	7299.416365697	752.700	752.700	12	BS				
23	Spectrogram 1	1	7414.946229848	7414.946229848	655.900	655.900	12	BS				
27	Spectrogram 1	1	7574.708007572	7574.708007572	311.800	311.800	12	BS				
28	Spectrogram 1	1	7906.210019449	7906.210019449	225.800	225.800	12	BS				
29	Spectrogram 1	1	7954.102818937	7954.102818937	731.200	731.200	12	BS				
30	Spectrogram 1	1	8096.430701805	8096.430701805	473.100	473.100	12	BS				
33	Spectrogram 1	1	8204.758804465	8204.758804465	559.100	559.100	12	BS				
34	Spectrogram 1	1	8272.646335006	8272.646335006	580.600	580.600	12	BS				
35	Spectrogram 1	1	8370.650362822	8370.650362822	344.100	344.100	12	BS				
36	Spectrogram 1	1	8482.285516437	8482.285516437	591.400	591.400	12	BS				
37	Spectrogram 1	1	8581.496409109	8581.496409109	494.600	494.600	12	BS				
38	Spectrogram 1	1	8592.294261068	8592.294261068	419.400	419.400	12	BS				
39	Spectrogram 1	1	8621.189855766	8621.189855766	655.900	655.900	12	BS				
40	Spectrogram 1	1	8695.159905202	8695.159905202	1989.200	1989.200	12	BS				
41	Spectrogram 1	1	9150.953409617	9150.953409617	666.700	666.700	12	BS				
42	Spectrogram 1	1	9332.599059908	9332.599059908	709.700	709.700	12	BS				
43	Spectrogram 1	1	9444.603788907	9444.603788907	655.900	655.900	12	BS				
44	Spectrogram 1	1	9567.250468517	9567.250468517	440.900	440.900	12	BS				
45	Spectrogram 1	1	9907.678760352	9907.678760352	333.300	333.300	13	MAYBE RS				Probably RS growl, but if no other RS calls nearby, could be unknown BS call?
46	Spectrogram 1	1	9911.503423165	9911.503423165	494.600	494.600	13	MAYBE RS				Same as 45
47	Spectrogram 1	1	9938.852345144	9938.852345144	688.200	688.200	13	BS				
48	Spectrogram 1	1	10079.559996213	10079.559996213	333.300	333.300	13	BS				
49	Spectrogram 1	1	10149.582752735	10149.582752735	957.000	957.000	13	BS				
50	Spectrogram 1	1	10212.183926569	10212.183926569	645.200	645.200	13	BS				
51	Spectrogram 1	1	10364.957607194	10364.957607194	677.400	677.400	13	BS				
52	Spectrogram 1	1	13690.115244282	13690.115244282	150.500	150.500	14	BH				BH
53	Spectrogram 1	1	13667.571023110	13667.571023110	236.600	236.600	14	MAYBE BH				? Maybe BH
54	Spectrogram 1	1	13711.754775960	13711.754775960	161.300	161.300	14	BH				BH - missing most of the call
55	Spectrogram 1	1	13764.773683466	13764.773683466	150.500	150.500	14	?				?
56	Spectrogram 1	1	13924.754421165	13924.754421165	430.100	430.100	14	BS				
57	Spectrogram 1	1	13941.453497229	13941.453497229	2752.700	2752.700	14	BS				
58	Spectrogram 1	1	13953.415312176	13953.415312176	655.900	655.900	14	BS				
59	Spectrogram 1	1	14038.835699557	14038.835699557	1365.600	1365.600	14	BS				
60	Spectrogram 1	1	14180.860573963	14180.860573963	279.600	279.600	14	BS				
61	Spectrogram 1	1	14193.408304686	14193.408304686	483.900	483.900	14	BS				
62	Spectrogram 1	1	14303.237516583	14303.237516583	494.600	494.600	14	BS				
63	Spectrogram 1	1	14324.858635080	14324.858635080	677.400	677.400	14	BS				
64	Spectrogram 1	1	15331.326508179	15331.326508179	311.800	311.800	14	BS				
65	Spectrogram 1	1	16991.153972371	16991.153972371	871.000	871.000	15	RS	YELP			
66	Spectrogram 1	1	18895.921875796	18895.921875796	1741.900	1741.900	15	BS				
67	Spectrogram 1	1	19044.236817917	19044.236817917	720.400	720.400	15	BS				
68	Spectrogram 1	1	19065.490101544	19065.490101544	2172.000	2172.000	15	BS				
69	Spectrogram 1	1	19215.112635625	19215.112635625	763.400	763.400	15	BS				
