Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH
1	Spectrogram 1	1	4862.940963796	4862.940963796	2114.600	2114.600	67653638.220517165058.wav	BS			
2	Spectrogram 1	1	4904.655798832	4904.655798832	1035.600	1035.600	67653638.220517165058.wav	BS			
3	Spectrogram 1	1	4944.477134039	4944.477134039	1569.400	1569.400	67653638.220517165058.wav	BS			
4	Spectrogram 1	1	5026.366248751	5026.366248751	331.000	331.000	67653638.220517165058.wav	BS			
5	Spectrogram 1	1	5035.091955125	5035.091955125	694.000	694.000	67653638.220517165058.wav	BS			
6	Spectrogram 1	1	5173.043435178	5173.043435178	1355.900	1355.900	67653638.220517165558.wav	BS			
7	Spectrogram 1	1	5256.152545052	5256.152545052	1238.400	1238.400	67653638.220517165558.wav	BS			
8	Spectrogram 1	1	5280.632327767	5280.632327767	2316.700	2316.700	67653638.220517165558.wav	BS			
9	Spectrogram 1	1	5325.651586494	5325.651586494	491.100	491.100	67653638.220517165558.wav	BS			
10	Spectrogram 1	1	5333.907841957	5333.907841957	704.600	704.600	67653638.220517165558.wav	BS			
11	Spectrogram 1	1	5446.637763745	5446.637763745	427.000	427.000	67653638.220517170058.wav	BS			
12	Spectrogram 1	1	5471.498507016	5471.498507016	587.200	587.200	67653638.220517170058.wav	BS			
13	Spectrogram 1	1	5491.277796255	5491.277796255	1035.600	1035.600	67653638.220517170058.wav	BS			
14	Spectrogram 1	1	5504.669811495	5504.669811495	1558.700	1558.700	67653638.220517170058.wav	BS			
15	Spectrogram 1	1	5569.047978942	5569.047978942	1313.200	1313.200	67653638.220517170058.wav	BS			
16	Spectrogram 1	1	5671.761248499	5671.761248499	704.600	704.600	67653638.220517170058.wav	BS			
17	Spectrogram 1	1	5827.156232488	5827.156232488	2263.300	2263.300	67653638.220517170558.wav	BS			
18	Spectrogram 1	1	5934.973718964	5934.973718964	469.800	469.800	67653638.220517170558.wav	BS			
19	Spectrogram 1	1	5974.755623640	5974.755623640	1462.600	1462.600	67653638.220517170558.wav	BS			
20	Spectrogram 1	1	6011.111402501	6011.111402501	2359.400	2359.400	67653638.220517171058.wav	BS			
21	Spectrogram 1	1	6068.760725331	6068.760725331	1793.600	1793.600	67653638.220517171058.wav	BS			
22	Spectrogram 1	1	6182.046759922	6182.046759922	726.000	726.000	67653638.220517171058.wav	BS			
23	Spectrogram 1	1	6321.251530811	6321.251530811	491.100	491.100	67653638.220517171558.wav	BS			
24	Spectrogram 1	1	6355.317917258	6355.317917258	448.400	448.400	67653638.220517171558.wav	BS			
25	Spectrogram 1	1	6363.499731985	6363.499731985	928.800	928.800	67653638.220517171558.wav	BS			
26	Spectrogram 1	1	6391.654404445	6391.654404445	1804.300	1804.300	67653638.220517171558.wav	BS			
27	Spectrogram 1	1	6411.568571103	6411.568571103	1697.500	1697.500	67653638.220517171558.wav	BS			BS
28	Spectrogram 1	1	6423.548774174	6423.548774174	512.500	512.500	67653638.220517171558.wav	BS			
29	Spectrogram 1	1	6450.219811755	6450.219811755	320.300	320.300	67653638.220517171558.wav	BS			
30	Spectrogram 1	1	6454.535804048	6454.535804048	640.600	640.600	67653638.220517171558.wav	BS			
31	Spectrogram 1	1	6473.383235768	6473.383235768	1089.000	1089.000	67653638.220517171558.wav	BS			
32	Spectrogram 1	1	6485.489565334	6485.489565334	331.000	331.000	67653638.220517171558.wav	BS			
33	Spectrogram 1	1	6504.988600684	6504.988600684	2338.100	2338.100	67653638.220517171558.wav	BS			
34	Spectrogram 1	1	6616.628130567	6616.628130567	533.800	533.800	67653638.220517172058.wav	BS			
35	Spectrogram 1	1	6677.810474439	6677.810474439	1163.700	1163.700	67653638.220517172058.wav	BS			BS
36	Spectrogram 1	1	6698.533010583	6698.533010583	1996.400	1996.400	67653638.220517172058.wav	BS			
37	Spectrogram 1	1	6813.796633509	6813.796633509	608.500	608.500	67653638.220517172058.wav	BS			
38	Spectrogram 1	1	6907.013487476	6907.013487476	512.500	512.500	67653638.220517172558.wav	BS			
39	Spectrogram 1	1	6915.130495553	6915.130495553	1516.000	1516.000	67653638.220517172558.wav	BS			
40	Spectrogram 1	1	6932.204414288	6932.204414288	1121.000	1121.000	67653638.220517172558.wav	BS			
41	Spectrogram 1	1	6947.381324447	6947.381324447	1740.200	1740.200	67653638.220517172558.wav	BS			
42	Spectrogram 1	1	7036.494997607	7036.494997607	2274.000	2274.000	67653638.220517172558.wav	BS			
43	Spectrogram 1	1	7087.588005196	7087.588005196	2060.500	2060.500	67653638.220517172558.wav	BS			
44	Spectrogram 1	1	7190.895053147	7190.895053147	288.300	288.300	67653638.220517172558.wav	BS			
45	Spectrogram 1	1	7204.171483622	7204.171483622	341.600	341.600	67653638.220517173058.wav	BS			
46	Spectrogram 1	1	7218.230862197	7218.230862197	726.000	726.000	67653638.220517173058.wav	BS			
47	Spectrogram 1	1	7245.088456831	7245.088456831	416.400	416.400	67653638.220517173058.wav	BS			
48	Spectrogram 1	1	7257.284984704	7257.284984704	1601.400	1601.400	67653638.220517173058.wav	BS			
49	Spectrogram 1	1	7287.494298312	7287.494298312	1569.400	1569.400	67653638.220517173058.wav	BS			
50	Spectrogram 1	1	7326.776140432	7326.776140432	1782.900	1782.900	67653638.220517173058.wav	BS			
51	Spectrogram 1	1	7366.351363457	7366.351363457	2231.300	2231.300	67653638.220517173058.wav	BS			
52	Spectrogram 1	1	7488.716042941	7488.716042941	459.100	459.100	67653638.220517173058.wav	BS			
53	Spectrogram 1	1	7523.644224623	7523.644224623	982.206	982.206	67653638.220517173558.wav	BS			
54	Spectrogram 1	1	7560.513204200	7560.513204200	811.388	811.388	67653638.220517173558.wav	BS			
55	Spectrogram 1	1	7591.313680836	7591.313680836	1889.680	1889.680	67653638.220517173558.wav	BS			
56	Spectrogram 1	1	7634.438567945	7634.438567945	2274.021	2274.021	67653638.220517173558.wav	BS			
57	Spectrogram 1	1	7688.053060538	7688.053060538	373.665	373.665	67653638.220517173558.wav	BS			
58	Spectrogram 1	1	7703.664376407	7703.664376407	2199.288	2199.288	67653638.220517173558.wav	BS			
59	Spectrogram 1	1	7801.594831985	7801.594831985	437.722	437.722	67653638.220517174058.wav	BS			
60	Spectrogram 1	1	7887.421602410	7887.421602410	1558.719	1558.719	67653638.220517174058.wav	BS			
61	Spectrogram 1	1	7930.106816751	7930.106816751	597.865	597.865	67653638.220517174058.wav	BS			
62	Spectrogram 1	1	7956.706066497	7956.706066497	2124.555	2124.555	67653638.220517174058.wav	BS			
63	Spectrogram 1	1	8023.704660320	8023.704660320	2402.135	2402.135	67653638.220517174058.wav	BS			
64	Spectrogram 1	1	8144.588343389	8144.588343389	448.399	448.399	67653638.220517174558.wav	BS			
65	Spectrogram 1	1	8214.970183856	8214.970183856	1024.911	1024.911	67653638.220517174558.wav	BS			
66	Spectrogram 1	1	8236.551038947	8236.551038947	2466.192	2466.192	67653638.220517174558.wav	BS			
67	Spectrogram 1	1	8273.114368939	8273.114368939	448.399	448.399	67653638.220517174558.wav	BS			
68	Spectrogram 1	1	8282.726382630	8282.726382630	1088.968	1088.968	67653638.220517174558.wav	BS			
69	Spectrogram 1	1	8296.792770336	8296.792770336	1612.100	1612.100	67653638.220517174558.wav	BS			
70	Spectrogram 1	1	8316.915383990	8316.915383990	565.836	565.836	67653638.220517174558.wav	BS			
71	Spectrogram 1	1	8331.960048615	8331.960048615	555.160	555.160	67653638.220517174558.wav	BS			
72	Spectrogram 1	1	8347.016092058	8347.016092058	2370.107	2370.107	67653638.220517174558.wav	BS			
73	Spectrogram 1	1	8464.605860426	8464.605860426	2124.555	2124.555	67653638.220517175058.wav	BS			
74	Spectrogram 1	1	8584.507753000	8584.507753000	651.246	651.246	67653638.220517175058.wav	BS			
