Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH	Quantity
1	Spectrogram 1	1	754.016445953	754.016445953	460.000	460.000	67653638.220519093507.wav	BS				
2	Spectrogram 1	1	983.088968932	983.088968932	893.600	893.600	67653638.220519094007.wav	BS				
3	Spectrogram 1	1	1220.712032754	1220.712032754	968.100	968.100	67653638.220519094507.wav	BS				
4	Spectrogram 1	1	1323.904361725	1323.904361725	776.600	776.600	67653638.220519094507.wav	BS				
5	Spectrogram 1	1	2935.145358075	2935.145358075	829.800	829.800	67653638.220519101007.wav	Unknown			Unknown	
6	Spectrogram 1	1	2964.033090156	2964.033090156	276.600	276.600	67653638.220519101007.wav	Unknown			Unknown	
7	Spectrogram 1	1	2971.330351712	2971.330351712	319.100	319.100	67653638.220519101007.wav	?Unknown			Unknown - maybe RS?	
9	Spectrogram 1	1	5121.418811782	5121.418811782	521.300	521.300	67653638.220519105008.wav	BS				
10	Spectrogram 1	1	5187.213171304	5187.213171304	840.400	840.400	67653638.220519105008.wav	BS				
11	Spectrogram 1	1	5295.761057801	5295.761057801	574.500	574.500	67653638.220519105008.wav	BS				
12	Spectrogram 1	1	5360.901188441	5360.901188441	606.400	606.400	67653638.220519105008.wav	BS				
13	Spectrogram 1	1	5569.234518200	5569.234518200	361.700	361.700	67653638.220519105508.wav	BS				
14	Spectrogram 1	1	5627.020467625	5627.020467625	861.700	861.700	67653638.220519105508.wav	BS			BS	
15	Spectrogram 1	1	5677.656311867	5677.656311867	414.900	414.900	67653638.220519105508.wav	BS				
16	Spectrogram 1	1	5887.210513196	5887.210513196	968.100	968.100	67653638.220519110008.wav	BS				
17	Spectrogram 1	1	6195.814481065	6195.814481065	638.300	638.300	67653638.220519110508.wav	BS				
18	Spectrogram 1	1	6499.515652557	6499.515652557	840.400	840.400	67653638.220519111008.wav	BS				
19	Spectrogram 1	1	6726.384639058	6726.384639058	457.400	457.400	67653638.220519111508.wav	BS				
20	Spectrogram 1	1	9038.236950231	9038.236950231	542.600	542.600	67653638.220519115508.wav	BS				
21	Spectrogram 1	1	9129.602358876	9129.602358876	989.400	989.400	67653638.220519115508.wav	BS				
22	Spectrogram 1	1	9292.544194117	9292.544194117	468.100	468.100	67653638.220519115508.wav	BS				
23	Spectrogram 1	1	9548.799234337	9548.799234337	968.100	968.100	67653638.220519120008.wav	BS				
24	Spectrogram 1	1	9662.854247903	9662.854247903	340.400	340.400	67653638.220519120508.wav	BS				
25	Spectrogram 1	1	9711.750722370	9711.750722370	925.500	925.500	67653638.220519120508.wav	BS			BS	
27	Spectrogram 1	1	9915.401085783	9915.401085783	1010.600	1010.600	67653638.220519121008.wav	BS				
28	Spectrogram 1	1	10048.370969779	10048.370969779	489.400	489.400	67653638.220519121008.wav	BS				
29	Spectrogram 1	1	10263.066193953	10263.066193953	521.300	521.300	67653638.220519121508.wav	BS				
31	Spectrogram 1	1	10434.949170102	10434.949170102	946.800	946.800	67653638.220519121508.wav	BS				
32	Spectrogram 1	1	10550.240831286	10550.240831286	734.000	734.000	67653638.220519122008.wav	BS				
33	Spectrogram 1	1	10648.374466173	10648.374466173	1021.300	1021.300	67653638.220519122008.wav	BS				
34	Spectrogram 1	1	11016.504609843	11016.504609843	883.000	883.000	67653638.220519122508.wav	BS				
35	Spectrogram 1	1	11090.265339163	11090.265339163	914.900	914.900	67653638.220519122508.wav	BS				
36	Spectrogram 1	1	11216.160429171	11216.160429171	1010.600	1010.600	67653638.220519123008.wav	BS				
37	Spectrogram 1	1	11341.275140949	11341.275140949	585.100	585.100	67653638.220519123008.wav	BS				
38	Spectrogram 1	1	11408.955125959	11408.955125959	659.600	659.600	67653638.220519123508.wav	BS				
39	Spectrogram 1	1	11507.196511518	11507.196511518	372.300	372.300	67653638.220519123508.wav	BS				
40	Spectrogram 1	1	11619.788017514	11619.788017514	531.900	531.900	67653638.220519123508.wav	BS			BS	
41	Spectrogram 1	1	11720.303860393	11720.303860393	1138.300	1138.300	67653638.220519124008.wav	BS			BS	
42	Spectrogram 1	1	11760.007865122	11760.007865122	776.600	776.600	67653638.220519124008.wav	BS				
43	Spectrogram 1	1	11835.119966815	11835.119966815	2000.000	2000.000	67653638.220519124008.wav	BS				
44	Spectrogram 1	1	11931.822530949	11931.822530949	989.400	989.400	67653638.220519124008.wav	BS				
45	Spectrogram 1	1	12341.184069178	12341.184069178	1010.600	1010.600	67653638.220519125008.wav	BS				
46	Spectrogram 1	1	12467.873510762	12467.873510762	989.400	989.400	67653638.220519125008.wav	BS				
47	Spectrogram 1	1	12584.778395014	12584.778395014	521.300	521.300	67653638.220519125008.wav	BS				
48	Spectrogram 1	1	12703.049552837	12703.049552837	457.400	457.400	67653638.220519125508.wav	BS				
49	Spectrogram 1	1	12757.776295869	12757.776295869	861.700	861.700	67653638.220519125508.wav	BS				
50	Spectrogram 1	1	13008.482205100	13008.482205100	1117.000	1117.000	67653638.220519130008.wav	BS				
51	Spectrogram 1	1	13073.535627371	13073.535627371	1138.300	1138.300	67653638.220519130008.wav	BS				
52	Spectrogram 1	1	13215.981743110	13215.981743110	372.300	372.300	67653638.220519130508.wav	BS				
53	Spectrogram 1	1	13492.182487526	13492.182487526	1000.000	1000.000	67653638.220519130508.wav	BS			BS	
54	Spectrogram 1	1	17537.701855061	17537.701855061	1095.700	1095.700	67653638.220519141508.wav	BS				
55	Spectrogram 1	1	18498.401621182	18498.401621182	1442.857	1442.857	67653638.220519143008.wav	Unknown			Unknown	
56	Spectrogram 1	1	19471.479228443	19471.479228443	1042.600	1042.600	67653638.220519144508.wav	RS	YELP		Yelp	
57	Spectrogram 1	1	19472.731636920	19472.731636920	1212.800	1212.800	67653638.220519144508.wav	RS	YELP		Yelp	
58	Spectrogram 1	1	22335.859142816	22335.859142816	1829.800	1829.800	67653638.220519153508.wav	BS				
59	Spectrogram 1	1	22483.763331977	22483.763331977	787.200	787.200	67653638.220519153508.wav	BS				
60	Spectrogram 1	1	22504.816034515	22504.816034515	2308.500	2308.500	67653638.220519154008.wav	BS				
61	Spectrogram 1	1	22654.452590498	22654.452590498	712.800	712.800	67653638.220519154008.wav	BS				
62	Spectrogram 1	1	22725.028004078	22725.028004078	1319.100	1319.100	67653638.220519154008.wav	BS				
63	Spectrogram 1	1	23050.284609504	23050.284609504	1234.000	1234.000	67653638.220519154508.wav	BS				
64	Spectrogram 1	1	23122.419818550	23122.419818550	457.400	457.400	67653638.220519155008.wav	BS			BS	
65	Spectrogram 1	1	23440.183000327	23440.183000327	1063.800	1063.800	67653638.220519155508.wav	BS				
66	Spectrogram 1	1	23553.631967743	23553.631967743	648.900	648.900	67653638.220519155508.wav	BS				
67	Spectrogram 1	1	23717.949705442	23717.949705442	1074.500	1074.500	67653638.220519160008.wav	BS				
68	Spectrogram 1	1	23776.572060653	23776.572060653	2010.600	2010.600	67653638.220519160008.wav	BS				
69	Spectrogram 1	1	23822.680833722	23822.680833722	468.100	468.100	67653638.220519160008.wav	BS				
70	Spectrogram 1	1	23894.421069550	23894.421069550	1202.100	1202.100	67653638.220519160008.wav	BS				
71	Spectrogram 1	1	24106.940773332	24106.940773332	319.100	319.100	67653638.220519160508.wav	BS				
72	Spectrogram 1	1	24146.493236759	24146.493236759	914.900	914.900	67653638.220519160508.wav	BS				
73	Spectrogram 1	1	24186.748085450	24186.748085450	1478.700	1478.700	67653638.220519160508.wav	BS				
74	Spectrogram 1	1	24341.759474636	24341.759474636	2425.500	2425.500	67653638.220519161008.wav	BS				
75	Spectrogram 1	1	24604.673278661	24604.673278661	627.700	627.700	67653638.220519161508.wav	BS				
76	Spectrogram 1	1	24706.073721309	24706.073721309	1095.700	1095.700	67653638.220519161508.wav	BS				
77	Spectrogram 1	1	24729.903639353	24729.903639353	1266.000	1266.000	67653638.220519161508.wav	BS				
78	Spectrogram 1	1	24759.532293673	24759.532293673	574.500	574.500	67653638.220519161508.wav	BS				
79	Spectrogram 1	1	24773.803614834	24773.803614834	1138.300	1138.300	67653638.220519161508.wav	BS				
80	Spectrogram 1	1	24792.509170398	24792.509170398	1383.000	1383.000	67653638.220519161508.wav	BS				
81	Spectrogram 1	1	24841.502852478	24841.502852478	1138.300	1138.300	67653638.220519161508.wav	BS				
82	Spectrogram 1	1	24903.026756225	24903.026756225	2329.800	2329.800	67653638.220519162008.wav	BS				
83	Spectrogram 1	1	24938.260596805	24938.260596805	414.900	414.900	67653638.220519162008.wav	BS				
84	Spectrogram 1	1	24970.609546904	24970.609546904	925.500	925.500	67653638.220519162008.wav	BS				
