Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment	NEW analysis	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
1	Spectrogram 1	1	1972.685333333	1972.899433333	0.2141	173.3240	239.500	790.400	322.266	1208533023.040504065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040504065015.wav	13.26	Y	bark		ND	RS	low	ww?		RS			Y	1	0	X	B	-	FAINT	
2	Spectrogram 1	1	60.245000000	63.044900000	2.7999	60.2450	125.200	1440.000	890.625	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	13.34	Y	"bark, Y"		ND	RS	low	ice?		RS			X	-	-	-	-	S		
3	Spectrogram 1	1	587.911666667	599.343666667	11.4320	287.9990	215.600	1341.300	480.469	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	13.10	Y	"bark, Y"	barks in the middle	ND	RS				Y	barks in the middle	yes	X	-	-	-	-	S		
4	Spectrogram 1	1	702.453666667	711.241666667	8.7880	102.7040	82.200	1279.800	210.938	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	12.92	Y	"bark, Y"	faint	ND	RS							X	-	-	-	-	S		
5	Spectrogram 1	1	717.861666667	748.523666667	30.6620	118.1120	11.700	1825.800	11.719	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.15	Y	"bark, Y"	finally some clear barks!	ND	RS							X	-	-	-	-	S		
6	Spectrogram 1	1	900.194000000	912.446000000	12.2520	0.5340	170.300	1684.900	292.969	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	13.26	Y	"bark, Y"	only one bark	ND	RS	medium			RS			X	-	-	-	-	S		
7	Spectrogram 1	1	1464.132666667	1475.223666667	11.0910	264.5670	282.300	1544.300	990.234	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	11.89	Y	"bark, Y"		ND	RS							X	-	-	-	-	S		
8	Spectrogram 1	1	1477.221666667	1489.464666667	12.2430	277.6560	249.100	1245.400	1078.125	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	11.93	Y	"bark, Y"		ND	RS							X	-	-	-	-	S		
9	Spectrogram 1	1	1491.145666667	1499.460666667	8.3150	291.5800	249.100	1544.300	1083.984	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.11	Y	"bark, Y"		ND	RS							X	-	-	-	-	S		
10	Spectrogram 1	1	1732.352333333	1756.103333333	23.7510	232.8330	144.000	1662.000	416.016	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	12.68	Y	bark		ND	RS				RS		y	X	-	-	-	-	S		
11	Spectrogram 1	1	2118.099674757	2118.471445393	0.3718	18.8900	132.353	926.471	333.984	1208533023.050113235015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.050113235015.wav	12.50	Y	bark		ND	RS						yes	Y	1	0	Y	B	-		
12	Spectrogram 1	1	2614.990000000	2616.180000000	1.1900	215.7980	260.100	1115.600	339.844	1208533023.050207105015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.050207105015.wav	11.68	Y	bark	faint	ND	RS	Low	dots .3 1 khz		RS			X	-	-	-	-	S		
13	Spectrogram 1	1	182.687558587	183.059329224	0.3718	182.6876	57.500	1522.059	457.031	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	15.39	Y	bark		AR								X	1	0	X	B	-	Too faint	
14	Spectrogram 1	1	2760.964666667	2763.556440667	2.5918	61.8360	234.800	1068.700	492.188	1208533023.040928085015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	12.51	Y	"bark, Y"	still faint	AR								X	7	0	X	BY	-	Too faint	
15	Spectrogram 1	1	691.559666667	691.850492667	0.2908	91.8100	47.900	555.900	52.734	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	12.03	Y	bark?	It looks like it but I can't hear anything	AR								X	1	0	X	B	-	Too faint	
16	Spectrogram 1	1	727.349666667	730.959330667	3.6097	127.6000	52.700	1063.900	158.203	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.11	Y	bark	"this is inside of Niki's selection, but it is a long one so I thought I'd higlight the barks"	AR								X	-	-	-	-	S		
17	Spectrogram 1	1	747.881575201	748.480188938	0.5986	148.1319	25.281	1019.663	421.875	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.99	Y	bark	"this is inside of Niki's selection, but it is a long one so I thought I'd higlight the barks"	AR								Y	1	1	X	BY	-		
