Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path		Keep for detector? Y/X	Call type	AR comment	Species ID	Ship Noise?	Ship Size	WH comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
78	Spectrogram 1	1	2727.817000000	2728.219440000	0.4024	87.8170	72.100	649.300	TEST__0__20170903_073201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170903_073201.wav		Y	bark	Had to change brightness to 50 to see this one. Not sure if appropriate for detector?	RS			Short bark	Y	1	0	X	B	-	FAINT	
79	Spectrogram 1	1	2864.634000000	2865.060830000	0.4268	104.6340	102.200	1148.300	TEST__0__20170903_093201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170903_093201.wav		Y	bark	better visible with Brightness 50	RS				Y	1	0	X	B	-	FAINT	
80	Spectrogram 1	1	2876.390000000	2876.670490000	0.2805	116.3900	84.200	937.900	TEST__0__20170903_093201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170903_093201.wav		Y	bark	better with B50 but still visible at B45	RS				Y	1	0	X	B	-	FAINT	
107	Spectrogram 1	1	2889.780000000	2890.170240000	0.3902	9.7800	468.900	1214.400	TEST__0__20170904_154401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_154401.wav		Y	bark	Bark?	RS			"bark (weird sound to it, though)"	Y	1	0	X	B	-	WEIRD	
116	Spectrogram 1	1	149.000000000	149.731710000	0.7317	29.0000	547.100	1479.000	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav		Y	bark	AR	RS				Y	1	0	X	B	-		
118	Spectrogram 1	1	152.500000000	157.207320000	4.7073	32.5000	432.900	1863.700	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav		Y	bark	series	RS				X	-	-	-	-	S		
209	Spectrogram 1	1	3041.176126654	3041.434475740	0.2583	41.1761	242.400	933.300	TEST__0__20170910_165601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170910_165601.wav		Y	bark	AR	RS				Y	1	0	X	B	-		
222	Spectrogram 1	1	276.646000000	291.950900000	15.3049	36.6460	0.000	1226.500	TEST__0__20170911_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_014401.wav		Y	"bark, yelp"	WH	RS			Good sequence	X	-	-	-	-	S		
223	Spectrogram 1	1	26.622000000	27.036600000	0.4146	26.6220	410.256	833.333	TEST__0__20170911_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_020801.wav		Y	bark	yelp?	RS				X	0	1	X	Y	-	THINK THIS IS A YELP	
224	Spectrogram 1	1	29.037869628	29.390736673	0.3529	29.0379	342.700	1274.500	TEST__0__20170911_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_020801.wav		Y	bark	AR	RS				Y	1	0	X	B	-		
