Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
2	Spectrogram 1	1	86.947	90.322273	3.3753	86.947	65.6	853.4	TEST__0__20171101_160801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171101_160801.wav	Y	bark	faint	RS	3	05-Apr	No			RS		X	-	-	-	-	S	
6	Spectrogram 1	1	219.8352187	220.2372288	0.402	99.8352	59.1	533.175	TEST__0__20171103_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171103_000801.wav	Y	bark	distorted	RS	3	1	No					Y	1	0	X	B	-	
7	Spectrogram 1	1	226.488227	227.1917446	0.7035	106.4882	72.2	886.2	TEST__0__20171103_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171103_000801.wav	Y	bark	faint	RS	3	2	No					X	-	-	-	-	S	
9	Spectrogram 1	1	269.685	271.23527	1.5503	29.685	413.6	1332.6	TEST__0__20171103_040801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171103_040801.wav	Y	"bark, yelp"	yelp-bark	RS	3	2	No					X	-	-	-	-	S	
14	Spectrogram 1	1	466.014	479.90757	13.8936	106.014	65.6	1076.6	TEST__0__20171103_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171103_220801.wav	Y	"bark, yelp"	excellent series	RS	3	series	No		great one			X	-	-	-	-	S	
16	Spectrogram 1	1	503.5044725	504.0463508	0.5419	23.5045	137.8	1434.2	TEST__0__20171104_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171104_140801.wav	Y	bark		RS	3	1	No		"at least the 2nd sound, 1st likely ice"			Y	1	0	Y	B	-	Overlap w ice (likely)
21	Spectrogram 1	1	611.097	615.94405	4.847	11.097	50.1	1102.3	TEST__0__20171105_120801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171105_120801.wav	Y	"bark, yelp"	some barks (especially the last one) are visible enough. Mostly faint though. And there is noise at the start of the selection.	RS	3	03-Feb	No		in between ice noise			X	-	-	-	-	S	
24	Spectrogram 1	1	727.496	774.54001	47.044	7.496	135.7	1106.3	TEST__0__20171106_060801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171106_060801.wav	Y	"bark, yelp"	"long series, but very faint. "	RS	3	series	No		long one			X	-	-	-	-	S	
31	Spectrogram 1	1	934.013	943.35388	9.3409	94.013	95	1262.4	TEST__0__20171106_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171106_220801.wav	Y	"bark, yelp"	yelp-bark series.	RS	3	series	No					X	-	-	-	-	S	
32	Spectrogram 1	1	887.4214197	887.9721813	0.5508	47.4214	81.4	1563.6	TEST__0__20171106_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171106_220801.wav	Y	bark		RS	2	1	No			RS		Y	1	0	X	B	-	
45	Spectrogram 1	1	1025.881708	1028.049221	2.1675	65.8817	142.18	2060.1	TEST__0__20171111_060801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171111_060801.wav	Y	bark	close by	RS	2	2	No		similar call in the October 2017 data set	RS		Y	2	2	X	BY	-	
46	Spectrogram 1	1	1102.735925	1104.556992	1.8211	22.7359	96.6	1036.5	TEST__0__20171111_160801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171111_160801.wav	Y	"bark, yelp"		RS	2	3	No			RS		Y	2	2	X	BY	-	
51	Spectrogram 1	1	1208.663935	1209.019265	0.3553	8.6639	128.8	1802.6	TEST__0__20171112_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171112_200801.wav	Y	bark		RS	3	1	No					Y	1	0	X	B	-	
54	Spectrogram 1	1	1378.364	1396.4867	18.1227	58.364	122.3	1242.5	TEST__0__20171113_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171113_200801.wav	Y	"bark, yelp"	yelp-bark series. Quite faint.	RS	3	series	No					X	-	-	-	-	S	
55	Spectrogram 1	1	1438.219	1439.4553	1.2363	118.219	64.4	1860.5	TEST__0__20171113_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171113_200801.wav	Y	bark	one very close and one more distant	RS	3	02-Jan	No		close up			Y	1	0	X	B	-	
56	Spectrogram 1	1	1551.736	1554.9543	3.2183	111.736	103	817.6	TEST__0__20171114_060801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171114_060801.wav	Y	bark	series. Faint	RS	3	4	No					X	4	0	X	B	-	This looks a lot like the unannotated part - needs Bill to confirm. 
58	Spectrogram 1	1	1557.999	1559.6867	1.6877	117.999	83.7	817.6	TEST__0__20171114_060801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171114_060801.wav	Y	bark	faint but two harmonics visible	RS	3	2	No					X	2	0	X	B	-	This looks a lot like the unannotated part - needs Bill to confirm. 
63	Spectrogram 1	1	1567.233586	1568.477241	1.2437	7.2336	148.1	1635.2	TEST__0__20171115_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171115_220801.wav	Y	"bark, yelp"		RS	3	3	No					Y	2	0	X	B	-	
