Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin Path	Begin File	Delta Time (s)	Call Type
1	Spectrogram 1	1	2697.935956964	2698.458074440	25.568	1286.932	298.6775	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518120003.wav	7266.230518120003.wav	0.5221	BY
2	Spectrogram 1	1	2446.804862815	2447.015160132	51.136	903.409	47.5464	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518120003.wav	7266.230518120003.wav	0.2103	B
3	Spectrogram 1	1	2699.499569668	2700.449533410	8.523	1218.750	0.2307	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518120503.wav	7266.230518120503.wav	0.9500	BY
4	Spectrogram 1	1	3452.691862525	3453.293747949	17.045	519.886	153.3717	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	0.6019	B
5	Spectrogram 1	1	3453.620071372	3453.852123584	34.091	656.250	154.2999	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	0.2321	B
6	Spectrogram 1	1	3454.802087326	3455.962348384	51.136	911.932	155.4819	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	1.1603	BY
7	Spectrogram 1	1	3576.661928758	3576.857722812	34.091	562.500	277.3418	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	0.1958	B
8	Spectrogram 1	1	3577.234807656	3577.401595183	17.045	451.705	277.9146	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	0.1668	B
9	Spectrogram 1	1	3578.112255082	3579.185496561	8.523	920.455	278.7921	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	1.0732	BY
10	Spectrogram 1	1	3579.475561826	3579.693110774	34.091	562.500	280.1554	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	0.2175	B
11	Spectrogram 1	1	3580.483538621	3580.722842464	0.000	596.591	281.1634	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	0.2393	B
12	Spectrogram 1	1	3580.947643044	3581.128933835	0.000	579.545	281.6275	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518121503.wav	7266.230518121503.wav	0.1813	B
13	Spectrogram 1	1	3638.177849658	3638.359140448	42.614	1269.886	38.7759	D:\ringed-seal-data\Ulu_2023_St5_Site65\7266.230518122003.wav	7266.230518122003.wav	0.1813	B
