	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment
0	0	1	Spectrogram 1	1	405.412017972	405.752282623	100.897	2966.368	ST2_Site5_67145740.220513171342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513171342.wav	105.369	X	0	1	X	Y	
1	1	2	Spectrogram 1	1	655.967120432	656.225469518	921.525	1183.857	ST2_Site5_67145740.220513171842.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513171842.wav	55.8906	X	0	1	X	Y	
2	2	3	Spectrogram 1	1	990.879982172	991.944884503	33.632	1291.48	ST2_Site5_67145740.220513172342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513172342.wav	90.7761	Y	2	1	X	BY	
3	3	4	Spectrogram 1	1	992.096113236	992.411173098	417.04	679.372	ST2_Site5_67145740.220513172342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513172342.wav	91.9923	X	0	1	X	Y	
4	4	5	Spectrogram 1	1	992.549799437	992.845955706	53.812	854.26	ST2_Site5_67145740.220513172342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513172342.wav	92.446	X	0	1	X	B	TOO FAINT
5	5	6	Spectrogram 1	1	992.902666482	993.211425146	423.767	1096.413	ST2_Site5_67145740.220513172342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513172342.wav	92.7988	X	0	1	X	Y	
6	6	7	Spectrogram 1	1	2962.096632716	2962.380186591	975.336	1352.018	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	261.8983	X	0	1	X	Y	
7	7	8	Spectrogram 1	1	2962.739354833	2962.922089553	1008.969	1385.65	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	262.541	X	0	1	X	Y	
8	8	9	Spectrogram 1	1	2968.252739175	2968.473281078	934.978	1177.13	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	268.0544	X	0	1	X	Y	
9	9	10	Spectrogram 1	1	2969.015184039	2969.223123548	834.081	1008.969	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	268.8169	X	0	1	X	Y	
10	10	11	Spectrogram 1	1	2969.708315734	2969.935158834	820.628	1076.233	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	269.51	X	0	1	X	Y	
11	11	12	Spectrogram 1	1	2977.78823037	2978.046579456	914.798	1217.489	ST2_Site5_67145740.220513175342.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site5_67145740.220513175342.wav	277.5899	X	0	1	Y	Y	BS >1KHZ
