	Unnamed: 0	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
0	0	1	Spectrogram 1	1	9905.89158712	9910.15038109	0.0	1177.305	ST3_Site82_67371018.220519130206.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519130206.wav	5.0179	X	1	0	X	G	TOO UNIQUE	
1	1	2	Spectrogram 1	1	9910.250883603	9912.116461492	0.0	1574.468	ST3_Site82_67371018.220519130206.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519130206.wav	9.3772	X	1	0	X	G	TOO UNIQUE	
2	2	3	Spectrogram 1	1	16991.066030302	16991.298442362	673.759	1014.184	ST3_Site82_67371018.220519150207.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519150207.wav	189.5595	X	0	1	X	Y		
3	3	4	Spectrogram 1	1	23196.67565176	23197.146757287	56.738	354.61	ST3_Site82_67371018.220519164707.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519164707.wav	94.6563	Y	1	0	X	G		
4	4	5	Spectrogram 1	1	24421.062142161	24421.570936131	21.277	340.426	ST3_Site82_67371018.220519170707.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519170707.wav	119.2138	Y	1	0	X	G		
5	5	6	Spectrogram 1	1	27676.57338604	27676.900019206	808.511	1312.057	ST3_Site82_67371018.220519180207.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519180207.wav	74.4886	X	0	1	X	Y		
6	6	7	Spectrogram 1	1	27680.89499408	27681.058310663	787.234	1127.66	ST3_Site82_67371018.220519180207.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519180207.wav	78.8102	X	0	1	X	Y		
7	7	8	Spectrogram 1	1	27683.678417151	27683.942236247	758.865	1141.844	ST3_Site82_67371018.220519180207.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519180207.wav	81.5936	X	0	1	X	Y		
8	8	9	Spectrogram 1	1	27691.716424314	27691.948836375	765.957	1120.567	ST3_Site82_67371018.220519180207.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519180207.wav	89.6316	X	0	1	X	Y		
9	9	10	Spectrogram 1	1	27693.18627356	27693.324464515	964.539	1177.305	ST3_Site82_67371018.220519180207.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519180207.wav	91.1014	X	0	1	X	Y		
10	10	11	Spectrogram 1	1	32999.118490207	32999.319495232	985.816	1489.362	ST3_Site82_67371018.220519192707.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220519192707.wav	296.5115	X	0	1	Y	Y		
11	11	12	Spectrogram 1	1	82441.865541222	82442.028857805	212.766	510.638	ST3_Site82_67371018.220520091209.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520091209.wav	235.0082	Y	1	0	X	B	FAINT	
12	12	13	Spectrogram 1	1	82442.870566348	82443.059008559	170.213	574.468	ST3_Site82_67371018.220520091209.wav	D:\ringed-seal-data\Ulu_2022\ST3_Site82_67371018.220520091209.wav	236.0132	Y	1	0	X	B	FAINT	
