Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment
24	Spectrogram 1	1	3007.496	3054.54001	47.044	7.496	135.7	1106.3	TEST__0__20171106_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171106_060801.wav	Y	"bark, yelp"	"long series, but very faint. "	RS	3	series	No		long one		
27	Spectrogram 1	1	5312.539	5313.67717	1.138	32.539	346.2	1140.3	TEST__0__20171106_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171106_140801.wav	X	yelp		RS	2	1	No			RS	
30	Spectrogram 1	1	6976.832	6978.02905	1.197	16.832	278.3	1486.4	TEST__0__20171106_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171106_180801.wav	X	yelp		RS	3	1	No				
54	Spectrogram 1	1	658.364	676.4867	18.123	58.364	122.3	1242.5	TEST__0__20171113_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171113_200801.wav	Y	"bark, yelp"	yelp-bark series. Quite faint.	RS	3	series	No				
89	Spectrogram 1	1	9028.154	9028.782	0.628	28.154	88.8	1093.2	TEST__0__20171120_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171120_140801.wav	Y	bark	I see two pixels (harmonics)	RS	3	1	No				
90	Spectrogram 1	1	5816.512	5817.6698	1.158	56.512	52.2	1180.4	TEST__0__20171120_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171120_200801.wav	X	bark	"Not a typical bark, don't include"	RS	1	1	No			RS	
116	Spectrogram 1	1	2474.967	2479.4489	4.482	74.967	233	5431.4	TEST__0__20171205_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171205_180801.wav	X	yelp	yelp	RS	3	2	No		"up close, good one"		
117	Spectrogram 1	1	2413.556	2414.3409	0.785	13.556	182	1936.9	TEST__0__20171205_180801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171205_180801.wav	X	yelp	yelp	RS	3	1	No				
120	Spectrogram 1	1	10138.483	10139.2876	0.805	58.483	356.8	1267	TEST__0__20171207_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171207_200801.wav	X	yelp	yelp	RS	3	1	No				
141	Spectrogram 1	1	10962.901	10964	1.099	42.901	138.3	1485.4	TEST__0__20171218_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171218_080801.wav	Y	bark/yelp	simultaneous yelp-bark	RS	3	1	No				
3	Spectrogram 1	1	1021.792	1023.34227	1.55	61.792	439.8	945.3	TEST__0__20171102_040801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171102_040801.wav	X	Yelp		RS	3	1	No		faint yelp		
4	Spectrogram 1	1	6127.393	6130.15993	2.767	7.393	91.9	1056.9	TEST__0__20171102_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171102_060801.wav	X	bark?	faint	RS	3	2	No				
5	Spectrogram 1	1	567.647	569.68786	2.041	87.647	111.6	905.9	TEST__0__20171103_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171103_000801.wav	X	bark	faint	RS	3	05-Mar	No		beginning is faint		
8	Spectrogram 1	1	547.214	548.07745	0.863	67.214	525.2	1070	TEST__0__20171103_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171103_000801.wav	X	yelp		RS	3	1	No		yelp		
10	Spectrogram 1	1	3593.257	3596.67152	3.415	113.257	131.3	649.9	TEST__0__20171103_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20171103_060801.wav	X		faint	RS	1	series	No		very faint	RS	
