Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment
60	Spectrogram 1	1	606.005	632.832713	26.828	6.005	51.1	1448.9	TEST__0__20180601_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180601_160801.wav	X	Unk	Not typical RS calls	RS	3	series	No		great one		
188	Spectrogram 1	1	1360.239	1362.24061	2.002	40.239	50.6	968.4	TEST__0__20180603_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180603_080801.wav	Y	bark	it sounds weird	RS	2	03-Feb	No			RS	
476	Spectrogram 1	1	3240.235	3245.1213	4.886	0.235	53.7	1253.1	TEST__0__20180607_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180607_080801.wav	X	"woof, growl"		RS	2	series	No		"woof, grunts, yelp at the end"	RS	
523	Spectrogram 1	1	3760.001	3762.768	2.767	40.001	124.5	2081.3	TEST__0__20180608_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180608_020801.wav	Y	bark	last sound is bark	RS	2	1	No		"close up, good one"	RS	
988	Spectrogram 1	1	5653.109	5654.4042	1.295	13.109	686.8	1781.9	TEST__0__20180613_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180613_140801.wav	X	yelp	yelp - no bark	RS	3	1	No				
1000	Spectrogram 1	1	5859.747	5861.729	1.982	99.747	511.9	1432	TEST__0__20180613_160801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180613_160801.wav	Y	"bark, yelp"	keep for detector?	RS	2	02-Jan	No			RS	
1726	Spectrogram 1	1	8504.576	8506.401	1.825	104.576	65.5	1434.5	TEST__0__20180621_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180621_020801.wav	X	growl		RS	1	1	No			RS	
2802	Spectrogram 1	1	11664.615	11666.0671	1.452	24.615	57.4	938.3	TEST__0__20180705_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180705_080801.wav	Y	bark	it is weird. And there is a loud BS above	RS	2	1	No			RS	
2868	Spectrogram 1	1	11923.017	11924.4692	1.452	43.017	76.6	529.8	TEST__0__20180705_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180705_200801.wav	Y	bark x2	loud BS right above	RS		2	No		hard to hear	RS	
3024	Spectrogram 1	1	12514.067	12517.3245	3.257	34.067	71.4	1064.9	TEST__0__20180707_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180707_080801.wav	X	growl		RS	3	2	No				
