Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Annotator	species	WH
8	Spectrogram 1	2	463.405000000	466.245788200	2.8408	163.4050	75.600	1469.300	117.188	SACHS2_0+1_20150825_103351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150825_103351.wav	?	bark/yelp?	I can hear three different types of sound	AR	RS	Y
11	Spectrogram 1	2	562.514000000	563.552408200	1.0384	262.5140	127.600	1252.000	375.000	SACHS2_0+1_20150825_103351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150825_103351.wav	?	bark?	"There was a lot of vessel noise that sounded like barks, so now I'm second-guessing myself."	AR	RS	N
12	Spectrogram 1	2	574.856000000	575.189774100	0.3338	274.8560	444.100	1133.900	574.219	SACHS2_0+1_20150825_103351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150825_103351.wav	?	bark?		AR	RS	N
24	Spectrogram 1	2	1492.884000000	1493.225191000	0.3412	292.8840	89.800	822.000	93.750	SACHS2_0+1_20150829_215351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150829_215351.wav	?	bark?	quite faint	AR	RS	N
26	Spectrogram 1	2	1826.316000000	1826.605270000	0.2893	26.3160	66.100	812.600	375.000	SACHS2_0+1_20150909_025351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_025351.wav	?	bark?	faint and masked	AR	RS	N
31	Spectrogram 1	2	2096.615000000	2096.844933000	0.2299	296.6150	118.100	1899.200	375.000	SACHS2_0+1_20150909_025351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_025351.wav	?	bark?		AR	RS	N
32	Spectrogram 1	2	2099.706000000	2099.913682000	0.2077	299.7060	160.600	1025.200	375.000	SACHS2_0+1_20150909_025351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_025351.wav	?	bark?		AR	RS	N
34	Spectrogram 1	2	2121.831000000	2122.721064000	0.8901	21.8310	61.400	533.900	64.453	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	?	bark?	faint	AR	RS	N
37	Spectrogram 1	2	2166.028000000	2166.651044000	0.6230	66.0280	85.000	623.600	128.906	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	?	groan	It's super clear but not like a typical bark	AR	RS	Y
45	Spectrogram 1	2	2356.420000000	2357.005959000	0.5860	256.4200	245.700	987.400	375.000	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	?	bark?	faint	AR	RS	N
46	Spectrogram 1	2	2362.270000000	2362.537019000	0.2670	262.2700	250.400	661.400	375.000	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	?	bark?	faint	AR	RS	N
49	Spectrogram 1	2	2383.181000000	2383.388681000	0.2077	283.1810	70.900	307.100	99.609	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	?	bark?	one dot	AR	RS	N
50	Spectrogram 1	2	2387.035000000	2387.339105000	0.3041	287.0350	75.600	486.600	117.188	SACHS2_0+1_20150909_062351.wav	D:\Aug2015-July2016Sachs\Wavefiles\SACHS2_0+1_20150909_062351.wav	?	bark?		AR	RS	N
