Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ) 
1	Spectrogram 1	1	23739.015338487	23739.304283211	859.459	1427.027	67653638.220517220558.wav	37.0075	X	0	1	Y	Y		
3	Spectrogram 1	1	23742.539207834	23742.784182708	859.459	2051.351	67653638.220517220558.wav	40.5314	X	0	1	X	Y		
4	Spectrogram 1	1	23745.070614869	23745.259057080	754.054	1029.730	67653638.220517220558.wav	43.0628	X	0	1	X	Y		
5	Spectrogram 1	1	27853.079694826	27857.187735027	583.784	2497.297	67653638.220517231058.wav	250.7145	X	0	0	X	UNK		
6	Spectrogram 1	1	27860.674179347	27862.231968291	745.946	2148.649	67653638.220517231058.wav	258.3090	X	0	0	X	UNK		
7	Spectrogram 1	1	27867.108717942	27869.784597339	389.189	1475.676	67653638.220517231058.wav	264.7436	X	0	0	X	UNK		
8	Spectrogram 1	1	28094.935495861	28097.115144103	405.405	2335.135	67653638.220517231558.wav	192.5393	X	0	0	X	UNK		
9	Spectrogram 1	1	28221.725536683	28222.768250251	0.000	381.081	67653638.220517232058.wav	19.2715	Y	1	0	X	G		
10	Spectrogram 1	1	28406.681293266	28407.120991759	648.649	1029.730	67653638.220517232058.wav	204.2273	X	0	1	X	Y		
11	Spectrogram 1	1	28415.478979493	28416.892296076	0.000	445.946	67653638.220517232058.wav	213.0250	Y	1	0	X	G		
12	Spectrogram 1	1	28430.709019447	28434.138667688	356.757	1662.162	67653638.220517232058.wav	228.2550	X	0	0	X	UNK	WEIRD	
13	Spectrogram 1	1	28834.021687487	28835.849576935	859.459	1556.757	67653638.220517233058.wav	31.4915	X	0	0	X	UNK		
14	Spectrogram 1	1	29687.907038442	29688.296485678	1272.973	1718.919	67653638.220517234058.wav	285.3124	X	0	1	y	Y		
15	Spectrogram 1	1	29691.399655952	29691.751414745	972.973	1913.514	67653638.220517234058.wav	288.8050	X	0	1	X	Y		
16	Spectrogram 1	1	29691.996389620	29692.241364494	332.432	1313.514	67653638.220517234058.wav	289.4017	Y	1	0	Y	B		
17	Spectrogram 1	1	29692.687344394	29693.020258967	737.838	1200.000	67653638.220517234058.wav	290.0927	X	0	1	Y	Y		
18	Spectrogram 1	1	29693.903511814	29694.594466588	178.378	1727.027	67653638.220517234058.wav	291.3088	Y	2	1	Y	BY		
19	Spectrogram 1	1	36414.438444174	36414.777640154	924.324	1224.324	67653638.220518013559.wav	111.2589	X	0	1	X	Y		
