	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Begin File	Begin Path	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	BILL CHECK
0	1	Spectrogram 1	1	532.965679354	533.229498449	76.726	1818.414	0.2638	67145740.220515105830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515105830.wav	232.9005	Y	1	0	X	B		
1	2	Spectrogram 1	1	533.342563776	533.688041163	76.726	920.716	0.3455	67145740.220515105830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515105830.wav	233.2774	Y	1	0	X	B		
2	3	Spectrogram 1	1	534.247086389	534.492061263	76.726	598.465	0.245	67145740.220515105830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515105830.wav	234.1819	Y	1	0	X	B		
3	4	Spectrogram 1	1	534.655377846	535.848845183	99.744	1342.711	1.1935	67145740.220515105830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515105830.wav	234.5902	Y	4	0	1	BY		
4	5	Spectrogram 1	1	907.079120284	907.713542395	491.049	1511.509	0.6344	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	6.9653	X	0	1	X	Y		
5	6	Spectrogram 1	1	907.97736149	908.31655747	552.43	1312.02	0.3392	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	7.8635	X	0	1	X	Y		
6	7	Spectrogram 1	1	909.836657973	910.835401691	337.596	1703.325	0.9987	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	9.7228	X	0	1	X	Y		
7	8	Spectrogram 1	1	962.622133137	962.791731127	629.156	913.043	0.1696	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	62.5083	X	0	1	X	Y		
8	9	Spectrogram 1	1	963.840726102	963.997761277	682.864	1603.581	0.157	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	63.7269	X	0	1	X	Y		
9	10	Spectrogram 1	1	965.040474845	965.228917056	1166.24	1427.11	0.1884	67145740.220515110830.wav	D:\ringed-seal-data\Ulu_2022\ST2_Site15_67145740.220515110830.wav	64.9266	X	0	1	X	Y		
