	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Delta Time (s)	File Offset (s)	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
0	1	Spectrogram 1	1	740.052917113	740.856937213	131.783	1666.667	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517181837.wav	67145740.220517181837.wav	0.804	139.9766	Y	2	2	X	BY		
1	2	Spectrogram 1	1	744.537616643	745.611737246	85.271	2317.829	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517181837.wav	67145740.220517181837.wav	1.0741	144.4613	Y	2	3	X	BY		
2	3	Spectrogram 1	1	2134.245692505	2134.924084465	170.543	1038.76	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.6784	34.0585	Y	3	0	X	B	FAINT	
3	4	Spectrogram 1	1	2135.196984727	2136.490954576	186.047	1201.55	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	1.294	35.0098	Y	6	0	X	B	FAINT	
4	5	Spectrogram 1	1	2137.056814923	2137.452543567	131.783	1651.163	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.3957	36.8696	Y	1	1	X	BY	FAINT	
5	6	Spectrogram 1	1	2137.609578743	2138.225156632	124.031	1240.31	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.6156	37.4224	Y	2	1	X	BY	FAINT	
6	7	Spectrogram 1	1	2141.592288099	2141.812137345	232.558	1116.279	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.2198	41.4051	Y	1	0	X	B		
7	8	Spectrogram 1	1	2142.867413727	2144.17394639	186.047	1007.752	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	1.3065	42.6803	Y	6	0	X	B		
8	9	Spectrogram 1	1	2192.305490894	2192.531621547	387.597	1565.891	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.2261	92.1183	X	0	1	X	Y		
9	10	Spectrogram 1	1	2193.197450693	2193.536646672	77.519	1333.333	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.3392	93.0103	Y	1	1	X	BY		
10	11	Spectrogram 1	1	2199.605784999	2200.00779505	186.047	2356.589	D:\ringed-seal-data\Ulu_2022\ST2_Site27_67145740.220517184337.wav	67145740.220517184337.wav	0.402	99.4186	Y	1	1	X	BY		
