Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	KZ Comment	Bill Check (KZ)
1	Spectrogram 1	1	634.708250400	635.380361000	409.836	1901.639	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	Y	1	1	X	BY		
3	Spectrogram 1	1	728.555688100	728.945135400	270.492	2459.016	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	X	0	1	X	Y		
4	Spectrogram 1	1	729.604683100	729.862220800	483.607	2729.508	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	X	0	1	X	Y		
5	Spectrogram 1	1	733.134833900	733.467748400	90.164	1901.639	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	Y	1	1	X	BY		
6	Spectrogram 1	1	737.423979700	737.851115400	114.754	2508.197	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	Y	2	0	X	B		
7	Spectrogram 1	1	738.812170700	740.225487200	131.148	581.967	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	Y	6	0	X	B		
8	Spectrogram 1	1	768.737674300	769.547975800	426.230	2762.295	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	X	0	1	X	Y		
9	Spectrogram 1	1	788.299277800	788.720132100	147.541	2262.295	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	Y	1	1	X	BY		
10	Spectrogram 1	1	789.222644600	789.568122000	81.967	2032.787	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	Y	1	1	X	BY		
11	Spectrogram 1	1	792.082280300	792.540823000	286.885	1368.852	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	X	0	2	X	Y		
12	Spectrogram 1	1	795.589346400	796.129547400	57.377	2147.541	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	Y	1	1	X	BY		
13	Spectrogram 1	1	823.409078700	824.382696800	0.000	418.033	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	X	1	0	Y	G		
14	Spectrogram 1	1	853.084159700	853.479888400	713.115	2360.656	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	X	0	1	Y	Y		
15	Spectrogram 1	1	862.805528000	863.615829500	65.574	2409.836	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	Y	2	2	X	BY		
16	Spectrogram 1	1	898.525702200	898.927712300	1057.377	1713.115	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184202.wav	X	0	1	Y	Y		
17	Spectrogram 1	1	900.831585800	901.177063200	942.623	2155.738	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184702.wav	X	0	1	Y	Y		
18	Spectrogram 1	1	956.926060200	957.265256200	1040.984	2221.311	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184702.wav	X	0	1	X	Y		
19	Spectrogram 1	1	957.673547600	958.000180800	1090.164	2598.361	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184702.wav	X	0	1	X	Y		
20	Spectrogram 1	1	971.731470200	972.127198800	188.011	1732.970	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517184702.wav	X	0	1	X	Y		
21	Spectrogram 1	1	2147.632151000	2148.009035000	825.613	1160.763	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517190702.wav	X	0	1	X	Y		
22	Spectrogram 1	1	2245.441122000	2246.622027000	16.349	2280.654	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517190702.wav	X	3	1	Y	BY	TOO FAINT AND OVERLAP	
23	Spectrogram 1	1	2710.385472000	2710.624165000	130.790	1970.027	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517191702.wav	Y	1	0	X	B		
25	Spectrogram 1	1	2711.095271000	2711.440748000	114.441	1569.482	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517191702.wav	Y	1	0	X	B		
26	Spectrogram 1	1	2711.823914000	2712.100296000	122.616	1553.134	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517191702.wav	Y	1	0	X	B		
27	Spectrogram 1	1	4370.308482000	4370.735618000	57.221	2656.676	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	Y	1	1	Y	BY		
28	Spectrogram 1	1	4371.219286000	4371.564763000	57.221	1651.226	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	Y	1	1	Y	BY		
29	Spectrogram 1	1	4372.620040000	4373.059738000	449.591	1504.087	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	X	0	1	Y	Y		
30	Spectrogram 1	1	4374.297175000	4374.542150000	408.719	956.403	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	X	0	1	Y	Y		
31	Spectrogram 1	1	4375.741899000	4376.055969000	425.068	866.485	D:\ringed-seal-data\Ulu_2022\ST3_Site5_67371018.220517194202.wav	X	0	1	Y	Y		
