Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Hour	Species	Call type	Comments	Quantity	WH	KZ Done?
1	Spectrogram 1	1	5234.565595000	5234.565595000	790.500	790.500	1	RS	YELP			Yelp	Y
2	Spectrogram 1	1	5235.215440000	5235.215440000	840.426	840.426	1	RS	YELP				Y
3	Spectrogram 1	1	5235.716403000	5235.716403000	851.064	851.064	1	RS	YELP				Y
4	Spectrogram 1	1	5237.912935000	5237.912935000	936.170	936.170	1	RS	YELP				Y
5	Spectrogram 1	1	5955.538603000	5955.538603000	755.319	755.319	1	RS	YELP				Y
6	Spectrogram 1	1	9385.381854000	9385.381854000	1202.128	1202.128	2	RS	YELP				Y
7	Spectrogram 1	1	10993.383240000	10993.383240000	1329.787	1329.787	3	RS	YELP				Y
8	Spectrogram 1	1	10994.577840000	10994.577840000	1319.149	1319.149	3	RS	YELP				Y
9	Spectrogram 1	1	10996.360120000	10996.360120000	1138.298	1138.298	3	RS	YELP				Y
10	Spectrogram 1	1	11810.428270000	11810.428270000	1063.830	1063.830	3	RS	YELP				Y
11	Spectrogram 1	1	11808.928890000	11808.928890000	893.617	893.617	3	RS	YELP				Y
12	Spectrogram 1	1	11826.730600000	11826.730600000	1223.404	1223.404	3	RS	YELP				Y
13	Spectrogram 1	1	11836.086010000	11836.086010000	1329.787	1329.787	3	RS	YELP				Y
14	Spectrogram 1	1	13164.639160000	13164.639160000	978.723	978.723	3	RS	YELP				Y
15	Spectrogram 1	1	20078.483970000	20078.483970000	1340.426	1340.426	5	RS	YELP				Y
16	Spectrogram 1	1	20079.967590000	20079.967590000	414.894	414.894	5	RS	BARK				Y
17	Spectrogram 1	1	20081.345240000	20081.345240000	372.340	372.340	5	RS	BARK				Y
18	Spectrogram 1	1	20082.125590000	20082.125590000	372.340	372.340	5	RS	BARK				Y
19	Spectrogram 1	1	20083.040810000	20083.040810000	329.787	329.787	5	RS	BARK				Y
20	Spectrogram 1	1	20251.908380000	20254.326490000	42.553	372.340	5	RS	BARK		4	Bark	Y
21	Spectrogram 1	1	20959.198620000	20959.198620000	1202.128	1202.128	5	RS	YELP				Y
22	Spectrogram 1	1	20964.200380000	20964.200380000	1148.936	1148.936	5	RS	YELP				Y
24	Spectrogram 1	1	20986.078130000	20986.078130000	1276.596	1276.596	5	S	YELP				Y
25	Spectrogram 1	1	20986.290070000	20986.290070000	1010.638	1010.638	5	RS	YELP				Y
26	Spectrogram 1	1	20986.463480000	20986.463480000	904.255	904.255	5	RS	YELP				Y
27	Spectrogram 1	1	20993.197590000	20993.197590000	1063.830	1063.830	5	RS	YELP				Y
28	Spectrogram 1	1	20997.938350000	20997.938350000	1351.064	1351.064	5	RS	YELP				Y
29	Spectrogram 1	1	20999.576110000	20999.576110000	446.809	446.809	5	RS	BARK				Y
30	Spectrogram 1	1	21011.791040000	21011.791040000	1202.128	1202.128	5	RS	YELP				Y
31	Spectrogram 1	1	21011.954810000	21011.954810000	1000.000	1000.000	5	RS	YELP				Y
32	Spectrogram 1	1	21012.176390000	21012.176390000	914.894	914.894	5	RS	YELP				Y
33	Spectrogram 1	1	21012.407610000	21012.407610000	925.532	925.532	5	RS	YELP				Y
34	Spectrogram 1	1	21023.518130000	21023.518130000	1340.426	1340.426	5	RS	YELP				Y
35	Spectrogram 1	1	21024.645300000	21024.645300000	404.255	404.255	5	RS	BARK				Y
36	Spectrogram 1	1	21043.032060000	21043.032060000	500.000	500.000	5	RS	BARK				Y
37	Spectrogram 1	1	21050.680510000	21050.680510000	1180.851	1180.851	5	RS	YELP				Y
38	Spectrogram 1	1	21072.960240000	21072.960240000	202.128	202.128	5	RS	GROWL				Y
