Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Hour	Species	Sound type	Comments	Quantity	WH	KZ Done?
45	Spectrogram 1	1	9907.678760000	9907.678760000	333.300	333.300	2	MAYBE RS				"Probably RS growl, but if no other RS calls nearby, could be unknown BS call?"	Y
46	Spectrogram 1	1	9911.503423000	9911.503423000	494.600	494.600	2	MAYBE RS				Same as 45	Y
65	Spectrogram 1	1	16991.153970000	16991.153970000	871.000	871.000	4	RS	YELP				Y
98	Spectrogram 1	1	23196.964970000	23196.964970000	193.500	193.500	6	RS	GROWL			RS growl	Y
111	Spectrogram 1	1	24421.275710000	24421.275710000	172.000	172.000	6	RS?				RS?	Y
141	Spectrogram 1	1	27676.690840000	27676.690840000	1010.800	1010.800	7	RS	YELP				Y
142	Spectrogram 1	1	27680.958660000	27680.958660000	924.700	924.700	7	RS	YELP				Y
143	Spectrogram 1	1	27683.762130000	27683.762130000	978.500	978.500	7	RS	YELP				Y
144	Spectrogram 1	1	27691.826590000	27691.826590000	1043.000	1043.000	7	RS	YELP				Y
145	Spectrogram 1	1	27693.242780000	27693.242780000	1118.300	1118.300	7	RS	YELP				Y
212	Spectrogram 1	1	32999.235940000	32999.235940000	1350.000	1350.000	9	RS	YELP			Yelp	Y
1152	Spectrogram 1	1	82442.922230000	82442.922230000	417.857	417.857	22	RS	BARK				Y
1153	Spectrogram 1	1	82441.929940000	82441.929940000	375.000	375.000	22	RS	BARK				Y
1154	Spectrogram 1	1	82444.868280000	82444.868280000	407.143	407.143	22	RS	BARK				Y
1155	Spectrogram 1	1	82444.030130000	82444.030130000	525.000	525.000	22	RS	BARK				Y
1156	Spectrogram 1	1	82446.380800000	82446.380800000	471.429	471.429	22	RS	BARK				Y
1157	Spectrogram 1	1	82448.933790000	82448.933790000	439.286	439.286	22	RS	BARK				Y
1158	Spectrogram 1	1	82449.588900000	82449.588900000	417.857	417.857	22	RS	BARK				Y
1191	Spectrogram 1	1	83955.779130000	83955.779130000	846.429	846.429	23	RS	YELP				Y
1192	Spectrogram 1	1	83956.646180000	83956.646180000	921.429	921.429	23	RS	YELP				Y
1193	Spectrogram 1	1	83957.594680000	83957.594680000	867.857	867.857	23	RS	YELP				Y
1194	Spectrogram 1	1	83960.822040000	83960.822040000	975.000	975.000	23	RS	YELP				Y
1195	Spectrogram 1	1	83961.748650000	83961.748650000	889.286	889.286	23	RS	YELP				Y
1196	Spectrogram 1	1	83966.199520000	83966.199520000	921.429	921.429	23	RS	YELP				Y
1360	Spectrogram 1	1	91729.771070000	91729.771070000	1275.000	1275.000	25	RS	YELP			Yelp	Y
1455	Spectrogram 1	1	95389.265700000	95389.265700000	1334.520	1334.520	26	RS	YELP				Y
2022	Spectrogram 1	1	125361.970200000	125361.970200000	960.854	960.854	34	RS	YELP				Y
2023	Spectrogram 1	1	125363.261200000	125363.261200000	811.388	811.388	34	RS	YELP				Y
2024	Spectrogram 1	1	125363.714000000	125363.714000000	480.427	480.427	34	RS	BARK				Y
2025	Spectrogram 1	1	125364.366400000	125364.366400000	480.427	480.427	34	RS	BARK				Y
2026	Spectrogram 1	1	125364.751800000	125364.751800000	1024.911	1024.911	34	RS	YELP				Y
2027	Spectrogram 1	1	125365.426200000	125365.426200000	245.552	245.552	34	RS	GROWL			Growl	Y
2028	Spectrogram 1	1	125366.023500000	125366.023500000	843.416	843.416	34	RS	YELP				Y
2029	Spectrogram 1	1	125366.784500000	125366.784500000	298.932	298.932	34	RS	BARK				Y
2030	Spectrogram 1	1	125367.401100000	125367.401100000	832.740	832.740	34	RS	YELP				Y
2031	Spectrogram 1	1	125367.680500000	125367.680500000	405.694	405.694	34	RS	YELP				Y
2032	Spectrogram 1	1	125368.181500000	125368.200700000	832.740	832.740	34	RS	YELP				Y
2112	Spectrogram 1	1	128417.051700000	128417.051700000	1131.673	1131.673	35	RS	YELP				Y
2113	Spectrogram 1	1	128418.679800000	128418.833900000	971.530	1291.815	35	RS	YELP				Y
2114	Spectrogram 1	1	128419.074800000	128419.074800000	651.246	651.246	35	RS	BARK				Y
2115	Spectrogram 1	1	128419.363800000	128419.363800000	1014.235	1014.235	35	RS	YELP				Y
2116	Spectrogram 1	1	128419.807000000	128419.807000000	715.302	715.302	35	RS	BARK				Y
2182	Spectrogram 1	1	130309.907700000	130309.907700000	1174.377	1174.377	36	RS	YELP				Y
2183	Spectrogram 1	1	130314.163300000	130314.163300000	1377.224	1377.224	36	RS	YELP				Y
2184	Spectrogram 1	1	130315.251900000	130315.251900000	1323.843	1323.843	36	RS	YELP				Y
2185	Spectrogram 1	1	130316.677700000	130316.677700000	1110.320	1110.320	36	RS	YELP				Y
2186	Spectrogram 1	1	130317.872300000	130317.872300000	1099.644	1099.644	36	RS	YELP				Y
2187	Spectrogram 1	1	130319.640600000	130319.640600000	533.808	533.808	36	RS	BARK				Y
2188	Spectrogram 1	1	130320.420900000	130320.420900000	544.484	544.484	36	RS	BARK				Y
2189	Spectrogram 1	1	130321.307200000	130321.316900000	928.826	928.826	36	RS	BARK				Y
2190	Spectrogram 1	1	130322.492200000	130322.492200000	960.854	960.854	36	RS	BARK				Y
2191	Spectrogram 1	1	130322.924000000	130328.039600000	800.712	1291.815	36	RS	YELP		9		Y
2192	Spectrogram 1	1	130324.658100000	130324.658100000	565.836	565.836	36	RS	BARK				Y
2193	Spectrogram 1	1	130323.328600000	130323.328600000	928.826	928.826	36	RS	BARK				Y
2194	Spectrogram 1	1	130327.240000000	130327.240000000	982.206	982.206	36	RS	BARK				Y
2195	Spectrogram 1	1	130327.663900000	130327.663900000	886.121	886.121	36	RS	BARK				Y
2301	Spectrogram 1	1	133886.779300000	133886.779300000	1046.263	1046.263	37	RS	YELP			Yelp	Y
2671	Spectrogram 1	1	150694.389200000	150694.389200000	203.571	203.571	41	RS?				RS?	Y
2757	Spectrogram 1	1	158580.833400000	158580.833400000	1103.571	1103.571	44	RS	YELP			Yelp	Y
2764	Spectrogram 1	1	163786.707400000	163790.695900000	921.429	1457.143	45	RS	YELP		7		Y
2765	Spectrogram 1	1	163811.963200000	163811.963200000	1178.571	1178.571	45	RS	YELP				Y
2766	Spectrogram 1	1	163812.579800000	163812.579800000	1189.286	1189.286	45	RS	YELP				Y
2767	Spectrogram 1	1	163813.157800000	163813.157800000	1221.429	1221.429	45	RS	YELP				Y
2811	Spectrogram 1	1	166075.374500000	166075.374500000	1189.286	1189.286	46	RS	YELP				Y
2812	Spectrogram 1	1	166076.020000000	166076.020000000	1103.571	1103.571	46	RS	YELP				Y
2813	Spectrogram 1	1	166076.694300000	166076.694300000	1114.286	1114.286	46	RS	YELP				Y
2814	Spectrogram 1	1	166108.756000000	166108.756000000	1275.000	1275.000	46	RS	YELP				Y
2815	Spectrogram 1	1	166109.815700000	166109.815700000	1275.000	1275.000	46	RS	YELP				Y
2816	Spectrogram 1	1	166110.721300000	166110.721300000	1478.571	1478.571	46	RS	YELP				Y
3049	Spectrogram 1	1	213652.628300000	213654.160100000	875.445	1227.758	59	RS	YELP		4	Yelp	Y
3314	Spectrogram 1	1	223983.100400000	223983.100400000	1014.235	1014.235	62	RS	YELP				Y
3315	Spectrogram 1	1	223984.612900000	223984.612900000	1131.673	1131.673	62	RS	YELP				Y
3316	Spectrogram 1	1	223987.406700000	223987.406700000	896.797	896.797	62	RS	YELP				Y
3317	Spectrogram 1	1	223994.231000000	223994.231000000	1046.263	1046.263	62	RS	YELP				Y
3320	Spectrogram 1	1	224075.189200000	224075.198800000	811.388	811.388	62	RS	YELP				Y
3321	Spectrogram 1	1	224073.541800000	224073.541800000	864.769	864.769	62	RS	YELP				Y
3322	Spectrogram 1	1	224082.320900000	224082.320900000	896.797	896.797	62	RS	YELP				Y
3323	Spectrogram 1	1	224086.396000000	224086.396000000	1014.235	1014.235	62	RS	YELP				Y
3324	Spectrogram 1	1	224090.856500000	224090.856500000	1003.559	1003.559	62	RS	YELP				Y
3325	Spectrogram 1	1	224113.365800000	224113.365800000	992.883	992.883	62	RS	YELP				Y
3326	Spectrogram 1	1	224124.164500000	224124.164500000	1056.940	1056.940	62	RS	YELP				Y
3591	Spectrogram 1	1	91731.997380000	91733.271820000	132.597	751.381	25	RS	BARK		2	RS barks	Y
