Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species	Call type	Comments	WH	Quantity	KZ Done?
7	Spectrogram 1	1	2971.330352000	2971.330352000	319.100	319.100	67653638.220519101007.wav	?Unknown			Unknown - maybe RS?		Y
56	Spectrogram 1	1	19471.479230000	19471.479230000	1042.600	1042.600	67653638.220519144508.wav	RS	YELP		Yelp		Y
57	Spectrogram 1	1	19472.731640000	19472.731640000	1212.800	1212.800	67653638.220519144508.wav	RS	YELP		Yelp		Y
641	Spectrogram 1	1	76663.497020000	76663.497020000	1217.082	1217.082	67653638.220520064510.wav	RS	YELP		RS yelp		Y
906	Spectrogram 1	1	89912.215720000	89912.215720000	975.265	975.265	67653638.220520102510.wav	RS	BARK?		RS - short bark?		Y
907	Spectrogram 1	1	89913.294710000	89913.294710000	593.640	593.640	67653638.220520102510.wav	RS?			RS?		Y
908	Spectrogram 1	1	89916.974870000	89916.974870000	678.445	678.445	67653638.220520102510.wav	RS?			RS?		Y
909	Spectrogram 1	1	89925.966800000	89925.966800000	572.438	572.438	67653638.220520102510.wav	RS?			RS?		Y
910	Spectrogram 1	1	89926.882020000	89926.882020000	922.261	922.261	67653638.220520102510.wav	RS?			RS?		Y
911	Spectrogram 1	1	89927.161400000	89927.161400000	1134.276	1134.276	67653638.220520102510.wav	RS?			RS?		Y
1284	Spectrogram 1	1	108141.579000000	108141.579000000	975.000	975.000	67653638.220520153011.wav	RS	YELP		RS		Y
1475	Spectrogram 1	1	122393.165900000	122393.165900000	864.769	864.769	67653638.220520192511.wav	RS	YELP		RS yelp		Y
1506	Spectrogram 1	1	125875.859900000	125875.859900000	992.883	992.883	67653638.220520202512.wav	RS	BARK		Bark		Y
1552	Spectrogram 1	1	131558.246500000	131558.246500000	1024.911	1024.911	67653638.220520220012.wav	RS	YELP		RS yelp		Y
2110	Spectrogram 1	1	180105.201700000	180111.656000000	683.274	1964.413	67653638.220521113013.wav	RS	YELP	SEQUENCE	RS yelp	11	Y
2357	Spectrogram 1	1	219589.177500000	219589.177500000	1377.224	1377.224	67653638.220521222515.wav	RS	YELP		RS yelp		Y
2358	Spectrogram 1	1	219601.613100000	219601.613100000	1377.224	1377.224	67653638.220521222515.wav	RS	YELP		RS yelp		Y
2359	Spectrogram 1	1	219604.108300000	219604.108300000	1291.815	1291.815	67653638.220521222515.wav	RS	YELP		RS yelp		Y
2360	Spectrogram 1	1	219606.430100000	219606.430100000	1419.929	1419.929	67653638.220521222515.wav	RS	YELP		RS yelp		Y
2361	Spectrogram 1	1	219617.365400000	219617.365400000	1323.843	1323.843	67653638.220521223015.wav	RS	YELP		RS yelp		Y
2670	Spectrogram 1	1	239610.694400000	239610.694400000	1212.766	1212.766	67653638.220522040015.wav	RS	YELP		RS yelp		Y
2671	Spectrogram 1	1	239612.081700000	239612.081700000	1010.638	1010.638	67653638.220522040015.wav	RS	YELP		RS yelp		Y
2719	Spectrogram 1	1	252621.394100000	252621.394100000	1245.000	1245.000	67653638.220522074016.wav	RS	YELP				Y
2755	Spectrogram 1	1	19469.897040000	19469.897040000	1464.088	1464.088	67653638.220519144508.wav	RS	Yelp		WH marked		Y
2756	Spectrogram 1	1	219587.769100000	219587.769100000	1165.746	1165.746	67653638.220521222515.wav	RS	Yelp		WH marked		Y
2757	Spectrogram 1	1	219588.362900000	219588.362900000	1524.862	1524.862	67653638.220521222515.wav	RS	Yelp		WH marked		
