Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
1	Spectrogram 1	1	70.9569	71.4028799	0.446	70.9569	171.1	1223.7	TEST__0__20180501_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180501_020801.wav	Y	bark	AH	RS	3	1	No		good one	RS		Y	1	0	X	B	-		
2	Spectrogram 1	1	101.901	104.667939	2.7669	101.901	72.4	868.4	TEST__0__20180501_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180501_020801.wav	Y	"bark, yelp"		RS	3	03-Jan	No					X	-	-	-	-	S		
4	Spectrogram 1	1	82.303	85.992252	3.6893	82.303	98.7	960.5	TEST__0__20180501_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180501_020801.wav	Y	bark	they look odd for barks	RS	3	2	No					X	-	-	-	-	S		
45	Spectrogram 1	1	191.7018	191.9907447	0.2889	71.7018	111.8	1256.6	TEST__0__20180502_040801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180502_040801.wav	Y	bark		RS	3	1	No					Y	1	0	X	B	-		
103	Spectrogram 1	1	313.049	315.2861	2.2371	73.049	270.9	1182.8	TEST__0__20180503_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180503_020801.wav	Y	"bark, yelp"	the last two are barks. They are higher frequency than usual.	RS	3	3	No					X	-	-	-	-	S		
155	Spectrogram 1	1	454.2275	454.5604146	0.3329	94.2275	138.8	1116.7	TEST__0__20180504_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180504_020801.wav	Y	bark		RS	3	1	No					Y	1	0	X	B	-		
271	Spectrogram 1	1	548.207	551.497322	3.2903	68.207	72.5	771.4	TEST__0__20180505_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180505_140801.wav	Y	"bark, yelp"	I've shortened the selection box to be tighter around the barks	RS	3	series	No					X	-	-	-	-	S		
357	Spectrogram 1	1	709.949	710.1876935	0.2387	109.949	89.8	1345.361	TEST__0__20180506_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180506_200801.wav	Y	bark	faint	RS	3	02-Jan	No		very faint 2nd sound			Y	1	0	X	B	-	Borderline too faint	
415	Spectrogram 1	1	837.9555	838.2570075	0.3015	117.9555	85.052	1270.7	TEST__0__20180508_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180508_020801.wav	Y	bark		RS	3	1	No					Y	1	0	X	B	-		
416	Spectrogram 1	1	779.968	788.5828	8.6148	59.968	39.3	1303.5	TEST__0__20180508_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180508_020801.wav	Y	bark	towards the end they are close and distorted.	RS	3	4	No		likclose to the recorder			X	-	-	-	-	S		
615	Spectrogram 1	1	841.256	843.8267	2.5707	1.256	95.9	1490.4	TEST__0__20180511_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180511_140801.wav	Y	"bark, yelp"	AH	RS	3	3	No		yelp-bark-yelp			X	-	-	-	-	S		
742	Spectrogram 1	1	962.0101	962.3116075	0.3015	2.0101	46.3	1176.2	TEST__0__20180513_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180513_220801.wav	Y	bark	AH	RS	3	1	No		bark			X	1	0	X	B	-	Too faint	
790	Spectrogram 1	1	1194.3898	1197.404875	3.0151	114.3898	112.3	918.5	TEST__0__20180514_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180514_220801.wav	Y	bark	together with a BS call. The barks are faint.	RS	3	series	No					X	-	-	-	-	S		
840	Spectrogram 1	1	1251.973	1255.152	3.179	51.973	59.5	1281.9	TEST__0__20180515_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180515_140801.wav	Y	"bark, yelp"	faint	RS	3	series	No					X	-	-	-	-	S		
885	Spectrogram 1	1	1372.181533	1372.43279	0.2513	52.1815	115.6	1100.2	TEST__0__20180516_100801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180516_100801.wav	Y	bark	close and distorted	RS	2	1	No			RS		Y	1	0	X	B	-		
887	Spectrogram 1	1	1342.809292	1343.104519	0.2952	22.8093	112.853	1632.2	TEST__0__20180516_100801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180516_100801.wav	Y	bark	loud BS across the signal	RS	3	1	No					X	1	0	Y	B	-	Overlap w BS below 1kHz	
898	Spectrogram 1	1	1502.126	1505.05	2.924	62.126	191.6	1599.1	TEST__0__20180516_120801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180516_120801.wav	Y	"bark, yelp"		RS	3	series	No		good one			X	-	-	-	-	S		
921	Spectrogram 1	1	1590.208422	1590.403145	0.1947	30.2084	66.1	1348	TEST__0__20180516_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180516_220801.wav	Y	bark	faint	RS	3	1	No					X	1	0	X	B	-	Too faint	
993	Spectrogram 1	1	1706.853	1710.0909	3.2379	26.853	138.8	931.7	TEST__0__20180518_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180518_020801.wav	Y	"bark, yelp"	faint	RS	3	series	No					X	-	-	-	-	S		
1160	Spectrogram 1	1	1806.888	1808.0458	1.1578	6.888	59.3	1509.9	TEST__0__20180520_040801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180520_040801.wav	Y	bark	close and distorted	RS	2	1	No			RS		?						Not convinced this is a RS bc of following water noises	Y
