Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	No. Calls	Ship Noise	Ship Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
99	Spectrogram 1	1	18.44834636	18.64935138	0.201	18.4483	137.6	683.761	TEST__0__20180802_010801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180802_010801.wav	Y	bark	ambient noise	RS							X	1	0	X	B	-	Too faint
121	Spectrogram 1	1	220.455	222.98646	2.5315	100.455	110.1	784.4	TEST__0__20180802_080801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180802_080801.wav	Y	bark		RS	2			followed by serie			X	-	-	-	-	S	
122	Spectrogram 1	1	227.148	238.29425	11.1462	107.148	144.5	543.6	TEST__0__20180802_080801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180802_080801.wav	Y	bark	borderline but more than a pixel - I'd say barks are visible as blobs	RS	series						X	-	-	-	-	S	
137	Spectrogram 1	1	259.937217	260.3014303	0.3642	19.9372	59.829	2105.5	TEST__0__20180802_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180802_152001.wav	Y	bark	good	RS	1						Y	1	0	X	B	-	
138	Spectrogram 1	1	466.8281805	467.3167593	0.4886	106.8282	158.3	2821.1	TEST__0__20180802_155601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180802_155601.wav	Y	bark		RS					RS		Y	1	0	X	B	-	
168	Spectrogram 1	1	503.2716552	503.582569	0.3109	23.2717	173.6	1243.1	TEST__0__20180803_025601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180803_025601.wav	Y	bark		RS	1						Y	1	0	X	B	-	
172	Spectrogram 1	1	657.3720727	657.700753	0.3287	57.3721	90.3	1131.9	TEST__0__20180803_030801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180803_030801.wav	Y	bark	slightly masked	RS	1			woof sound			X	1	0	X	B	-	Too faint
175	Spectrogram 1	1	720.746	721.35924	0.6132	0.746	138.9	1374.5	TEST__0__20180803_033201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180803_033201.wav	Y	bark	faint but visible	RS	1			faint			X	1	0	X	B	-	Too faint
196	Spectrogram 1	1	925.684	929.03965	3.3556	85.684	124.4	1119.8	TEST__0__20180803_112001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180803_112001.wav	Y	"bark, yelp"	faint	RS	series						X	-	-	-	-	S	
542	Spectrogram 1	1	966.2379982	966.6377445	0.3997	6.238	112.1	1760.4	TEST__0__20180805_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180805_220801.wav	Y	bark	in ambient noise	RS					RS	Likely	Y	1	0	X	B	-	Likely
617	Spectrogram 1	1	1143.867	1155.93557	12.0686	63.867	244	1575.8	TEST__0__20180807_004401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180807_004401.wav	Y	"bark, yelp"	AH	RS	series			"barks-yelps, good one"			X	-	-	-	-	S	
620	Spectrogram 1	1	1246.316	1249.65202	3.336	46.316	148.6	2405.4	TEST__0__20180807_012001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180807_012001.wav	Y	"bark, yelp"		RS	series			barks-yelps			X	-	-	-	-	S	
730	Spectrogram 1	1	1326.854318	1327.111932	0.2576	6.8543	162.393	1187	TEST__0__20180808_223201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180808_223201.wav	Y	bark	faint	RS	1						Y	1	0	X	B	-	Faint
742	Spectrogram 1	1	1517.274	1524.9469	7.6729	77.274	156.5	1676.1	TEST__0__20180809_012001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180809_012001.wav	Y	"bark, yelp"	faint series	RS	series			faint			X	-	-	-	-	S	
808	Spectrogram 1	1	1675.166418	1675.441799	0.2754	115.1664	193.8	1029	TEST__0__20180810_125601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180810_125601.wav	Y	bark	quite masked in ambient noise	RS	1						X	1	0	X	B	-	Too faint
826	Spectrogram 1	1	1736.473	1743.2039	6.7309	56.473	78.1	1789.6	TEST__0__20180810_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180810_220801.wav	Y	"bark, yelp, growl"		RS				sound like something is rubbing along the instruments	RS	Definitely RS yelp at beginning	X	-	-	-	-	S	
1062	Spectrogram 1	1	1830.701235	1830.985499	0.2843	30.7012	111.111	1176.7	TEST__0__20180813_112001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180813_112001.wav	Y	bark	in ambient noise	RS	1						X	1	0	X	B	-	Too faint
1063	Spectrogram 1	1	1999.245	2002.2082	2.9632	79.245	142.2	1202.6	TEST__0__20180813_124401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180813_124401.wav	Y	bark		RS	2						X	-	-	-	-	S	
1064	Spectrogram 1	1	2072.655568	2073.028664	0.3731	32.6556	135.8	1280.2	TEST__0__20180813_125601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180813_125601.wav	Y	bark		RS	1						Y	1	0	X	B	-	Borderline too faint
