Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	Ship Noise?	Ship Size	WH comment		
222	Spectrogram 1	1	10596.646	10611.9509	15.305	36.646	0	1226.5	TEST__0__20170911_014401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170911_014401.wav	Y	"bark, yelp"	WH	RS			Good sequence		
313	Spectrogram 1	1	9812.927	9817.049	4.122	92.927	228.5	1845.7	TEST__0__20170914_172001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170914_172001.wav	Y	"bark, yelp"	WH	RS			Bark-Yelp sequence		
445	Spectrogram 1	1	6187.28	6191.28	4	67.28	126.3	2897.8	TEST__0__20170918_083201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	"bark, yelp"	WH	RS			Very clear		
448	Spectrogram 1	1	6207.28	6224.6458	17.366	87.28	0	1472.9	TEST__0__20170918_083201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	Y	"bark, yelp"	WH	RS			Very clear		
591	Spectrogram 1	1	9380.063	9386.8923	6.829	20.063	277.1	1506	TEST__0__20170920_214401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	Y	"bark, yelp"	B50. series	RS					
644	Spectrogram 1	1	10152.232	10158.6223	6.39	72.232	0	907.8	TEST__0__20170921_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	Y	"bark, yelp"	WH	RS			"Clear. LF barks and yelps, plus a growl"		
645	Spectrogram 1	1	10189.085	10199.8289	10.744	109.085	114.2	1298.6	TEST__0__20170921_232001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	Y	"bark, yelp"	WH	RS			Clear - more typical freq range. B50		
649	Spectrogram 1	1	10223.805	10243.3172	19.512	23.805	272.2	1179.4	TEST__0__20170922_003201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_003201.wav	Y	"bark, yelp"	WH	RS			Clear		
674	Spectrogram 1	1	10406.744	10407.9879	1.244	86.744	505	895.8	TEST__0__20170922_084401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_084401.wav	Y	"bark, yelp"	B50	RS			yelp and bark		
688	Spectrogram 1	1	10547.524	10556.6703	9.146	107.524	150.3	2477	TEST__0__20170922_132001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170922_132001.wav	Y	"bark, yelp"	WH	RS			"many yelps, one clear bark. Clear - low ambient"		
