Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	Shipe Noise	Shipe Size	Comments	WH ID	WH Comment
14	Spectrogram 1	1	83.98	85.216292	1.236	83.98	378.2	880.3	TEST__0__20170924_005601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_005601.wav	X	X	AR	RS				RS	
22	Spectrogram 1	1	164.695	165.97054	1.276	44.695	106.9	844.1	TEST__0__20170924_015601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_015601.wav	X	X	AR	RS				RS	
51	Spectrogram 1	1	344.031	345.914874	1.884	104.031	139.5	824.5	TEST__0__20170924_053201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_053201.wav	X	X	AR	RS				RS	
53	Spectrogram 1	1	463.832	465.892486	2.06	103.832	92	900.6	TEST__0__20170924_054401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_054401.wav	X	X	AR	RS				RS	
78	Spectrogram 1	1	660.308	661.584595	1.277	60.308	564.9	1183.2	TEST__0__20170924_113201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_113201.wav	X	X	AR	RS				RS	
82	Spectrogram 1	1	780.788	782.728315	1.94	60.788	210.2	862.6	TEST__0__20170924_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_115601.wav	X	X	AR	RS				RS	
83	Spectrogram 1	1	738.561	740.096817	1.536	18.561	229.3	938.9	TEST__0__20170924_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_115601.wav	X	X	AR	RS				RS	
121	Spectrogram 1	1	893.765	895.020916	1.256	53.765	95.7	868.1	TEST__0__20170924_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_142001.wav	X	X	AR	RS				RS	
124	Spectrogram 1	1	1071.495	1072.9864	1.491	111.495	172.3	1021.3	TEST__0__20170924_154401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_154401.wav	X	X	AR	RS			faint	RS	
125	Spectrogram 1	1	1087.555	1090.086455	2.531	7.555	127.7	1187.2	TEST__0__20170924_155601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_155601.wav	X	X	AR	RS				RS	
128	Spectrogram 1	1	1278.988	1280.8302	1.842	78.988	95.7	952.4	TEST__0__20170924_170801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_170801.wav	X	X	AR	RS				RS	
135	Spectrogram 1	1	1436.806	1438.72912	1.923	116.806	140.4	842.6	TEST__0__20170924_184401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_184401.wav	X	X	AR	RS			faint	RS	
137	Spectrogram 1	1	1363.475	1365.65866	2.184	43.475	89.4	695.7	TEST__0__20170924_184401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_184401.wav	X	X	AR	RS				RS	
139	Spectrogram 1	1	1515.861	1517.03842	1.177	75.861	153.2	676.6	TEST__0__20170924_190801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_190801.wav	X	X	AR	RS				RS	
141	Spectrogram 1	1	1669.499	1671.29791	1.799	109.499	108.5	759.6	TEST__0__20170924_194401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_194401.wav	X	X	AR	RS			faint	RS	
150	Spectrogram 1	1	1807.123	1808.37891	1.256	7.123	100.8	869.7	TEST__0__20170924_203201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_203201.wav	X	X	AR	RS				RS	
156	Spectrogram 1	1	1996.022	1997.15036	1.128	76.022	150.7	765.7	TEST__0__20170924_215601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_215601.wav	X	X	AR	RS				RS	
159	Spectrogram 1	1	2133.248	2134.38617	1.138	93.248	536.6	1183.1	TEST__0__20170924_223201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_223201.wav	X	X	AR	RS				RS	
160	Spectrogram 1	1	2050.95	2051.8428	0.893	10.95	100.4	853.6	TEST__0__20170924_223201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170924_223201.wav	X	X	AR	RS				RS	
174	Spectrogram 1	1	2345.814	2347.09935	1.285	65.814	125.5	753.1	TEST__0__20170925_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_020801.wav	X	X	AR	RS				RS	
177	Spectrogram 1	1	2492.916	2494.64288	1.727	92.916	338.9	991.6	TEST__0__20170925_023201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_023201.wav	X	X	AR	RS				RS	
185	Spectrogram 1	1	2543.215	2544.56903	1.354	23.215	216.5	875.5	TEST__0__20170925_033201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_033201.wav	X	X	AR	RS				RS	
187	Spectrogram 1	1	2682.031	2683.34578	1.315	42.031	119.2	790.8	TEST__0__20170925_034401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_034401.wav	X	X	AR	RS				RS	
194	Spectrogram 1	1	2877.319	2878.77116	1.452	117.319	156.9	552.3	TEST__0__20170925_054401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_054401.wav	X	X	AR	RS				RS	
195	Spectrogram 1	1	2998.431	2999.89082	1.46	118.431	190.3	777.9	TEST__0__20170925_055601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_055601.wav	X	X	AR	RS				RS	
197	Spectrogram 1	1	3015.686	3017.38693	1.701	15.686	156.9	1173.6	TEST__0__20170925_062001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_062001.wav	X	X	AR	RS				RS	
201	Spectrogram 1	1	3133.442	3135.12964	1.688	13.442	138.1	947.7	TEST__0__20170925_074401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_074401.wav	X	X	AR	RS				RS	
207	Spectrogram 1	1	3350.203	3351.83176	1.629	110.203	176.1	1252.2	TEST__0__20170925_093201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_093201.wav	X	X	AR	RS				RS	
210	Spectrogram 1	1	3575.632	3577.06453	1.433	95.632	179.3	955.4	TEST__0__20170925_102001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_102001.wav	X	X	AR	RS				RS	
211	Spectrogram 1	1	3623.79	3626.20371	2.414	23.79	88	1072.8	TEST__0__20170925_103201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_103201.wav	X	X	AR	RS			faint	RS	
212	Spectrogram 1	1	3730.155	3732.01925	1.864	10.155	378.3	1095.7	TEST__0__20170925_110801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_110801.wav	X	X	AR	RS				RS	
221	Spectrogram 1	1	3878.029	3879.65776	1.629	38.029	158.4	1080.7	TEST__0__20170925_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_115601.wav	X	X	AR	RS				RS	
229	Spectrogram 1	1	4004.779	4006.72716	1.948	44.779	229.8	984.1	TEST__0__20170925_135601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_135601.wav	X	X	AR	RS				RS	
231	Spectrogram 1	1	4169.867	4171.33878	1.472	89.867	397.5	1205	TEST__0__20170925_140801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_140801.wav	X	X	AR	RS				RS	
237	Spectrogram 1	1	4256.525	4259.02269	2.498	56.525	62.5	658.7	TEST__0__20170925_152001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_152001.wav	X	X	AR	RS			faint series	RS	
248	Spectrogram 1	1	4509.454	4510.84729	1.393	69.454	381.6	934.2	TEST__0__20170925_174401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_174401.wav	X	X	AR	RS				RS	
257	Spectrogram 1	1	4645.84	4647.76312	1.923	85.84	57.2	902.5	TEST__0__20170925_212001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_212001.wav	X	X	AR	RS			very faint	RS	
267	Spectrogram 1	1	4874.767	4876.59201	1.825	74.767	124.5	769.1	TEST__0__20170925_233201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170925_233201.wav	X	X	AR	RS			very faint	RS	
270	Spectrogram 1	1	4997.28	5000.38054	3.101	77.28	90.1	727.5	TEST__0__20170926_004401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_004401.wav	X	X	AR	RS			2 faint vocals	RS	
292	Spectrogram 1	1	5073.502	5075.22889	1.727	33.502	522.6	1141.9	TEST__0__20170926_060801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_060801.wav	X	X	AR	RS				Yes	
298	Spectrogram 1	1	5236.12	5239.15823	3.038	76.12	103.1	904.8	TEST__0__20170926_080801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_080801.wav	X	X	AR	RS			very faint	RS	
301	Spectrogram 1	1	5396.941	5399.38318	2.442	116.941	119	746	TEST__0__20170926_090801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_090801.wav	X	X	AR	RS				RS	
305	Spectrogram 1	1	5403.666	5405.04286	1.377	3.666	73	1246	TEST__0__20170926_105601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_105601.wav	X	X	AR	RS				RS	
306	Spectrogram 1	1	5532.638	5535.99365	3.356	12.638	199.1	1427	TEST__0__20170926_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_115601.wav	X	X	AR	RS			very faint	RS	
311	Spectrogram 1	1	5742.808	5743.8873	1.079	102.808	431.4	1048.7	TEST__0__20170926_145601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_145601.wav	X	X	"I don't know what it is, but at least I can see it at 45 brightness."	RS				RS	
313	Spectrogram 1	1	5874.959	5876.05793	1.099	114.959	544.2	1121.7	TEST__0__20170926_173201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_173201.wav	X	Yelp	AR	RS			X	RS	
314	Spectrogram 1	1	5939.09	5941.30379	2.214	59.09	126.1	1468.3	TEST__0__20170926_182001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_182001.wav	X	X	AR	RS			faint series	RS	
315	Spectrogram 1	1	5883.885	5885.84737	1.962	3.885	152.7	1261.1	TEST__0__20170926_182001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_182001.wav	X	X	AR	RS				RS	
319	Spectrogram 1	1	6030.436	6032.49649	2.06	30.436	159.3	1015.5	TEST__0__20170926_193201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170926_193201.wav	X	X	AR	RS				RS	
333	Spectrogram 1	1	6210.05	6210.81533	0.765	90.05	83	1531.9	TEST__0__20170927_030801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_030801.wav	X	X	AR	RS				RS	
338	Spectrogram 1	1	6356.154	6358.60696	2.453	116.154	204.3	1206.4	TEST__0__20170927_045601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_045601.wav	X	X	AR	RS				RS	
340	Spectrogram 1	1	6439.979	6441.15642	1.177	79.979	89.4	791.5	TEST__0__20170927_050801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_050801.wav	X	X	AR	RS				RS	
344	Spectrogram 1	1	6711.034	6712.36841	1.334	111.034	102.1	1219.1	TEST__0__20170927_063201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_063201.wav	X	X	AR	RS			2 faint vocals	RS	
345	Spectrogram 1	1	6696.184	6697.65577	1.472	96.184	89.4	778.7	TEST__0__20170927_063201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_063201.wav	X	X	AR	RS				RS	
346	Spectrogram 1	1	6675.194	6677.13674	1.943	75.194	172.3	1187.2	TEST__0__20170927_063201.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_063201.wav	X	X	AR	RS				RS	
357	Spectrogram 1	1	6925.551	6927.00315	1.452	85.551	303.9	872.8	TEST__0__20170927_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_100801.wav	X	X	AR	RS				RS	
362	Spectrogram 1	1	7047.428	7048.66429	1.236	87.428	200.4	956.9	TEST__0__20170927_104401.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_104401.wav	X	X	AR	RS				RS	
364	Spectrogram 1	1	7138.978	7141.13661	2.159	58.978	311.7	870.1	TEST__0__20170927_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_115601.wav	X	X	AR	RS			2x very faint	RS	
365	Spectrogram 1	1	7119.398	7121.08563	1.688	39.398	136.4	922.1	TEST__0__20170927_115601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_115601.wav	X	X	AR	RS				RS	
367	Spectrogram 1	1	7297.809	7299.16304	1.354	97.809	233.8	1019.5	TEST__0__20170927_122001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_122001.wav	X	X	AR	RS				RS	
372	Spectrogram 1	1	7351.189	7352.95514	1.766	31.189	207.8	1162.3	TEST__0__20170927_135601.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_135601.wav	X	X	AR	RS				RS	
373	Spectrogram 1	1	7544.988	7546.65601	1.668	104.988	168.8	922.1	TEST__0__20170927_142001.wav	D:\Kitikmeot_2017_2018\TEST__0__20170927_142001.wav	X	X	AR	RS				RS	
