Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment
4	Spectrogram 1	1	82.303	85.992252	3.689	82.303	98.7	960.5	TEST__0__20180501_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180501_020801.wav	Y	bark	they look odd for barks	RS	3	2	No				
103	Spectrogram 1	1	1273.049	1275.2861	2.237	73.049	270.9	1182.8	TEST__0__20180503_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180503_020801.wav	Y	"bark, yelp"	the last two are barks. They are higher frequency than usual.	RS	3	3	No				
485	Spectrogram 1	1	3716.021	3717.4731	1.452	116.021	131	1054.6	TEST__0__20180509_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180509_120801.wav	X	yelp	yelp - weird one though	RS	3	1	No				
1369	Spectrogram 1	1	10092.441	10118.4756	26.035	12.441	68	1271.8	TEST__0__20180523_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180523_200801.wav	X	Unk	Not typical RS sounds	RS	3	series	No		good one		
1370	Spectrogram 1	1	10191.233	10199.7105	8.478	111.233	87.4	1650.5	TEST__0__20180523_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180523_200801.wav	X	Unk	Not typical RS sounds	RS	3	series	No				
1380	Spectrogram 1	1	10322.198	10334.2469	12.049	2.198	398.1	1252.4	TEST__0__20180524_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180524_000801.wav	X	yelp	all yelps	RS	3	4	No				
1820	Spectrogram 1	1	13701.98	13705.2964	3.316	21.98	79.3	1308.4	TEST__0__20180530_220801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180530_220801.wav	Y	bark	bark	RS	2	3	No			RS	
3	Spectrogram 1	1	56.711	60.949716	4.239	56.711	861.8	1657.9	TEST__0__20180501_020801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180501_020801.wav	X	yelp	AH	RS	3	03-Feb	No		faint yelps		
10	Spectrogram 1	1	323.155	323.68484	0.53	83.155	782.9	1223.7	TEST__0__20180501_100801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180501_100801.wav	X	yelp	AH	RS	3	1	No		yelp		
30	Spectrogram 1	1	482.159	483.2383	1.079	2.159	723.7	1243.4	TEST__0__20180501_200801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180501_200801.wav	X	yelp	AH	RS	2	1	No		faint yelp	RS	
38	Spectrogram 1	1	610.361	612.22525	1.864	10.361	1315.8	2000	TEST__0__20180502_000801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180502_000801.wav	X	yelp	AH	RS	3	1	No		yelps		
121	Spectrogram 1	1	1380.317	1381.27856	0.962	60.317	118.9	422.9	TEST__0__20180503_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180503_120801.wav	X	woof	AH	RS	2	1	No		woof	RS	
123	Spectrogram 1	1	1417.806	1418.59094	0.785	97.806	152	383.3	TEST__0__20180503_120801.wav	D:\Kitikmeot_2017_2018\TEST__0__20180503_120801.wav	X	woof	AH	RS	2	1	No		woof	RS	
