Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species	Ship?	Ship Size	Comment
15	Spectrogram 1	1	173.122	175.07322	173.122	661.3	1226.5	DS3B__0__20180825_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180825_130354.wav	X	yelp	Yelp - super clear	RS			Yelp - super clear
16	Spectrogram 1	1	364.354	365.45156	101.354	799.6	1112.2	DS3B__0__20180825_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180825_170354.wav	X	yelp - very close	RS	RS			RS
43	Spectrogram 1	1	651.244	651.914731	125.244	270.5	601.2	DS3B__0__20180819_000354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180819_000354.wav	X		masked	RS			
48	Spectrogram 1	1	875.11	875.439268	86.11	42.1	487	DS3B__0__20180819_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180819_060354.wav	X		Masked	RS			
49	Spectrogram 1	1	929.622	930.024439	140.622	823.6	1082.2	DS3B__0__20180819_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180819_060354.wav	X	yelp	Yelp	RS			Yelp
50	Spectrogram 1	1	930.159	930.451683	141.159	24	360.7	DS3B__0__20180819_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180819_060354.wav	X	bark	Bark	RS			Bark
51	Spectrogram 1	1	979.652	979.993463	190.652	721.4	998	DS3B__0__20180819_060354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180819_060354.wav	X			RS			
60	Spectrogram 1	1	1083.756	1084.92673	31.756	0	1046.1	DS3B__0__20180819_230354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180819_230354.wav	X			RS			
71	Spectrogram 1	1	1512.768	1513.59727	197.768	698.8	963.9	DS3B__0__20180820_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180820_160354.wav	X			RS			
72	Spectrogram 1	1	1573.89	1574.6339	258.89	807.2	1144.6	DS3B__0__20180820_160354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180820_160354.wav	X			RS			
77	Spectrogram 1	1	1836.524	1836.97522	258.524	66.1	679.4	DS3B__0__20180820_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180820_190354.wav	X			RS			
78	Spectrogram 1	1	1838.024	1838.57278	260.024	42.1	781.6	DS3B__0__20180820_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180820_190354.wav	X			RS			
87	Spectrogram 1	1	2073.549	2075.35388	232.549	523	1094.2	DS3B__0__20180821_120354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180821_120354.wav	X	yelp	Yelp	RS			Yelp
88	Spectrogram 1	1	2075.512	2076.12176	234.512	24	559.1	DS3B__0__20180821_120354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180821_120354.wav	X	bark	Bark	RS			Bark
95	Spectrogram 1	1	2115.341	2115.8532	11.341	763.5	1515	DS3B__0__20180821_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180821_180354.wav	X			RS			
99	Spectrogram 1	1	2622.695	2622.99988	255.695	625.3	847.7	DS3B__0__20180822_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180822_080354.wav	X	yelp	Yelp	RS			Yelp
124	Spectrogram 1	1	2753.476	2754.28088	123.476	42.1	444.9	DS3B__0__20180823_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_140354.wav	X			RS			
129	Spectrogram 1	1	3058.031	3058.7749	165.031	456.9	655.3	DS3B__0__20180823_150354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_150354.wav	X			RS			
130	Spectrogram 1	1	3195.024	3196.82888	39.024	366.7	901.8	DS3B__0__20180823_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_170354.wav	X	yelp	Faint yelps	RS			Faint yelps
132	Spectrogram 1	1	3292.476	3292.89063	136.476	450.9	907.8	DS3B__0__20180823_170354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_170354.wav	X			RS			
134	Spectrogram 1	1	3627.402	3627.93858	208.402	637.3	1094.2	DS3B__0__20180823_180354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_180354.wav	X			RS			
136	Spectrogram 1	1	3724.549	3725.08559	42.549	78.2	679.4	DS3B__0__20180823_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_190354.wav	X			RS			
137	Spectrogram 1	1	3745.146	3745.75576	63.146	204.4	595.2	DS3B__0__20180823_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_190354.wav	X	bark	Bark	RS			Bark
138	Spectrogram 1	1	3744.573	3745.48763	62.573	787.6	1418.8	DS3B__0__20180823_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_190354.wav	X	yelp	Yelp	RS			Yelp
142	Spectrogram 1	1	3941.744	3942.10985	259.744	138.3	841.7	DS3B__0__20180823_190354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_190354.wav	X			RS			
145	Spectrogram 1	1	4092.61	4092.98805	147.61	721.4	1010	DS3B__0__20180823_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_200354.wav	X			RS			
147	Spectrogram 1	1	4124.122	4124.51224	179.122	709.4	1202.4	DS3B__0__20180823_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_200354.wav	X			RS			
148	Spectrogram 1	1	4119.72	4120.09805	174.72	679.4	967.9	DS3B__0__20180823_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_200354.wav	X			RS			
151	Spectrogram 1	1	4143.829	4144.23144	198.829	769.5	1058.1	DS3B__0__20180823_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_200354.wav	X			RS			
152	Spectrogram 1	1	4144.939	4145.90242	199.939	697.4	1058.1	DS3B__0__20180823_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_200354.wav	X			RS			
154	Spectrogram 1	1	4150.988	4151.53678	205.988	96.2	559.1	DS3B__0__20180823_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_200354.wav	X			RS			
155	Spectrogram 1	1	4161.963	4162.56056	216.963	565.1	1034.1	DS3B__0__20180823_200354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_200354.wav	X			RS			
157	Spectrogram 1	1	4340.573	4340.97544	132.573	462.9	757.5	DS3B__0__20180823_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_210354.wav	X			RS			
158	Spectrogram 1	1	4364.726	4365.39673	156.726	665.8	1077.7	DS3B__0__20180823_210354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180823_210354.wav	X			RS			
172	Spectrogram 1	1	4483.866	4484.42698	12.866	775.6	1070.1	DS3B__0__20180824_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_070354.wav	X			RS			
173	Spectrogram 1	1	4547.012	4547.82908	76.012	733.5	1046.1	DS3B__0__20180824_070354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_070354.wav	X			RS			
174	Spectrogram 1	1	4756.988	4757.46361	22.988	78.2	565.1	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X			RS			
175	Spectrogram 1	1	4755.488	4756.06118	21.488	787.6	1034.1	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X	yelp	Yelp	RS			Yelp
176	Spectrogram 1	1	4822.268	4822.80459	88.268	769.5	1016	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X			RS			
177	Spectrogram 1	1	4831.634	4832.26814	97.634	775.6	1046.1	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X	yelp	Yelp	RS			Yelp
178	Spectrogram 1	1	4832.073	4832.54861	98.073	282.6	733.5	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X	bark	Bark	RS			Bark
179	Spectrogram 1	1	4834.354	4834.69546	100.354	108.2	721.4	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X	bark	Bark	RS			Bark
180	Spectrogram 1	1	4840.439	4841.01217	106.439	102.2	961.9	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X	bark	Bark	RS			Bark
181	Spectrogram 1	1	4843.671	4844.34173	109.671	721.4	1010	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X	yelp	Yelp	RS			Yelp
182	Spectrogram 1	1	4853.341	4853.70686	119.341	84.2	667.3	DS3B__0__20180824_080354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_080354.wav	X	bark	Bark	RS			Bark
184	Spectrogram 1	1	5097.451	5097.86563	100.451	733.5	1064.1	DS3B__0__20180824_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_100354.wav	X	yelp	Yelp	RS			Yelp
185	Spectrogram 1	1	5118.293	5118.71983	121.293	853.7	1106.2	DS3B__0__20180824_100354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_100354.wav	X			RS			
187	Spectrogram 1	1	5265.646	5266.54844	5.646	12	1106.2	DS3B__0__20180824_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_130354.wav	X	"bark, yelp"	Yelp-Bark	RS			Yelp-Bark
188	Spectrogram 1	1	5266.549	5267.00022	6.549	697.4	1178.4	DS3B__0__20180824_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_130354.wav	X	yelp	Yelp	RS			Yelp
189	Spectrogram 1	1	5269.354	5269.91497	9.354	697.4	1124.2	DS3B__0__20180824_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_130354.wav	X	yelp	Yelp	RS			Yelp
190	Spectrogram 1	1	5312.476	5312.92722	52.476	168.3	1058.1	DS3B__0__20180824_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_130354.wav	X	bark	Bark	RS			Bark
191	Spectrogram 1	1	5397.146	5398.6582	137.146	769.5	1100.2	DS3B__0__20180824_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_130354.wav	X	yelp	Yelps	RS			Yelps
192	Spectrogram 1	1	5458.159	5459.96387	198.159	240.5	1076.2	DS3B__0__20180824_130354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_130354.wav	X	"bark, yelp"	Yelp-Bark	RS			Yelp-Bark
194	Spectrogram 1	1	5564.183	5564.6708	41.183	787.6	1106.2	DS3B__0__20180824_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_140354.wav	X			RS			
195	Spectrogram 1	1	5565.768	5566.43873	42.768	793.6	1082.2	DS3B__0__20180824_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_140354.wav	X			RS			
196	Spectrogram 1	1	5593.146	5593.73137	70.146	649.3	1106.2	DS3B__0__20180824_140354.wav	D:\Kitikmeot_2018_2019\DS3B__0__20180824_140354.wav	X			RS			
