Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	File Offset (s)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	species	SNR NIST Quick (dB FS)	certainty	comment	type	WH ID	WH Comment	NEW analysis
36	Spectrogram 1	1	114.4916	115.60136	140.4	815.8	675.4	1.11	410.2	114.492	1208234033.020215012219.wav	D:\Pearce_Point_2018_2019\1208234033.020215012219.wav	X			RS		low			RS		
37	Spectrogram 1	1	248.5274	250.07618	552.6	1061.4	508.8	1.549	761.7	248.527	1208234033.020215012219.wav	D:\Pearce_Point_2018_2019\1208234033.020215012219.wav	X			RS		low	faint		RS		
47	Spectrogram 1	1	301.5705	302.0202	513.9	681.3	167.4	0.45	644.5	1.744	1208234033.020217132219.wav	D:\Pearce_Point_2018_2019\1208234033.020217132219.wav	X			RS		low			RS		
48	Spectrogram 1	1	313.0239	313.3573	298.8	579.7	280.9	0.333	480.5	13.198	1208234033.020217132219.wav	D:\Pearce_Point_2018_2019\1208234033.020217132219.wav	X			RS		low			RS		
52	Spectrogram 1	1	537.9391	539.4879	149.4	478.1	328.7	1.549	386.7	238.113	1208234033.020217132219.wav	D:\Pearce_Point_2018_2019\1208234033.020217132219.wav	X			RS		low	faint		RS		
53	Spectrogram 1	1	539.3903	540.5001	203.2	442.2	239	1.11	351.6	239.564	1208234033.020217132219.wav	D:\Pearce_Point_2018_2019\1208234033.020217132219.wav	X			RS		low	faint		RS		
132	Spectrogram 1	1	762.7001667	763.1033667	610.9	1965.7	1354.8	0.403	761.7	162.927	1208234033.020221072219.wav	D:\Pearce_Point_2018_2019\1208234033.020221072219.wav	X			RS		low			RS		
141	Spectrogram 1	1	1051.699	1052.4775	132.8	881.3	748.5	0.778	152.3	152.032	1208234033.020224052219.wav	D:\Pearce_Point_2018_2019\1208234033.020224052219.wav	X			RS		low			RS		
143	Spectrogram 1	1	1134.792	1137.0115	0	1324.6	1324.6	2.22	0	235.125	1208234033.020224052219.wav	D:\Pearce_Point_2018_2019\1208234033.020224052219.wav	X			RS		low			RS		
144	Spectrogram 1	1	1135.3897	1135.8283	422.5	555.3	132.8	0.439	492.2	235.723	1208234033.020224052219.wav	D:\Pearce_Point_2018_2019\1208234033.020224052219.wav	X			RS					RS		
163	Spectrogram 1	1	1375.9085	1376.6402	201.8	675.4	473.6	0.732	433.6	176.319	1208234033.020307212219.wav	D:\Pearce_Point_2018_2019\1208234033.020307212219.wav	X			RS		medium			RS		
164	Spectrogram 1	1	1385.5015	1385.8551	394.7	798.2	403.5	0.354	632.8	185.911	1208234033.020307212219.wav	D:\Pearce_Point_2018_2019\1208234033.020307212219.wav	X			RS		medium			RS		
165	Spectrogram 1	1	1387.6686	1388.0175	700.2	953.7	253.5	0.349	855.5	188.079	1208234033.020307212219.wav	D:\Pearce_Point_2018_2019\1208234033.020307212219.wav	X			RS		medium			RS		
166	Spectrogram 1	1	1389.0332	1389.2891	688.1	947.7	259.6	0.256	773.4	189.443	1208234033.020307212219.wav	D:\Pearce_Point_2018_2019\1208234033.020307212219.wav	X			RS		medium			RS		
167	Spectrogram 1	1	1403.7695	1404.4041	413.8	1047.1	633.3	0.635	691.4	204.179	1208234033.020307212219.wav	D:\Pearce_Point_2018_2019\1208234033.020307212219.wav	X			RS		medium			RS		
168	Spectrogram 1	1	1733.1883	1733.5102	736.8	935.6	198.8	0.322	878.9	233.638	1208234033.020309142219.wav	D:\Pearce_Point_2018_2019\1208234033.020309142219.wav	X			RS		low			RS		
193	Spectrogram 1	1	1949.385033	1949.896833	869.2	2016.1	1146.9	0.512	1125	149.972	1208234033.020320002219.wav	D:\Pearce_Point_2018_2019\1208234033.020320002219.wav	X			RS		medium		ds	RS		
194	Spectrogram 1	1	2012.944133	2014.556833	694.2	2559.4	1865.2	1.613	1101.6	213.531	1208234033.020320002219.wav	D:\Pearce_Point_2018_2019\1208234033.020320002219.wav	X			RS		medium			RS		
195	Spectrogram 1	1	2096.958133	2097.508633	670	1074.4	404.4	0.55	937.5	297.545	1208234033.020320002219.wav	D:\Pearce_Point_2018_2019\1208234033.020320002219.wav	X			RS			rs?		RS		
203	Spectrogram 1	1	2348.275167	2348.958167	524.5	1223.9	699.4	0.683	808.6	248.969	1208234033.020322022219.wav	D:\Pearce_Point_2018_2019\1208234033.020322022219.wav	X			RS		low			RS		
206	Spectrogram 1	1	2551.4576	2553.396	313.9	971.8	657.9	1.938	527.3	152.313	1208234033.020323182219.wav	D:\Pearce_Point_2018_2019\1208234033.020323182219.wav	X	bark	too faint?	RS					X	Too faint	
217	Spectrogram 1	1	2744.664033	2744.857933	1122.7	1835	712.3	0.194	1242.2	45.606	1208234033.020327122219.wav	D:\Pearce_Point_2018_2019\1208234033.020327122219.wav	X			RS		low	ice?		RS		
219	Spectrogram 1	1	2845.427233	2846.140533	501	935.6	434.6	0.713	679.7	146.369	1208234033.020327122219.wav	D:\Pearce_Point_2018_2019\1208234033.020327122219.wav	X			RS			ice?		RS		
250	Spectrogram 1	1	3030.290233	3044.897533	615.7	857.1	241.4	14.607	738.3	31.302	1208234033.020409122219.wav	D:\Pearce_Point_2018_2019\1208234033.020409122219.wav	X			RS			rs?		RS		
260	Spectrogram 1	1	3390.523167	3403.106867	573.4	869.2	295.8	12.584	703.1	91.546	1208234033.020414102219.wav	D:\Pearce_Point_2018_2019\1208234033.020414102219.wav	X			RS			ice?		RS		
