Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment	NEW analysis	KZ Keep? (Y/X/M)	Number of Barks (KZ)	Number of Yelps (KZ)	Overlap W Other Species (Y/X) (KZ)	Call Type (KZ)	KZ Comment 
2	Spectrogram 1	1	360.093333333	362.893233333	2.7999	60.2450	125.200	1440.000	257.812	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	13.59	Y	"bark, yelp"		ND	RS	low	ice?		RS			X	4	0	X	bark	Split into 19-22
3	Spectrogram 1	1	887.760000000	899.192000000	11.4320	287.9990	215.600	1341.300	480.469	1208533023.041014065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041014065015.wav	13.17	Y	"bark, yelp"	barks in the middle	ND	RS				Y	barks in the middle	yes	X	14	14	X	bark, yelp	Split into 23, 24
4	Spectrogram 1	1	1002.302000000	1011.090000000	8.7880	102.7040	82.200	1279.800	210.938	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	13.04	Y	"bark, yelp"	faint	ND	RS							X	4	8	X	bark, yelp	Split into 26-31
5	Spectrogram 1	1	1017.710000000	1048.372000000	30.6620	118.1120	11.700	1825.800	11.719	1208533023.041017125015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041017125015.wav	14.19	Y	"bark, yelp"	finally some clear barks!	ND	RS							X	-	-	-	-	 Needs to be split up. 
6	Spectrogram 1	1	1200.042333333	1212.294333333	12.2520	0.5340	170.300	1684.900	187.500	1208533023.041021065015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav	13.33	Y	"bark, yelp"	only one bark	ND	RS	medium			RS			X	-	-	-	-	Split into 40,41
7	Spectrogram 1	1	1763.981000000	1775.072000000	11.0910	264.5670	282.300	1544.300	480.469	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	12.04	Y	"bark, yelp"		ND	RS							X	-	-	-	-	Split into 47-49
8	Spectrogram 1	1	1777.070000000	1789.313000000	12.2430	277.6560	249.100	1245.400	1078.125	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	11.82	Y	"bark, yelp"		ND	RS							X	-	-	-	-	Split into 51-54
9	Spectrogram 1	1	1790.994000000	1799.309000000	8.3150	291.5800	249.100	1544.300	1078.125	1208533023.041022025015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041022025015.wav	11.95	Y	"bark, yelp"		ND	RS							X	-	-	-	-	Split into 55-57
10	Spectrogram 1	1	2032.200666667	2055.951666667	23.7510	232.8330	144.000	1662.000	421.875	1208533023.041028045015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.041028045015.wav	12.85	Y	bark		ND	RS				RS		y	X	-	-	-	-	Split into 60-64
13	Spectrogram 1	1	482.334608786	483.134101378	0.7995	182.4863	57.500	1522.059	457.031	1208533023.040718165015.wav	D:\ringed-seal-data\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	15.34	Y	bark		AR								X	-	-	-	-	Not a bark! 
