Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	SNR NIST Quick (dB)	KZ Keep? (Y/X/M)	Number of Barks - KZ	Number of Yelps - KZ	Overlap W Other Species - KZ	KZ Comment	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	comment	type	WH ID	WH Comment
370	Spectrogram 1	1	2747.883666667	2748.835910386	0.9522	48.5590	88.100	935.800	210.938	1208795168.700518024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700518024318.wav	18.35	X	10	2	N	Yelps w loud background	Y	"bark, yelp, groan"	"in noise, but the bark is clear"	ND	RS				RS	
448	Spectrogram 1	1	5148.396333333	5149.319943635	0.9236	49.6060	132.100	1420.200	175.781	1208795168.700528004318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700528004318.wav	16.96	X	2	?	Y	Overlapping bearded seal <1kHz	Y	"bark, yelp"	with BS overlapped	ND	RS					
488	Spectrogram 1	1	6451.001000000	6452.855753894	1.8548	152.4710	82.600	1139.500	832.031	1208795168.700529214318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700529214318.wav	17.32	X	5	0	N	Overlapping bearded seal <1kHz	Y	"bark, yelp"	really good series	ND	RS		nice clear ones			
496	Spectrogram 1	1	6917.149000000	6917.312912563	0.1639	18.7670	110.100	957.800	117.188	1208795168.700530044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700530044318.wav	13.04	X	0	1	N	Yelp only	Y	"bark, yelp"		ND	RS					
1076	Spectrogram 1	1	9405.620333333	9405.853333333	0.2330	107.9910	201.900	992.500	539.062	1208795168.700712054318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700712054318.wav	15.23	X	1	0	Y	Overlapping loud bearded seals	Y	bark	BS above	ND	RS				RS	
1089	Spectrogram 1	1	9695.617333333	9696.036333333	0.4190	98.0950	269.200	734.600	375.000	1208795168.700712234318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700712234318.wav	11.60	X	1	0	Y	Overlapping with bearded seals <1kHz	Y	bark		ND	RS		faint		Y	
1345	Spectrogram 1	1	10551.185000000	10552.958545226	1.7735	53.9760	148.400	467.000	281.250	1208795168.700724064318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700724064318.wav	15.72	X	4	0	Y	Overlapping with bearded seals	Y	bark	BS overlap	ND	RS				RS	
1411	Spectrogram 1	1	10878.451900000	10878.838206532	0.3863	81.3259	62.600	605.200	70.312	1208795168.700726024318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700726024318.wav	16.59	X	1	0	Y	Overlapping with bearded seals	Y	bark	Shortened the selection box to just the bark	ND	RS				RS	
1510	Spectrogram 1	1	11311.196666667	11312.887666667	1.6910	214.1660	276.100	1444.200	410.156	1208795168.700730084318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700730084318.wav	15.22	X	4?	1	Y	Overlapping with bearded seals	Y	bark	BS overlap	ND	RS				RS	
1592	Spectrogram 1	1	11688.885000000	11689.417000000	0.5320	291.9170	69.000	690.300	70.312	1208795168.700803044318.wav	D:\ringed-seal-data\Cape_Bathurst_50_2018_2019\1208795168.700803044318.wav	18.17	X	2	0	Y	Overlap under 1kHz, very loud bearded seal	Y	bark	faint and with BS	ND	RS					
