Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	KZ Keep? (Y/X/M)	Number of Barks (KZ)	Number of Yelps (KZ)	Overlap W Other Species (Y/X) (KZ)	Call Type (KZ)	KZ Comment 	Keep for detector? Y/X	Call type	AR comment	Species ID	Ship Noise?	Ship Size	WH comment
223	Spectrogram 1	1	1466.622000000	1467.036600000	0.4146	26.6220	410.256	833.333	TEST__0__20170911_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_020801.wav	X	0	1	X	yelp	THINK THIS IS A YELP	Y	bark	yelp?	RS			
118	Spectrogram 1	1	6632.500000000	6637.207320000	4.7073	32.5000	432.900	1863.700	TEST__0__20170904_152001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170904_152001.wav	X	5	0	X	bark	SPLIT INTO 712-717	Y	bark	series	RS			
222	Spectrogram 1	1	36.646000000	51.950900000	15.3049	36.6460	0.000	1226.500	TEST__0__20170911_014401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170911_014401.wav	X	5	7	X	bark, yelp	SPLIT INTO 719-723	Y	"bark, yelp"	WH	RS			Good sequence
269	Spectrogram 1	1	1723.805000000	1724.024500000	0.2195	43.8050	102.200	553.100	TEST__0__20170912_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170912_232001.wav	X	1	0	X	bark	SNR TOO LOW	Y	bark	with brightness 55 it looks good. Not sure if appropriate for detector.	RS			
272	Spectrogram 1	1	1917.768000000	1918.329000000	0.5610	117.7680	78.200	679.400	TEST__0__20170913_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170913_020801.wav	X	1	0	X	bark	SNR TOO LOW	Y	bark	AR	RS			
313	Spectrogram 1	1	212.927000000	217.049000000	4.1220	92.9270	228.500	1845.700	TEST__0__20170914_172001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170914_172001.wav	X	5	2	X	bark, yelp	SPLIT INTO 724-726	Y	"bark, yelp"	WH	RS			Bark-Yelp sequence
392	Spectrogram 1	1	2972.549000000	2972.878200000	0.3292	92.5490	114.200	420.800	TEST__0__20170917_064401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_064401.wav	X	1	0	X	bark	TOO FAINT	Y	bark	B55	RS			
399	Spectrogram 1	1	3081.341000000	3085.560500000	4.2195	81.3410	54.100	673.300	TEST__0__20170917_123201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170917_123201.wav	X	13	0	X	bark	Split into 742, 743	Y	bark	WH	RS			Barks
442	Spectrogram 1	1	4512.354000000	4512.683200000	0.3292	72.3540	871.700	1328.700	TEST__0__20170918_080801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_080801.wav	X	0	1	X	yelp		Y	bark	AR	RS			
445	Spectrogram 1	1	307.280000000	311.280000000	4.0000	67.2800	126.300	2897.800	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	X	3	4	X	bark, yelp	Split into 728-730	Y	"bark, yelp"	WH	RS			Very clear
446	Spectrogram 1	1	314.256000000	317.268200000	3.0122	74.2560	0.000	691.400	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	X	3	0	X	bark	Slit into 744-746	Y	bark	AR	RS			
448	Spectrogram 1	1	327.280000000	344.645800000	17.3658	87.2800	0.000	1472.900	TEST__0__20170918_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170918_083201.wav	X	31	9	X	bark, yelp	Split into 731-739	Y	"bark, yelp"	WH	RS			Very clear
583	Spectrogram 1	1	4773.024000000	4773.853300000	0.8293	93.0240	126.500	753.000	TEST__0__20170920_173201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_173201.wav	X	2	0	X	bark	TOO FAINT, barks surrounding this annotation as well. All too faint.	Y	bark	masked. are there more barks before and after?	RS			one bark right before the selection (almost exactly one second before)
590	Spectrogram 1	1	360.317000000	363.963300000	3.6463	0.3170	144.600	1361.400	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	X	5	0	X	bark	Split into 749-751	Y	bark	Is there a yelp at all? B50	RS			All barks
591	Spectrogram 1	1	380.063000000	386.892300000	6.8293	20.0630	277.100	1506.000	TEST__0__20170920_214401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170920_214401.wav	X	4	1	X	bark	Split into 752-755	Y	"bark, yelp"	B50. series	RS			
644	Spectrogram 1	1	552.232000000	558.622300000	6.3903	72.2320	0.000	907.800	TEST__0__20170921_232001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20170921_232001.wav	X	3	4	X	bark, yelp	Split into 757-760	Y	"bark, yelp"	WH	RS			"Clear. LF barks and yelps, plus a growl"
