Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species ID	No. Calls	Ship Noise	Ship Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
157	Spectrogram 1	1	30.222000000	33.941060000	3.7191	30.2220	125.000	1055.800	TEST__0__20171001_222001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171001_222001.wav	Y	bark		RS	3						X	-	-	-	-	-	S
158	Spectrogram 1	1	136.287000000	137.537920200	1.2509	16.2870	55.600	1062.500	TEST__0__20171001_230801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171001_230801.wav	Y	bark	faint WH	RS							X	-	-	-	-	-	S
1332	Spectrogram 1	1	332.396000000	340.638370000	8.2424	92.3960	161.400	1103.100	TEST__0__20171007_120801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171007_120801.wav	Y	bark	Series. Masked but lower freq are visible WH	RS	03-Feb			2nd one is water but 1st is RS & maybe 3rd	RS	"Yes, 3 RS in here, plus water noise"	X	-	-	-	-	-	S
1334	Spectrogram 1	1	304.066000000	305.675620000	1.6096	64.0660	107.600	1264.600	TEST__0__20171007_120801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171007_120801.wav	Y	bark	WH	RS	1			biological?	RS	Clear bark	X	1	0	X	bark	-	Too faint
1445	Spectrogram 1	1	438.675000000	439.420700000	0.7457	78.6750	178.300	949.000	TEST__0__20171007_195601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171007_195601.wav	Y	bark	Is it a bark and yelp right after - maybe. WH	RS	1			?	RS		Y	1	0	X	bark	-	Faint
1447	Spectrogram 1	1	511.419500000	512.185831700	0.7663	31.4195	178.300	1229.300	TEST__0__20171007_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171007_200801.wav	Y	bark		RS	2						Y	2	0	X	bark	-	Faint
1455	Spectrogram 1	1	667.057400000	668.514686400	1.4573	67.0574	133.800	1251.300	TEST__0__20171007_215601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171007_215601.wav	Y	bark	WH	RS	1			?	RS		Y	3	0	X	bark	-	
1456	Spectrogram 1	1	830.381500000	832.636525100	2.2550	110.3815	62.200	8611.400	TEST__0__20171007_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171007_220801.wav	Y	"bark, yelp"	WH three barks and 1 yelp. Distorted because close to hydrophone.	RS				"very loud, is that still vessel related?"	RS	This is not ship noise. Likely a close RS	Y	2	0	X	bark	-	Very close
1478	Spectrogram 1	1	918.449000000	924.336200000	5.8872	78.4490	76.400	1216.600	TEST__0__20171008_023201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_023201.wav	Y	"bark, yelp"	bark-yelp series	RS	1			RS? or non biological?	RS		X	-	-	-	-	-	S
1481	Spectrogram 1	1	996.300400000	996.677284400	0.3769	36.3004	57.500	1336.800	TEST__0__20171008_035601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_035601.wav	Y	bark	faint	RS	1						Y	1	0	X	bark	-	
1482	Spectrogram 1	1	1029.621000000	1034.269500000	4.6485	69.6210	114.400	1206.612	TEST__0__20171008_035601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_035601.wav	Y	bark	series	RS	series						X	-	-	-	-	-	S
1488	Spectrogram 1	1	1159.232000000	1162.116700000	2.8847	79.2320	279.700	1055.100	TEST__0__20171008_082001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_082001.wav	Y	bark	WH	RS	2						X	-	-	-	-	-	S
1489	Spectrogram 1	1	1142.038300000	1142.371215000	0.3329	62.0383	330.500	1189.100	TEST__0__20171008_082001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_082001.wav	Y	bark	faint	RS	1						Y	1	0	X	bark	-	
1490	Spectrogram 1	1	1205.047200000	1210.910919000	5.8637	5.0472	214.876	1652.893	TEST__0__20171008_083201.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_083201.wav	Y	bark	faint series	RS	06-May						X	-	-	-	-	-	S
1491	Spectrogram 1	1	1397.386000000	1409.650800000	12.2648	77.3860	158.900	1305.785	TEST__0__20171008_092001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_092001.wav	Y	bark	faint series	RS	series						X	-	-	-	-	-	S
1493	Spectrogram 1	1	1550.995700000	1551.510929000	0.5152	110.9957	120.800	1048.700	TEST__0__20171008_095601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_095601.wav	Y	bark	faint WH	RS	1						Y	1	0	X	bark	-	
1494	Spectrogram 1	1	1540.944500000	1542.161505000	1.2170	100.9445	133.500	940.700	TEST__0__20171008_095601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_095601.wav	Y	"bark, yelp"	confirm WH	RS	3						Y	1	1	X	"bark, yelp"	-	
1496	Spectrogram 1	1	1593.825000000	1617.678100000	23.8531	33.8250	50.800	1372.900	TEST__0__20171008_102001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_102001.wav	Y	"bark, yelp"	WH needs to listen. WH	RS	series			"first ones sound like RS, then rather banging/scratching sound"	RS	"Just close, so we're getting near-field effects"	X	-	-	-	-	-	
1497	Spectrogram 1	1	1643.670000000	1679.744700000	36.0747	83.6700	31.800	1461.900	TEST__0__20171008_102001.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_102001.wav	Y	bark	WH	RS				same as before	RS		X	-	-	-	-	-	S
1499	Spectrogram 1	1	1715.401000000	1726.527600000	11.1266	35.4010	114.400	1010.600	TEST__0__20171008_105601.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_105601.wav	Y	bark	faint	RS	6			faint			X	-	-	-	-	-	S
1501	Spectrogram 1	1	1817.399000000	1833.058700000	15.6597	17.3990	63.600	1175.800	TEST__0__20171008_124401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_124401.wav	Y	bark	Good series	RS	series			good one			X	-	-	-	-	-	S
1502	Spectrogram 1	1	1859.564100000	1865.807819000	6.2437	59.5641	63.600	1322.000	TEST__0__20171008_124401.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20171008_124401.wav	Y	bark	good series	RS	series			good one			Y	13	0	X	bark	-	Excellent
