Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
17	Spectrogram 1	1	585.238	587.5966051	2.3586	105.238	47	1020.1	TEST__0__20180110_160801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180110_160801.wav	Y	bark	I shortened the selection box	RS	3	series	No					X	-	-	-	-	S		
43	Spectrogram 1	1	610.636	612.5199	1.8839	10.636	101.4	824.3	TEST__0__20180118_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180118_000801.wav	Y	bark	faint	RS	3	series	No					X	-	-	-	-	S		
45	Spectrogram 1	1	15.91150779	16.23185955	0.3204	15.9115	74.3	1447.236	TEST__0__20180119_160801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180119_160801.wav	Y	bark		RS	1	1	No			RS		Y	1	0	X	B	-		
78	Spectrogram 1	1	724.121	732.0882	7.9672	4.121	35.6	1617.6	TEST__0__20180126_080801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180126_080801.wav	Y	"bark, yelp"	two good barks	RS	3	series	No		good one			X	-	-	-	-	S		
87	Spectrogram 1	1	888.8890256	890.9242015	2.0352	48.889	71.3	798.1	TEST__0__20180128_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180128_000801.wav	Y	"bark, yelp"	faint	RS	3	4	No					X	-	-	-	-	S		
91	Spectrogram 1	1	1063.588349	1063.99036	0.402	103.5884	121.1	1218.5	TEST__0__20180128_180801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180128_180801.wav	Y	bark		RS	3	1	No					Y	1	0	X	B	-	Faint	
92	Spectrogram 1	1	1148.66443	1149.028751	0.3643	68.6644	71.3	1410.9	TEST__0__20180128_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180128_200801.wav	Y	bark	AH	RS	3	1	No		bark			Y	1	0	X	B	-		
101	Spectrogram 1	1	1306.062315	1306.388948	0.3266	106.0623	49.9	1140.1	TEST__0__20180130_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180130_200801.wav	Y	bark	faint but visible	RS	3	1	No		very faint			Y	1	0	X	B	-		
107	Spectrogram 1	1	1355.596	1360.2272	4.6312	35.596	78.1	767.9	TEST__0__20180202_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180202_000801.wav	Y	bark		RS	3	4	No					X	-	-	-	-	S		
112	Spectrogram 1	1	1475.438123	1475.745912	0.3078	35.4381	188.7	1529.3	TEST__0__20180205_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180205_000801.wav	Y	"bark, yelp"	AH	RS	3	2	No		yelp-bark			Y	1	0	X	B	-		
129	Spectrogram 1	1	1561.884	1563.9052	2.0212	1.884	103.4	543.1	TEST__0__20180207_180801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180207_180801.wav	Y	bark		RS	2	2	No			RS		X	-	-	-	-	S		
152	Spectrogram 1	1	1710.537	1714.3048	3.7678	30.537	89.2	1208.2	TEST__0__20180212_120801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180212_120801.wav	Y	"bark, yelp"	one bark at the beginning. Not great	RS	3	series	No		bark-yelps			X	-	-	-	-	S		
160	Spectrogram 1	1	1914.504879	1918.948182	4.4433	114.5049	75.5	1963.4	TEST__0__20180215_120801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180215_120801.wav	Y	bark	series	RS	3	series	No		incomplete			Y	13	6	X	BY	-		
162	Spectrogram 1	1	2035.714	2039.05	3.336	115.714	68.7	1228.8	TEST__0__20180215_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180215_140801.wav	Y	"bark, yelp"	"series, good bark at the end"	RS	3	series	No					X	-	-	-	-	S		
163	Spectrogram 1	1	2140.68688	2141.302458	0.6156	100.6869	82.4	1112.1	TEST__0__20180215_160801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180215_160801.wav	Y	bark	close and perhaps together with a groan	RS	2	1	No		close up	RS		Y	1	0	X	B	-		
171	Spectrogram 1	1	2160.34874	2162.44673	2.098	0.3487	41.2	2052.6	TEST__0__20180217_060801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180217_060801.wav	Y	bark	close and distorted	RS	3	04-Mar	No		very close			Y	4	0	X	B	-	Very loud	
172	Spectrogram 1	1	2384.590998	2384.923913	0.3329	104.591	89.2	1318.1	TEST__0__20180217_080801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180217_080801.wav	Y	bark		RS	2	1	No			RS		Y	1	0	X	B	-		
180	Spectrogram 1	1	2408.977402	2409.291472	0.3141	8.9774	89.2	1201.4	TEST__0__20180218_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180218_140801.wav	Y	bark		RS	1	1	No			RS		Y	1	0	X	B	-		
184	Spectrogram 1	1	2555.452	2559.2982	3.8462	35.452	54.9	1935.9	TEST__0__20180219_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180219_220801.wav	Y	"bark, yelp"		RS	2	4	No			RS		X	-	-	-	-	S		
185	Spectrogram 1	1	2546.605	2549.5682	2.9632	26.605	151	1379.9	TEST__0__20180219_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180219_220801.wav	Y	"bark, yelp"	only one bark. It looks like a vertical line.	RS	2	4	No			RS		X	-	-	-	-	S		
186	Spectrogram 1	1	2542.935	2545.8393	2.9043	22.935	68.7	2375.3	TEST__0__20180219_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180219_220801.wav	Y	bark	AH	RS	2	1	No		close up	RS		X	-	-	-	-	S		
192	Spectrogram 1	1	2700.791	2704.7158	3.9248	60.791	157.9	1400.5	TEST__0__20180221_100801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180221_100801.wav	Y	"bark, yelp"	faint	RS	3	series	No					X	-	-	-	-	S		
224	Spectrogram 1	1	2854.01	2854.7165	0.7065	94.01	144.8	1682.8	TEST__0__20180224_080801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180224_080801.wav	Y	bark		RS	2	1	No			RS		X	-	-	-	-	-	This isn't a bark if the surrounding aren't barks...	
