Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
36	Spectrogram 1	1	412.285000000	414.737960000	2.4530	52.2850	64.500	1083.900	TEST__0__20180401_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180401_220801.wav	Y	bark		RS	3	03-Feb	No					X	X-	--	--	--	-	S
89	Spectrogram 1	1	582.177413116	582.384699548	0.2073	102.1774	87.100	1279.000	TEST__0__20180404_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180404_020801.wav	Y	bark	AH	RS	3	1	No		bark			Y	1	0	X	B	-	
137	Spectrogram 1	1	96.068000000	101.896230000	5.8282	96.0680	63.800	468.100	TEST__0__20180405_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180405_000801.wav	Y	bark	faint	RS	2	series	No		faint	RS		?						Not convinced these are barks - similar noises throughout the file not annotated
473	Spectrogram 1	1	154.292000000	167.439900000	13.1479	34.2920	64.400	1345.500	TEST__0__20180416_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180416_020801.wav	Y	"bark, yelp"	this one is very tricky as there are faint barks and also clicks in the background.	RS	3	series	No					X	-	-	-	-	--	S
536	Spectrogram 1	1	699.677006533	700.079016583	0.4020	99.6770	135.500	1219.400	TEST__0__20180419_180801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180419_180801.wav	Y	bark	AH	RS	2	1	No		bark	RS		Y	1	0	X	B	-	
575	Spectrogram 1	1	727.163000000	732.948761000	5.7858	7.1630	129.000	754.800	TEST__0__20180420_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180420_200801.wav	Y	"bark, yelp"		RS	3	series	No		faint			X	-	-	-	-	-	S
689	Spectrogram 1	1	914.614000000	915.418600000	0.8046	74.6140	112.200	1375.000	TEST__0__20180424_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180424_020801.wav	Y	bark		RS	1	1	No			RS		Y	1	0	X	B	-	
717	Spectrogram 1	1	263.562282161	263.964292211	0.4020	23.5623	44.900	1230.800	TEST__0__20180424_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180424_140801.wav	Y	bark	faint	RS	2	1	No			RS		Y	1	0	X	B	-	
764	Spectrogram 1	1	960.667000000	963.610600000	2.9436	0.6670	488.200	957.200	TEST__0__20180425_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180425_200801.wav	Y	"bark, yelp"	faint and higher frequency but audible	RS	3	series	No					X	0	5	X	Y	-	
788	Spectrogram 1	1	1164.379000000	1165.399400000	1.0204	84.3790	244.100	1265.500	TEST__0__20180426_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180426_140801.wav	Y	bark		RS	2	1	No			RS		Y	1	0	X	Y		
795	Spectrogram 1	1	1224.456084422	1228.865400000	4.4093	24.4561	199.100	1535.300	TEST__0__20180426_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180426_200801.wav	Y	bark	they look like clicks but they are barks. Harmonics are blurred into a continuous vertical line.	RS	3	series	No					X	-	-	-	-	-	S
799	Spectrogram 1	1	1213.319000000	1219.637800000	6.3188	13.3190	327.600	1490.400	TEST__0__20180426_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180426_200801.wav	Y	bark		RS	3	series	No					X	-	-	-	-	-	S
