Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
1	Spectrogram 1	1	70.956900000	71.402879900	0.4460	70.9569	171.100	1223.700	TEST__0__20180501_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180501_020801.wav	Y	bark	AH	RS	3	1	No		good one	RS		Y	1	0	X	B	-	
2	Spectrogram 1	1	101.901000000	104.667939000	2.7669	101.9010	72.400	868.400	TEST__0__20180501_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180501_020801.wav	Y	"bark, yelp"		RS	3	03-Jan	No					X	-	-	-	-	-	S
4	Spectrogram 1	1	82.303000000	85.992252000	3.6893	82.3030	98.700	960.500	TEST__0__20180501_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180501_020801.wav	Y	bark	they look odd for barks	RS	3	2	No					X	-	-	-	-	-	S
45	Spectrogram 1	1	191.701800000	191.990744724	0.2889	71.7018	111.800	1256.600	TEST__0__20180502_040801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180502_040801.wav	Y	bark		RS	3	1	No					Y	1	0	X	B	-	
103	Spectrogram 1	1	313.049000000	315.286100000	2.2371	73.0490	270.900	1182.800	TEST__0__20180503_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180503_020801.wav	Y	"bark, yelp"	the last two are barks. They are higher frequency than usual.	RS	3	3	No					X	-	-	-	-	-	S
155	Spectrogram 1	1	454.227500000	454.560414573	0.3329	94.2275	138.800	1116.700	TEST__0__20180504_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180504_020801.wav	Y	bark		RS	3	1	No					Y	1	0	X	B	-	
271	Spectrogram 1	1	548.207000000	551.497322000	3.2903	68.2070	72.500	771.400	TEST__0__20180505_140801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180505_140801.wav	Y	"bark, yelp"	I've shortened the selection box to be tighter around the barks	RS	3	series	No					X	-	-	-	-	-	S
357	Spectrogram 1	1	709.949000000	710.187693467	0.2387	109.9490	89.800	1345.361	TEST__0__20180506_200801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180506_200801.wav	Y	bark	faint	RS	3	02-Jan	No		very faint 2nd sound			Y	1	0	X	B	-	Borderline too faint
415	Spectrogram 1	1	837.955500000	838.257007538	0.3015	117.9555	85.052	1270.700	TEST__0__20180508_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180508_020801.wav	Y	bark		RS	3	1	No					Y	1	0	X	B	-	
416	Spectrogram 1	1	779.968000000	788.582800000	8.6148	59.9680	39.300	1303.500	TEST__0__20180508_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180508_020801.wav	Y	bark	towards the end they are close and distorted.	RS	3	4	No		likclose to the recorder			X	-	-	-	-	-	S
