Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
71	Spectrogram 1	1	709.024	712.87025	3.8463	109.024	122.7	1582.8	TEST__0__20180602_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180602_000801.wav	Y	bark		RS	3	03-Feb	No					X	-	-	-	-	S		
183	Spectrogram 1	1	52.74062357	52.99816126	0.2575	52.7406	120.3	1386.1	TEST__0__20180603_080801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180603_080801.wav	Y	bark		RS	1	1	No		bark	RS		Y	1	0	X	B	-		
188	Spectrogram 1	1	40.239	42.24061	2.0016	40.239	50.6	968.4	TEST__0__20180603_080801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180603_080801.wav	Y	bark	it sounds weird	RS	2	03-Feb	No			RS		X	-	-	-	-	S		
306	Spectrogram 1	1	796.556	800.93208	4.3761	76.556	69.6	1759.5	TEST__0__20180605_000801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180605_000801.wav	Y	"bark, yelp"	good bark-yelp series	RS	3	series	No		goos one			X	-	-	-	-	S		
523	Spectrogram 1	1	160.001	162.768	2.767	40.001	124.5	2081.3	TEST__0__20180608_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180608_020801.wav	Y	bark	last sound is bark	RS	2	1	No		"close up, good one"	RS		X	-	-	-	-	S		
524	Spectrogram 1	1	149.8230706	150.3569902	0.5339	29.8231	98.5	1584.3	TEST__0__20180608_020801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180608_020801.wav	Y	bark	close bark	RS	3	1	No		close up			Y	1	1	X	BY	-		
585	Spectrogram 1	1	943.6419764	943.8869513	0.245	103.642	35.191	1378.6	TEST__0__20180608_160801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180608_160801.wav	Y	bark		RS	1	1	No			RS		Y	1	0	X	B	-		
640	Spectrogram 1	1	1003.407144	1003.714933	0.3078	43.4071	105.572	1618.8	TEST__0__20180609_100801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180609_100801.wav	Y	bark	faint	RS	2	1	No			RS		X	1	0	X	B	-	Too faint	
943	Spectrogram 1	1	1118.408	1121.269832	2.8618	38.408	93.9	1396.7	TEST__0__20180613_040801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180613_040801.wav	Y	"bark, yelp"	I've shortened the selection box to remove the BS call	RS	3	1	No					X	-	-	-	-	S		
1000	Spectrogram 1	1	340.1287035	340.8385025	0.7098	100.1287	87.977	1548.387	TEST__0__20180613_160801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180613_160801.wav	Y	"bark, yelp"	keep for detector?	RS	2	02-Jan	No			RS		Y	1	1	X	BY	-	Faint	
1336	Spectrogram 1	1	1210.911	1212.893	1.982	10.911	110.6	1334.1	TEST__0__20180617_100801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180617_100801.wav	Y	"bark, yelp"		RS	3	2	No		yelp-bark			X	-	-	-	-	S		
1872	Spectrogram 1	1	1324.592	1327.4767	2.8847	4.592	67	1399.6	TEST__0__20180622_040801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180622_040801.wav	Y	"bark, yelp"	overlap with BS call. Not the greatest quality...	RS	3	03-Feb	No					X	-	-	-	-	S		
2096	Spectrogram 1	1	1454.060621	1455.015395	0.9548	14.0606	61.584	2956.012	TEST__0__20180629_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180629_220801.wav	Y	bark	"several barks, overlap with BS call. Not sure if appropriate for detector."	RS		1	No		what is this?	RS		X	4	0	Y	B	-	Overlap w bs <1kHz	
2233	Spectrogram 1	1	1626.806	1628.8861	2.0801	66.806	237.9	1632.2	TEST__0__20180630_220801.wav	D:\ringed-seal-data\Kitikmeot_2017_2018\TEST__0__20180630_220801.wav	Y	bark	they sound like water noise. I think they are close and distorted.	RS	2	1	No			RS		?						Sounds like water to me?	Y
